
		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.31
2                      14.15
4                      13.67
8                      13.71
16                     12.29
32                     12.85
64                     13.69
128                    14.47
256                    16.64
512                    19.68
1024                   26.60
2048                   40.59
4096                   72.15
8192                  129.92
16384                 218.12
32768                 401.84
65536                 891.77
131072               2346.81
262144               4884.98
524288               9651.05
1048576             19734.15

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.65
2                      14.89
4                      14.12
8                      14.39
16                     12.78
32                     13.34
64                     14.19
128                    15.05
256                    16.99
512                    19.96
1024                   26.87
2048                   39.35
4096                   69.34
8192                  118.93
16384                 210.52
32768                 472.34
65536                1066.74
131072               2685.33
262144               5571.45
524288              11108.26
1048576             23132.50

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.13
2                      14.49
4                      14.24
8                      14.27
16                     13.01
32                     13.47
64                     14.31
128                    15.06
256                    16.95
512                    19.93
1024                   26.51
2048                   38.02
4096                   95.19
8192                  120.31
16384                 212.09
32768                 459.24
65536                1052.37
131072               3044.33
262144               6311.76
524288              11211.70
1048576             22996.76

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.91
2                      13.83
4                      13.18
8                      12.99
16                     11.64
32                     12.13
64                     13.08
128                    14.07
256                    15.92
512                    19.10
1024                   26.95
2048                   43.34
4096                   75.75
8192                  115.82
16384                 218.71
32768                 384.40
65536                 856.27
131072               2249.18
262144               4587.00
524288               9029.68
1048576             18620.62

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.68
2                      14.39
4                      13.67
8                      13.71
16                     12.35
32                     12.81
64                     13.67
128                    14.51
256                    16.49
512                    19.42
1024                   26.38
2048                   40.49
4096                   69.95
8192                  115.94
16384                 210.47
32768                 402.19
65536                 910.71
131072               2421.66
262144               4885.82
524288               9759.67
1048576             20004.81

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.98
2                      14.01
4                      13.68
8                      13.57
16                     12.16
32                     12.74
64                     13.50
128                    14.30
256                    16.24
512                    19.05
1024                   25.52
2048                   37.85
4096                   66.63
8192                  116.35
16384                 204.72
32768                 429.19
65536                1003.16
131072               2802.48
262144               5282.48
524288              10440.04
1048576             21588.37

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.90
2                      14.38
4                      13.78
8                      13.80
16                     12.36
32                     12.84
64                     13.74
128                    14.55
256                    16.55
512                    19.66
1024                   26.66
2048                   40.35
4096                   70.59
8192                  116.67
16384                 211.22
32768                 405.02
65536                 927.58
131072               2406.10
262144               4938.43
524288               9711.64
1048576             20123.73

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.96
2                      14.33
4                      14.14
8                      14.34
16                     12.84
32                     13.36
64                     14.24
128                    15.08
256                    17.00
512                    19.98
1024                   26.75
2048                   39.05
4096                   66.84
8192                  118.31
16384                 212.27
32768                 425.34
65536                 969.20
131072               2521.55
262144               5193.56
524288              10299.20
1048576             21264.10

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.84
2                      14.32
4                      13.76
8                      13.86
16                     12.51
32                     13.20
64                     13.91
128                    14.78
256                    16.84
512                    20.16
1024                   28.16
2048                   44.50
4096                   78.12
8192                  121.49
16384                 220.70
32768                 507.58
65536                1149.87
131072               2874.05
262144               6247.42
524288              12152.05
1048576             25302.80

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.08
2                      14.50
4                      13.72
8                      13.76
16                     12.32
32                     12.90
64                     13.73
128                    14.56
256                    16.55
512                    19.50
1024                   26.49
2048                   40.40
4096                   70.45
8192                  118.81
16384                 219.00
32768                 432.81
65536                 977.96
131072               2513.40
262144               5321.12
524288              10410.45
1048576             21552.98
