
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.39
2                       2.27
4                       2.17
8                       2.12
16                      2.04
32                      2.09
64                      2.13
128                     3.26
256                     3.29
512                     3.54
1024                    4.06
2048                    4.98
4096                    7.32
8192                   11.19
16384                  19.61
32768                  45.53
65536                 103.64
131072                200.43
262144                353.44
524288                635.05
1048576              1245.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.52
2                       2.34
4                       2.32
8                       2.18
16                      2.16
32                      2.17
64                      2.10
128                     2.23
256                     3.57
512                     3.83
1024                    4.32
2048                    5.23
4096                    7.68
8192                   11.93
16384                  20.27
32768                  46.62
65536                  90.62
131072                209.41
262144                369.02
524288                648.45
1048576              1278.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.27
2                       2.18
4                       2.17
8                       2.10
16                      2.02
32                      2.11
64                      1.96
128                     2.07
256                     2.09
512                     2.27
1024                    2.64
2048                    3.40
4096                    5.29
8192                   10.56
16384                  21.75
32768                  48.58
65536                  94.77
131072                202.05
262144                355.06
524288                824.49
1048576              1523.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.49
2                       2.37
4                       2.30
8                       2.20
16                      2.14
32                      2.15
64                      2.10
128                     2.18
256                     3.22
512                     3.62
1024                    4.07
2048                    5.07
4096                    7.40
8192                   11.39
16384                  19.95
32768                  46.70
65536                  90.16
131072                198.57
262144                361.90
524288                642.56
1048576              1265.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.49
2                       2.44
4                       2.31
8                       2.27
16                      2.14
32                      2.21
64                      2.10
128                     2.25
256                     2.29
512                     2.43
1024                    2.87
2048                    3.53
4096                    6.81
8192                   12.23
16384                  21.86
32768                  48.48
65536                  94.08
131072                204.69
262144                363.00
524288                641.41
1048576              1261.59

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.17
2                       2.08
4                       2.00
8                       1.96
16                      1.92
32                      1.91
64                      1.89
128                     1.98
256                     2.07
512                     2.24
1024                    2.61
2048                    3.38
4096                    5.33
8192                   12.31
16384                  23.74
32768                  50.44
65536                  96.91
131072                207.87
262144                377.00
524288                656.27
1048576              1266.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.38
2                       2.28
4                       2.21
8                       2.16
16                      2.06
32                      2.11
64                      2.02
128                     2.11
256                     2.19
512                     2.33
1024                    2.72
2048                    3.43
4096                    5.48
8192                   12.29
16384                  21.38
32768                  47.69
65536                  93.50
131072                202.21
262144                366.52
524288                639.23
1048576              1260.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.55
2                       2.37
4                       2.34
8                       2.62
16                      3.02
32                      2.93
64                      3.06
128                     3.10
256                     3.18
512                     3.40
1024                    3.89
2048                    4.80
4096                    7.39
8192                   11.75
16384                  19.55
32768                  43.92
65536                  91.04
131072                174.83
262144                335.20
524288                632.96
1048576              1246.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.32
2                       2.27
4                       2.17
8                       2.10
16                      2.06
32                      2.09
64                      2.01
128                     2.13
256                     2.19
512                     2.35
1024                    2.77
2048                    3.49
4096                    5.46
8192                   12.85
16384                  22.01
32768                  49.03
65536                  96.27
131072                197.63
262144                366.49
524288                642.70
1048576              1272.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.43
2                       2.34
4                       2.23
8                       2.19
16                      2.09
32                      2.13
64                      2.06
128                     2.15
256                     2.26
512                     2.37
1024                    2.83
2048                    3.45
4096                    5.40
8192                   11.13
16384                  22.36
32768                  51.07
65536                  96.35
131072                209.30
262144                383.25
524288                652.84
1048576              1289.95
