
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.04
2                       3.68
4                       3.50
8                       3.57
16                      3.62
32                      3.57
64                      3.71
128                     4.20
256                     4.75
512                     6.51
1024                   10.44
2048                   20.07
4096                   39.65
8192                   54.76
16384                 114.30
32768                 186.43
65536                 372.22
131072                758.69
262144               2159.34
524288               4301.27
1048576              9205.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.68
2                       4.46
4                       4.38
8                       4.26
16                      4.27
32                      4.55
64                      4.70
128                     4.94
256                     5.51
512                     6.98
1024                    9.90
2048                   16.17
4096                   29.97
8192                   54.18
16384                 105.23
32768                 200.26
65536                 410.17
131072                855.91
262144               2470.17
524288               4901.60
1048576             10758.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.41
2                       4.15
4                       4.14
8                       4.17
16                      4.18
32                      4.33
64                      4.45
128                     4.92
256                     5.47
512                     6.93
1024                   10.22
2048                   17.59
4096                   32.48
8192                   51.93
16384                 107.69
32768                 236.85
65536                 471.00
131072               1011.56
262144               2867.99
524288               5708.50
1048576             12078.56

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.24
2                       4.09
4                       4.06
8                       4.02
16                      4.04
32                      4.25
64                      4.36
128                     4.72
256                     5.17
512                     6.43
1024                    8.99
2048                   13.88
4096                   25.47
8192                   52.70
16384                 101.43
32768                 276.46
65536                 532.09
131072               1132.15
262144               3175.64
524288               6418.04
1048576             13646.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.11
2                       3.68
4                       3.48
8                       3.56
16                      3.61
32                      3.54
64                      3.65
128                     4.14
256                     4.93
512                     6.73
1024                   10.55
2048                   20.19
4096                   39.64
8192                   54.30
16384                 114.41
32768                 185.07
65536                 372.28
131072                757.87
262144               2310.20
524288               4575.41
1048576              9619.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.12
2                       3.82
4                       3.76
8                       3.70
16                      3.74
32                      3.76
64                      3.86
128                     4.28
256                     5.03
512                     6.79
1024                   10.59
2048                   20.30
4096                   39.81
8192                   54.53
16384                 113.92
32768                 185.37
65536                 370.86
131072                754.01
262144               2137.49
524288               4309.27
1048576              9152.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.73
2                       4.40
4                       4.27
8                       4.34
16                      4.80
32                      4.48
64                      4.63
128                     5.03
256                     5.54
512                     7.04
1024                    9.99
2048                   17.95
4096                   33.12
8192                   51.83
16384                 106.55
32768                 209.72
65536                 422.41
131072                953.85
262144               2509.83
524288               4983.55
1048576             10664.41

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.34
2                       4.25
4                       4.10
8                       4.17
16                      4.24
32                      4.38
64                      4.61
128                     5.00
256                     5.76
512                     7.19
1024                   10.51
2048                   18.59
4096                   35.13
8192                   57.63
16384                 115.38
32768                 318.74
65536                 617.34
131072               1364.40
262144               4028.20
524288               7770.23
1048576             15528.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.32
2                       3.96
4                       3.93
8                       3.88
16                      4.05
32                      4.11
64                      4.31
128                     4.66
256                     5.33
512                     6.41
1024                    9.12
2048                   14.75
4096                   28.08
8192                   56.84
16384                 105.27
32768                 235.76
65536                 457.05
131072               1012.30
262144               2822.94
524288               5717.32
1048576             12081.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.27
2                       4.13
4                       4.08
8                       4.07
16                      4.28
32                      4.68
64                      4.72
128                     5.21
256                     6.00
512                     7.59
1024                   11.24
2048                   20.25
4096                   39.98
8192                   66.89
16384                 122.74
32768                 326.60
65536                 620.03
131072               1313.76
262144               3586.39
524288               7239.13
1048576             15213.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.00
2                       3.91
4                       3.83
8                       3.92
16                      4.02
32                      4.20
64                      4.28
128                     4.72
256                     5.45
512                     6.84
1024                   10.12
2048                   17.85
4096                   34.25
8192                   55.78
16384                 113.37
32768                 278.44
65536                 536.29
131072               1434.25
262144               3206.16
524288               6465.69
1048576             13727.73

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.85
2                       3.79
4                       3.68
8                       3.61
16                      3.75
32                      3.93
64                      4.11
128                     4.45
256                     4.96
512                     6.37
1024                    8.99
2048                   14.91
4096                   27.99
8192                   51.82
16384                 100.01
32768                 267.55
65536                 528.98
131072               1156.35
262144               3533.31
524288               6967.02
1048576             13553.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.90
2                       3.61
4                       3.62
8                       3.62
16                      3.77
32                      3.92
64                      4.21
128                     4.61
256                     5.22
512                     6.64
1024                    9.82
2048                   17.64
4096                   32.19
8192                   51.68
16384                 108.69
32768                 213.96
65536                 417.36
131072                865.19
262144               2674.35
524288               5381.22
1048576             10936.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.84
2                       3.80
4                       3.72
8                       3.76
16                      3.93
32                      4.06
64                      4.32
128                     4.74
256                     5.32
512                     6.61
1024                    9.16
2048                   14.92
4096                   27.35
8192                   52.22
16384                 104.67
32768                 275.64
65536                 523.82
131072               1156.93
262144               3218.52
524288               6419.54
1048576             13732.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.93
2                       2.89
4                       2.90
8                       2.97
16                      3.15
32                      3.22
64                      3.38
128                     3.94
256                     4.72
512                     6.47
1024                   10.41
2048                   20.49
4096                   39.41
8192                   55.02
16384                 117.60
32768                 184.59
65536                 371.25
131072                754.19
262144               2155.95
524288               4415.23
1048576              9187.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.48
2                       3.25
4                       3.13
8                       3.23
16                      3.32
32                      3.38
64                      3.57
128                     4.06
256                     4.74
512                     6.56
1024                   10.39
2048                   19.92
4096                   39.33
8192                   54.66
16384                 114.28
32768                 184.44
65536                 371.80
131072                758.70
262144               2146.89
524288               4309.82
1048576              9225.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.20
2                       3.08
4                       3.05
8                       3.15
16                      3.42
32                      3.29
64                      3.53
128                     3.99
256                     4.84
512                     6.65
1024                   10.62
2048                   20.40
4096                   39.58
8192                   58.49
16384                 120.28
32768                 183.79
65536                 371.88
131072                751.82
262144               2182.10
524288               4319.33
1048576              9214.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.12
2                       3.92
4                       3.94
8                       4.01
16                      4.11
32                      4.22
64                      4.43
128                     4.94
256                     5.39
512                     6.89
1024                    9.89
2048                   17.50
4096                   32.59
8192                   51.41
16384                 108.29
32768                 211.81
65536                 419.33
131072                858.52
262144               2501.33
524288               4987.28
1048576             10627.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.35
2                       4.17
4                       4.11
8                       4.17
16                      4.24
32                      4.43
64                      4.55
128                     5.06
256                     5.66
512                     7.09
1024                   10.44
2048                   18.77
4096                   37.00
8192                   59.74
16384                 118.35
32768                 277.23
65536                 530.01
131072               1154.74
262144               3209.13
524288               6408.46
1048576             13658.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.85
2                       3.72
4                       3.73
8                       3.82
16                      3.94
32                      4.05
64                      4.29
128                     4.69
256                     5.23
512                     6.76
1024                    9.80
2048                   17.39
4096                   32.52
8192                   52.33
16384                 108.43
32768                 212.87
65536                 423.06
131072                873.48
262144               2482.45
524288               4975.11
1048576             10617.60
