
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.74
2                       3.60
4                       3.48
8                       3.43
16                      3.73
32                      3.76
64                      4.34
128                     5.40
256                     5.98
512                     7.27
1024                    9.53
2048                   14.43
4096                   27.24
8192                    9.84
16384                  10.55
32768                  11.49
65536                  13.78
131072                 24.25
262144                 42.03
524288                 76.17
1048576               176.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.00
2                       3.79
4                       3.65
8                       3.55
16                      3.76
32                      3.83
64                      4.13
128                     4.34
256                     5.06
512                     7.14
1024                    9.52
2048                   14.58
4096                   27.28
8192                   10.76
16384                  11.58
32768                  12.98
65536                  15.47
131072                 23.07
262144                 37.45
524288                 71.44
1048576               173.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.28
2                       4.19
4                       4.03
8                       3.96
16                      4.12
32                      4.50
64                      4.75
128                     5.04
256                     5.69
512                     6.68
1024                    9.16
2048                   14.50
4096                   28.00
8192                   10.55
16384                  11.10
32768                  12.08
65536                  14.21
131072                 19.83
262144                 32.31
524288                 60.62
1048576               223.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.10
2                       3.87
4                       3.71
8                       3.63
16                      3.76
32                      3.78
64                      4.05
128                     4.73
256                     5.46
512                     6.41
1024                    8.71
2048                   13.49
4096                   26.48
8192                    8.72
16384                  10.72
32768                  11.67
65536                  14.46
131072                 24.03
262144                 37.32
524288                 71.22
1048576               171.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.44
2                       4.29
4                       4.28
8                       4.20
16                      4.18
32                      4.26
64                      4.51
128                     4.91
256                     5.89
512                     7.67
1024                    9.83
2048                   14.14
4096                   24.88
8192                   11.77
16384                  12.32
32768                  13.63
65536                  16.70
131072                 23.93
262144                 38.74
524288                 71.66
1048576               170.03

# OSU MPI Allgather Latency Test v5.6.2
