
		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.42
2  3.36
4  3.35
8  3.39
16  3.18
32  3.25
64  3.32
128  3.49
256  3.87
512  4.18
1024  5.09
2048  7.76
4096  12.44
8192  20.42
16384  36.41
32768  72.83
65536  142.68
131072  274.09
262144  541.97
524288  1285.38
1048576  2677.67

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.71
2  3.64
4  3.41
8  3.44
16  3.22
32  3.24
64  3.37
128  3.56
256  3.91
512  4.26
1024  5.09
2048  6.73
4096  9.95
8192  16.09
16384  28.64
32768  57.42
65536  131.94
131072  286.47
262144  566.47
524288  1191.47
1048576  2652.95

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.69
2  3.53
4  3.59
8  3.51
16  3.22
32  3.32
64  3.37
128  3.55
256  3.88
512  4.27
1024  5.18
2048  6.60
4096  9.88
8192  15.95
16384  28.51
32768  58.51
65536  112.77
131072  282.24
262144  577.45
524288  1105.43
1048576  2240.22

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.68
2  3.51
4  3.50
8  3.49
16  3.25
32  3.31
64  3.39
128  3.60
256  3.96
512  4.42
1024  5.25
2048  6.66
4096  9.89
8192  16.05
16384  28.54
32768  58.28
65536  111.51
131072  237.75
262144  555.37
524288  1134.05
1048576  2226.76

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.53
2  3.48
4  3.47
8  3.45
16  3.26
32  3.28
64  3.42
128  3.56
256  3.95
512  4.25
1024  5.14
2048  6.64
4096  9.86
8192  16.24
16384  28.55
32768  57.85
65536  111.44
131072  218.25
262144  488.88
524288  1144.73
1048576  2246.89

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.67
2  3.48
4  3.44
8  3.53
16  3.26
32  3.30
64  3.37
128  3.58
256  3.90
512  4.35
1024  5.12
2048  6.66
4096  9.92
8192  16.32
16384  28.60
32768  57.74
65536  125.32
131072  276.79
262144  533.98
524288  1263.48
1048576  2672.94

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.41
2  3.46
4  3.38
8  3.42
16  3.19
32  3.21
64  3.30
128  3.50
256  3.83
512  4.17
1024  5.11
2048  6.45
4096  9.71
8192  15.88
16384  28.12
32768  56.80
65536  109.03
131072  212.52
262144  427.26
524288  1042.80
1048576  2307.36

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.68
2  3.52
4  3.49
8  3.49
16  3.25
32  3.32
64  3.42
128  3.57
256  3.98
512  4.31
1024  5.18
2048  6.65
4096  9.98
8192  16.06
16384  28.29
32768  58.39
65536  111.86
131072  219.88
262144  508.40
524288  1131.67
1048576  2266.07

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.75
2  3.75
4  3.51
8  3.60
16  3.24
32  3.30
64  3.38
128  3.56
256  3.89
512  4.30
1024  5.14
2048  6.72
4096  10.02
8192  16.13
16384  28.96
32768  57.68
65536  111.54
131072  272.45
262144  535.70
524288  1117.36
1048576  2254.92

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.55
2  3.48
4  3.41
8  3.46
16  3.20
32  3.31
64  3.37
128  3.55
256  3.87
512  4.32
1024  5.15
2048  6.62
4096  9.97
8192  16.06
16384  28.71
32768  57.67
65536  111.20
131072  258.37
262144  543.49
524288  1112.67
1048576  2252.05

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.68
2  3.52
4  3.52
8  3.56
16  3.28
32  3.36
64  3.42
128  3.64
256  3.87
512  4.32
1024  5.21
2048  6.76
4096  10.21
8192  16.31
16384  28.77
32768  58.25
65536  112.45
131072  219.21
262144  546.54
524288  1142.59
1048576  2266.97

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1  3.42
2  3.43
4  3.41
8  3.43
16  3.20
32  3.26
64  3.37
128  3.59
256  3.89
512  4.34
1024  5.24
2048  6.63
4096  9.91
8192  16.17
16384  28.62
32768  58.48
65536  111.55
131072  275.47
