
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.33
2                       2.17
4                       2.14
8                       2.10
16                      2.11
32                      2.18
64                      2.25
128                     2.41
256                     2.57
512                     3.34
1024                    3.78
2048                    5.37
4096                   12.09
8192                   21.11
16384                  45.62
32768                  90.55
65536                 188.82
131072                377.06
262144                750.22
524288               2199.79
1048576              7624.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.25
2                       2.18
4                       2.16
8                       2.13
16                      2.16
32                      2.51
64                      2.25
128                     2.42
256                     2.59
512                     3.03
1024                    3.83
2048                    8.25
4096                   12.51
8192                   19.90
16384                  45.10
32768                 101.07
65536                 241.11
131072                406.47
262144                770.66
524288               1655.47
1048576              5929.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.03
2                       1.96
4                       1.96
8                       1.93
16                      1.98
32                      2.03
64                      2.09
128                     2.23
256                     2.43
512                     3.01
1024                    3.60
2048                    5.17
4096                   10.14
8192                   21.44
16384                  45.22
32768                  90.16
65536                 202.10
131072                422.68
262144                876.69
524288               1987.90
1048576              7205.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.82
2                       2.62
4                       2.57
8                       2.48
16                      2.44
32                      2.45
64                      2.45
128                     2.60
256                     2.78
512                     3.34
1024                    3.99
2048                    5.49
4096                   12.50
8192                   20.07
16384                  45.21
32768                  89.15
65536                 206.34
131072                357.72
262144                709.28
524288               1885.35
1048576              6875.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.78
2                       2.59
4                       2.54
8                       2.47
16                      2.45
32                      2.42
64                      2.49
128                     2.58
256                     2.79
512                     3.36
1024                    3.94
2048                    7.52
4096                   11.92
8192                   19.29
16384                  42.50
32768                  95.19
65536                 222.80
131072                401.71
262144                771.93
524288               1663.05
1048576              6235.16

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.69
2                       2.56
4                       2.48
8                       2.40
16                      2.44
32                      2.41
64                      2.47
128                     2.57
256                     2.77
512                     3.30
1024                    4.80
2048                    7.29
4096                   11.25
8192                   18.92
16384                  42.06
32768                  85.69
65536                 183.09
131072                425.63
262144                735.23
524288               1639.94
1048576              6119.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.42
2                       2.32
4                       2.23
8                       2.21
16                      2.36
32                      2.26
64                      2.27
128                     2.46
256                     2.67
512                     3.38
1024                    4.25
2048                    8.23
4096                   12.55
8192                   19.69
16384                  43.76
32768                 100.88
65536                 223.92
131072                404.19
262144                801.61
524288               1705.38
1048576              6189.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       3.09
2                       2.79
4                       2.73
8                       2.62
16                      2.60
32                      2.61
64                      2.63
128                     2.77
256                     2.93
512                     3.36
1024                    4.12
2048                    8.66
4096                   12.79
8192                   20.20
16384                  43.99
32768                  88.78
65536                 226.66
131072                417.14
262144                828.85
524288               2044.85
1048576              6960.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.37
2                       2.22
4                       2.18
8                       2.14
16                      2.16
32                      2.17
64                      2.27
128                     2.38
256                     2.59
512                     3.15
1024                    3.77
2048                    5.31
4096                    8.78
8192                   21.21
16384                  46.31
32768                  89.27
65536                 191.72
131072                397.03
262144                766.15
524288               2070.53
1048576              7408.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.95
2                       2.84
4                       2.76
8                       2.61
16                      2.56
32                      2.75
64                      2.58
128                     2.73
256                     2.88
512                     3.48
1024                    4.13
2048                    8.38
4096                   12.34
8192                   19.86
16384                  44.55
32768                  97.11
65536                 202.11
131072                356.60
262144                720.55
524288               1440.32
1048576              5379.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.67
2                       2.45
4                       2.36
8                       2.35
16                      2.30
32                      2.29
64                      2.35
128                     2.48
256                     2.66
512                     3.44
1024                    3.79
2048                    5.28
4096                   11.51
8192                   20.96
16384                  44.74
32768                  89.29
65536                 212.54
131072                412.25
262144                762.32
524288               1937.34
1048576              7019.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.40
2                       2.32
4                       2.29
8                       2.25
16                      2.26
32                      2.27
64                      2.30
128                     2.47
256                     2.63
512                     3.11
1024                    3.82
2048                    5.32
4096                    8.67
8192                   15.62
16384                  36.62
32768                  76.24
65536                 156.03
131072                366.72
262144                784.53
524288               2323.21
1048576              7752.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.54
2                       2.39
4                       2.34
8                       2.26
16                      2.26
32                      2.29
64                      2.31
128                     2.47
256                     2.64
512                     4.16
1024                    5.20
2048                    7.15
4096                   11.06
8192                   21.31
16384                  48.69
32768                  94.52
65536                 183.19
131072                397.49
262144                777.29
524288               1584.21
1048576              5931.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.94
2                       2.70
4                       2.66
8                       2.51
16                      2.67
32                      2.51
64                      2.52
128                     2.69
256                     2.85
512                     3.40
1024                    4.02
2048                    6.85
4096                   12.62
8192                   20.21
16384                  52.42
32768                 103.89
65536                 217.28
131072                411.91
262144                784.71
524288               1604.14
1048576              6157.89

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.43
2                       2.41
4                       2.34
8                       2.33
16                      2.29
32                      2.33
64                      2.37
128                     2.55
256                     2.73
512                     3.21
1024                    3.95
2048                    5.58
4096                   11.03
8192                   19.90
16384                  43.66
32768                  89.28
65536                 213.05
131072                363.05
262144                796.15
524288               1662.64
1048576              5777.64

