
		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      72.29
2                      72.43
4                      71.33
8                      69.37
16                     65.72
32                     65.68
64                     68.50
128                    72.84
256                    81.51
512                   101.31
1024                  120.42
2048                  137.48
4096                  154.26
8192                  166.56
16384                 327.18
32768                1643.30
65536                1171.65
131072               2117.59
262144               3834.94
524288               6959.03
1048576             14166.91

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      72.52
2                      68.93
4                      69.33
8                      67.66
16                     63.36
32                     64.65
64                     67.48
128                    72.80
256                    82.40
512                    98.14
1024                  120.96
2048                  142.01
4096                  156.40
8192                  198.92
16384                 278.53
32768                 586.66
65536                1160.97
131072               2080.36
262144               3686.14
524288               7044.81
1048576             14619.98

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.66
2                      66.72
4                      66.76
8                      66.30
16                     62.95
32                     64.91
64                     67.49
128                    73.08
256                    82.40
512                    98.49
1024                  123.19
2048                  141.95
4096                  156.61
8192                  179.88
16384                 260.20
32768                 554.02
65536                1228.17
131072               2168.60
262144               3689.42
524288               6990.55
1048576             14504.06

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      72.17
2                      68.29
4                      68.59
8                      66.51
16                     63.65
32                     64.68
64                     67.72
128                    73.73
256                    82.43
512                    99.78
1024                  121.01
2048                  140.12
4096                  157.21
8192                  167.98
16384                 273.14
32768                1106.50
65536                1131.94
131072               2063.04
262144               3758.18
524288               6944.71
1048576             14523.44

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      74.72
2                      70.01
4                      70.51
8                      67.41
16                     63.30
32                     64.64
64                     67.72
128                    72.59
256                    81.26
512                   109.23
1024                  121.59
2048                  143.33
4096                  179.03
8192                  170.43
16384                 298.57
32768                 571.67
65536                1215.86
131072               2011.79
262144               3730.36
524288               6653.91
1048576             13012.96

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      72.00
2                      68.45
4                      68.45
8                      67.79
16                     63.64
32                     64.82
64                     67.89
128                    73.08
256                    82.61
512                    98.53
1024                  118.79
2048                  138.93
4096                  159.12
8192                  278.91
16384                 302.63
32768                 568.91
65536                1162.66
131072               2050.12
262144               3789.04
524288               6917.67
1048576             13839.97

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.61
2                      67.64
4                      67.90
8                      67.02
16                     62.65
32                     64.28
64                     67.08
128                    73.19
256                    82.57
512                    97.64
1024                  113.69
2048                  137.85
4096                  159.15
8192                  228.43
16384                 300.99
32768                 618.48
65536                1152.63
131072               2076.14
262144               3686.86
524288               6960.13
1048576             14472.24

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      72.10
2                      67.98
4                      67.89
8                      66.14
16                     62.90
32                     64.45
64                     67.64
128                    73.44
256                    83.16
512                   123.96
1024                  130.93
2048                  135.45
4096                  161.47
8192                  188.03
16384                 820.64
32768                1077.12
65536                1163.32
131072               2071.56
262144               3682.26
524288               6800.08
1048576             14371.26

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      72.05
2                      69.22
4                      68.32
8                      66.86
16                     62.77
32                     64.83
64                     67.67
128                    72.92
256                    82.58
512                    97.52
1024                  116.96
2048                  136.14
4096                  159.59
8192                  207.01
16384                 810.55
32768                 575.51
65536                1113.21
131072               2127.51
262144               3616.76
524288               7064.91
1048576             14528.00

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      70.70
2                      67.16
4                      66.00
8                      65.89
16                     63.58
32                     63.88
64                     67.12
128                    72.66
256                    83.58
512                    96.31
1024                  113.54
2048                  138.79
4096                  158.93
8192                  187.04
16384                 292.94
32768                1111.42
65536                2153.12
131072               2140.76
262144               3759.69
524288               6954.51
1048576             14323.55

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      72.33
2                      68.30
4                      69.86
8                      67.31
16                     63.89
32                     64.88
64                     67.95
128                    73.66
256                    83.57
512                   106.36
1024                  121.70
2048                  140.25
4096                  160.82
8192                  182.27
16384                 776.25
32768                 645.54
65536                1180.26
131072               2126.48
262144               3693.88
524288               6658.96
1048576             13511.26

