
		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      74.02
2                      71.05
4                      71.09
8                      67.94
16                     63.50
32                     65.24
64                     68.29
128                    73.92
256                    82.67
512                   101.43
1024                  128.99
2048                  143.42
4096                  161.25
8192                  169.36
16384                 270.75
32768                 559.61
65536                1081.30
131072               2135.52
262144               3737.26
524288               7026.28
1048576             14204.03

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.86
2                      68.29
4                      68.58
8                      67.10
16                     63.12
32                     64.91
64                     67.47
128                    72.91
256                    82.02
512                    97.11
1024                  124.99
2048                  147.00
4096                  161.78
8192                  172.75
16384                 297.28
32768                 615.59
65536                1148.25
131072               2075.56
262144               3764.18
524288               6876.30
1048576             14338.13

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.88
2                      68.29
4                      68.55
8                      66.97
16                     63.63
32                     64.76
64                     67.82
128                    73.26
256                    82.91
512                   110.70
1024                  118.21
2048                  133.56
4096                  159.47
8192                  175.78
16384                 305.95
32768                 554.29
65536                1135.00
131072               2111.51
262144               3702.20
524288               6668.07
1048576             14083.49

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.80
2                      68.24
4                      68.71
8                      67.39
16                     62.72
32                     64.21
64                     66.98
128                    72.88
256                    83.16
512                    98.01
1024                  118.71
2048                  135.42
4096                  156.17
8192                  185.44
16384                 302.67
32768                 582.52
65536                1156.11
131072               2274.27
262144               3860.62
524288               6961.27
1048576             13951.81

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.15
2                      67.34
4                      67.34
8                      65.88
16                     62.71
32                     64.27
64                     67.11
128                    72.17
256                    81.34
512                    97.54
1024                  116.76
2048                  144.48
4096                  159.60
8192                  196.36
16384                 318.80
32768                1655.74
65536                1156.07
131072               2083.35
262144               3698.45
524288               6971.75
1048576             14392.57

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.90
2                      68.40
4                      68.37
8                      66.33
16                     63.26
32                     64.57
64                     67.37
128                    73.06
256                    83.22
512                   102.26
1024                  117.68
2048                  145.57
4096                  155.69
8192                  223.68
16384                 279.11
32768                 610.90
65536                1177.00
131072               2124.20
262144               3693.02
524288               7024.40
1048576             14174.44

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.13
2                      67.17
4                      67.26
8                      66.60
16                     62.74
32                     65.24
64                     66.81
128                    72.46
256                    82.32
512                    98.04
1024                  122.45
2048                  138.38
4096                  179.12
8192                  178.99
16384                 530.96
32768                 605.21
65536                1222.74
131072               2082.22
262144               3790.50
524288               7179.47
1048576             14349.99

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.19
2                      66.70
4                      66.72
8                      66.07
16                     63.37
32                     64.49
64                     67.29
128                    73.15
256                    81.85
512                    97.84
1024                  116.92
2048                  146.28
4096                  157.26
8192                  210.04
16384                1285.05
32768                 597.02
65536                1217.41
131072               2071.93
262144               3829.04
524288               7024.20
1048576             14520.92

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.59
2                      67.08
4                      67.54
8                      66.54
16                     63.17
32                     64.38
64                     67.19
128                    72.80
256                    82.29
512                    97.90
1024                  118.95
2048                  145.18
4096                  154.67
8192                  180.63
16384                 297.84
32768                 602.68
65536                2162.01
131072               2149.81
262144               3741.99
524288               7008.36
1048576             14526.38

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      70.52
2                      65.59
4                      65.80
8                      65.24
16                     63.49
32                     65.60
64                     67.36
128                    72.48
256                    81.61
512                   113.90
1024                  119.99
2048                  134.99
4096                  153.20
8192                  176.48
16384                 314.94
32768                 677.80
65536                2151.31
131072               3183.71
262144               3644.58
524288               6891.49
1048576             14136.09

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.22
2                      67.45
4                      66.90
8                      65.98
16                     63.19
32                     64.83
64                     67.71
128                    73.24
256                    83.28
512                    99.07
1024                  119.52
2048                  137.28
4096                  160.29
8192                  264.83
16384                 324.03
32768                 578.65
65536                1195.60
131072               2082.06
262144               3705.30
524288               7126.12
1048576             14346.67

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      70.39
2                      64.45
4                      64.63
8                      64.61
16                     65.28
32                     64.85
64                     67.68
128                    73.21
256                    82.68
512                    99.31
1024                  122.50
2048                  145.69
4096                  160.68
8192                  166.99
16384                 291.04
32768                 603.87
65536                1126.29
131072               2120.24
262144               3842.18
524288               7074.34
1048576             13579.02

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.34
2                      67.74
4                      67.91
8                      66.26
16                     62.77
32                     64.55
64                     67.33
128                    72.27
256                    82.04
512                   123.53
1024                  123.47
2048                  135.73
4096                  163.47
8192                  173.41
16384                 277.02
32768                1615.60
65536                1200.67
131072               2177.98
262144               3776.45
524288               7145.73
1048576             14391.84

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.48
2                      67.78
4                      68.09
8                      66.66
16                     63.86
32                     64.49
64                     67.18
128                    72.19
256                    81.93
512                   106.61
1024                  116.78
2048                  130.51
4096                  157.09
8192                  167.94
16384                 555.99
32768                 608.90
65536                1179.39
131072               2099.12
262144               3813.93
524288               6887.38
1048576             14226.67

