
		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.62
2                       5.31
4                       5.17
8                       5.01
16                      4.51
32                      4.57
64                      4.76
128                     4.93
256                     5.24
512                     5.70
1024                   10.19
2048                   12.21
4096                   17.41
8192                   26.60
16384                  56.33
32768                 129.76
65536                 249.84
131072                447.85
262144                858.21
524288               1580.33
1048576              2869.54

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.99
2                       4.84
4                       4.69
8                       4.69
16                      4.31
32                      4.38
64                      4.56
128                     4.81
256                     5.70
512                     8.51
1024                    9.58
2048                   11.91
4096                   16.40
8192                   25.01
16384                  47.29
32768                 111.89
65536                 221.73
131072                417.88
262144                943.00
524288               1569.29
1048576              3283.41

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.95
2                       4.74
4                       4.67
8                       4.49
16                      4.03
32                      4.12
64                      4.22
128                     4.31
256                     5.10
512                     8.09
1024                    9.06
2048                   11.00
4096                   16.18
8192                   26.47
16384                  48.08
32768                 110.50
65536                 224.02
131072                402.12
262144                809.03
524288               1496.27
1048576              2957.31

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.44
2                       6.03
4                       5.77
8                       5.58
16                      5.07
32                      5.04
64                      5.09
128                     5.19
256                     5.45
512                     8.32
1024                    8.97
2048                   11.10
4096                   15.35
8192                   27.56
16384                  46.60
32768                 111.18
65536                 222.81
131072                375.32
262144                715.29
524288               1428.59
1048576              2825.88

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.87
2                       5.54
4                       5.36
8                       5.18
16                      4.64
32                      4.64
64                      4.76
128                     5.71
256                     6.74
512                     6.90
1024                    8.25
2048                   10.44
4096                   15.52
8192                   27.90
16384                  49.53
32768                 116.22
65536                 232.59
131072                389.08
262144                743.83
524288               1420.21
1048576              2789.11

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.50
2                       5.30
4                       5.20
8                       5.09
16                      4.57
32                      4.63
64                      6.07
128                     6.09
256                     6.12
512                     6.60
1024                    7.99
2048                   10.31
4096                   15.41
8192                   31.80
16384                  55.40
32768                 126.02
65536                 248.50
131072                463.01
262144                907.31
524288               1745.42
1048576              3165.92

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.03
2                       4.89
4                       4.80
8                       4.67
16                      4.23
32                      4.34
64                      4.46
128                     5.19
256                     6.83
512                     7.14
1024                    8.57
2048                   10.74
4096                   15.62
8192                   27.99
16384                  52.23
32768                 119.73
65536                 245.07
131072                458.72
262144                862.37
524288               1648.89
1048576              2946.69

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.36
2                       4.26
4                       4.18
8                       4.20
16                      3.91
32                      4.03
64                      4.22
128                     4.43
256                     4.76
512                     5.22
1024                    6.43
2048                   10.98
4096                   16.91
8192                   24.99
16384                  45.46
32768                 111.64
65536                 241.43
131072                429.11
262144                680.45
524288               1281.32
1048576              2745.47

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.81
2                       4.70
4                       4.63
8                       4.66
16                      4.32
32                      4.41
64                      4.55
128                     4.69
256                     6.37
512                     8.09
1024                    8.85
2048                   11.00
4096                   15.40
8192                   28.11
16384                  52.34
32768                 118.23
65536                 234.35
131072                401.99
262144                737.32
524288               1410.73
1048576              3128.30

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.43
2                       5.23
4                       5.08
8                       4.95
16                      4.53
32                      4.64
64                      4.76
128                     4.97
256                     5.31
512                     5.78
1024                    9.71
2048                   12.25
4096                   16.80
8192                   26.03
16384                  57.56
32768                 132.70
65536                 259.23
131072                428.13
262144                734.79
524288               1382.86
1048576              2775.68

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.57
2                       5.31
4                       5.14
8                       5.03
16                      4.51
32                      4.64
64                      4.75
128                     4.91
256                     7.15
512                     7.92
1024                    9.13
2048                   10.87
4096                   16.21
8192                   24.61
16384                  47.98
32768                 110.10
65536                 221.20
131072                421.62
262144                690.85
524288               1295.65
1048576              2778.38

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.81
2                       4.57
4                       4.48
8                       4.45
16                      4.09
32                      4.19
64                      4.34
128                     4.58
256                     4.94
512                     5.40
1024                    7.70
2048                   11.91
4096                   16.43
8192                   25.41
16384                  46.88
32768                 113.68
65536                 251.33
131072                476.99
262144                792.38
524288               1414.75
1048576              2750.93

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.56
2                       4.40
4                       4.37
8                       4.29
16                      3.99
32                      4.07
64                      4.21
128                     4.43
256                     4.76
512                     5.26
1024                    6.50
2048                   11.83
4096                   16.53
8192                   26.97
16384                  58.02
32768                 129.83
65536                 242.35
131072                435.33
262144                803.48
524288               1494.15
1048576              3157.77

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.24
2                       5.83
4                       5.50
8                       5.27
16                      4.80
32                      4.83
64                      4.87
128                     5.04
256                     6.58
512                     8.43
1024                    9.41
2048                   11.36
4096                   15.79
8192                   30.85
16384                  54.20
32768                 124.56
65536                 252.70
131072                458.90
262144                868.63
524288               1709.76
1048576              3251.87

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.33
2                       5.09
4                       4.92
8                       4.78
16                      4.34
32                      4.45
64                      4.59
128                     4.84
256                     5.18
512                     6.39
1024                    9.74
2048                   12.15
4096                   16.70
8192                   26.93
16384                  58.16
32768                 125.20
65536                 245.53
131072                427.54
262144                839.70
524288               1488.96
1048576              2971.59

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.57
2                       6.19
4                       5.96
8                       5.74
16                      5.17
32                      5.19
64                      5.22
128                     5.63
