
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.92
2                       1.85
4                       1.82
8                       1.78
16                      1.75
32                      1.82
64                      1.78
128                     1.92
256                     1.97
512                     2.15
1024                    2.53
2048                    3.25
4096                    5.28
8192                    8.01
16384                  14.11
32768                  34.60
65536                  99.54
131072                217.35
262144                382.98
524288                695.54
1048576              1296.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.90
2                       1.84
4                       1.78
8                       1.75
16                      1.72
32                      1.78
64                      1.75
128                     1.90
256                     1.97
512                     2.16
1024                    2.59
2048                    3.18
4096                    5.18
8192                    7.93
16384                  14.35
32768                  50.97
65536                 101.13
131072                215.30
262144                382.06
524288                686.32
1048576              1252.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.09
2                       2.00
4                       1.94
8                       1.90
16                      1.84
32                      1.91
64                      1.86
128                     1.95
256                     2.04
512                     2.21
1024                    2.58
2048                    3.35
4096                    5.34
8192                    8.18
16384                  14.19
32768                  50.77
65536                 100.20
131072                205.82
262144                368.26
524288                821.03
1048576              1508.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.66
2                       1.60
4                       1.58
8                       1.55
16                      1.50
32                      1.55
64                      1.58
128                     1.62
256                     1.68
512                     1.85
1024                    2.27
2048                    2.86
4096                    4.94
8192                    7.66
16384                  13.88
32768                  34.30
65536                  70.69
131072                204.92
262144                353.65
524288                645.07
1048576              1224.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.19
2                       2.13
4                       2.01
8                       1.98
16                      1.91
32                      1.96
64                      1.95
128                     2.04
256                     2.13
512                     2.30
1024                    2.71
2048                    4.91
4096                    7.96
8192                   11.96
16384                  20.91
32768                  46.28
65536                  91.97
131072                184.62
262144                422.64
524288                797.77
1048576              1484.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.10
2                       2.03
4                       1.96
8                       1.90
16                      1.92
32                      1.91
64                      1.89
128                     2.02
256                     2.07
512                     2.32
1024                    2.70
2048                    3.45
4096                    5.47
8192                    9.22
16384                  23.17
32768                  52.12
65536                  98.00
131072                201.94
262144                359.57
524288                682.73
1048576              1247.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.30
2                       2.28
4                       2.18
8                       2.19
16                      2.07
32                      2.12
64                      2.03
128                     2.15
256                     2.24
512                     2.37
1024                    2.80
2048                    3.52
4096                    5.63
8192                   12.02
16384                  21.98
32768                  49.49
65536                  96.55
131072                207.56
262144                382.75
524288                665.25
1048576              1291.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.11
2                       1.99
4                       1.95
8                       1.89
16                      1.85
32                      1.92
64                      1.87
128                     1.99
256                     2.06
512                     2.25
1024                    2.58
2048                    3.44
4096                    8.28
8192                   12.46
16384                  21.19
32768                  48.14
65536                  93.95
131072                189.12
262144                387.35
524288                656.92
1048576              1274.21

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.66
2                       1.61
4                       1.62
8                       1.59
16                      1.57
32                      1.64
64                      1.61
128                     1.76
256                     1.83
512                     1.98
1024                    2.37
2048                    3.09
4096                    5.02
8192                    7.77
16384                  13.94
32768                  34.45
65536                  80.45
131072                215.68
262144                375.24
524288                683.97
1048576              1290.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.89
2                       1.81
4                       1.80
8                       1.77
16                      1.73
32                      1.78
64                      1.75
128                     1.92
256                     1.98
512                     2.17
1024                    2.62
2048                    3.22
4096                    7.17
8192                   13.26
16384                  23.43
32768                  49.53
65536                  94.83
131072                205.93
262144                392.00
524288                647.76
1048576              1215.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.30
2                       2.19
4                       2.09
8                       2.02
16                      1.99
32                      1.99
64                      1.97
128                     2.06
256                     2.14
512                     2.31
1024                    2.68
2048                    3.51
4096                    5.99
8192                   12.16
16384                  21.16
32768                  48.46
65536                  93.86
131072                196.71
262144                359.02
524288                646.02
1048576              1288.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.03
2                       1.98
4                       1.93
8                       1.88
16                      1.83
32                      1.88
64                      1.85
128                     1.97
256                     2.01
512                     2.23
1024                    2.56
2048                    3.27
4096                    5.23
8192                    8.06
16384                  14.12
32768                  35.18
65536                  88.26
131072                220.48
262144                379.35
524288                821.50
1048576              1496.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.81
2                       1.73
4                       1.71
8                       1.66
16                      1.62
32                      1.67
64                      1.63
128                     1.76
256                     1.86
512                     2.03
1024                    2.45
2048                    3.21
4096                    4.99
8192                    7.79
16384                  13.95
32768                  33.75
65536                  86.01
131072                203.35
262144                341.97
524288                660.72
1048576              1167.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.67
2                       1.59
4                       1.58
8                       1.50
16                      1.52
32                      1.56
64                      1.55
128                     1.63
256                     1.72
512                     1.85
1024                    2.29
2048                    2.96
4096                    5.27
8192                   11.52
16384                  21.19
32768                  46.32
65536                  90.52
131072                187.66
262144                408.39
524288                728.22
1048576              1467.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.79
2                       1.72
4                       1.72
8                       1.66
16                      1.67
32                      1.70
64                      1.67
128                     1.82
256                     1.87
512                     2.08
1024                    2.44
2048                    3.17
4096                    5.04
8192                    7.91
16384                  14.00
32768                  34.52
65536                  89.22
131072                222.27
262144                393.46
524288                678.98
1048576              1292.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.65
2                       1.61
4                       1.60
8                       1.55
16                      1.54
32                      1.58
64                      1.58
128                     1.69
256                     1.79
512                     1.98
1024                    2.36
2048                    3.07
4096                    5.08
8192                    7.94
16384                  14.09
32768                  35.30
65536                  74.64
131072                223.64
262144                380.54
524288                687.69
1048576              1259.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.51
2                       1.50
4                       1.47
8                       1.43
16                      1.44
32                      1.43
64                      1.38
128                     1.49
256                     1.55
512                     1.73
1024                    2.10
2048                    2.69
4096                    4.52
8192                    7.18
16384                  13.25
32768                  32.84
65536                  79.52
131072                210.44
262144                381.53
524288                810.99
1048576              1518.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.56
2                       1.53
4                       1.51
8                       1.47
16                      1.46
32                      1.51
64                      1.51
128                     1.64
256                     1.72
512                     1.90
1024                    2.29
2048                    2.98
4096                    4.82
8192                    7.48
16384                  13.58
32768                  44.01
65536                  96.34
131072                186.70
262144                371.53
524288                743.71
1048576              1554.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       2.03
2                       1.97
4                       1.93
8                       1.86
16                      1.86
32                      1.89
64                      1.85
128                     1.98
256                     2.02
512                     2.24
1024                    2.54
2048                    3.33
4096                    5.16
8192                    8.28
16384                  14.72
32768                  35.75
65536                  86.55
131072                216.58
262144                375.30
524288                673.65
1048576              1226.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.88
2                       1.82
4                       1.80
8                       1.75
16                      1.72
32                      1.77
64                      1.75
128                     1.92
256                     1.96
512                     2.16
1024                    2.47
2048                    3.22
4096                    5.09
8192                    8.06
16384                  14.22
32768                  35.42
65536                 101.99
131072                207.84
262144                364.56
524288                825.31
1048576              1496.02
