# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2172.35        8485729.83
512                  2631.17        5138996.00
1024                 2926.88        2858280.96
2048                 3075.28        1501600.31
4096                 3142.19         767136.53
8192                 3276.57         399971.62
16384                3473.28         211992.04
32768                3482.28         106270.75
65536                3495.40          53335.52
131072               3497.37          26682.81
262144               3495.56          13334.52
524288               3493.40           6663.14
1048576              3492.43           3330.64
2097152              3488.39           1663.39
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2061.56        8052963.02
512                  2656.79        5189038.66
1024                 2937.20        2868359.84
2048                 3077.96        1502908.67
4096                 3138.84         766319.39
8192                 3286.49         401182.47
16384                3468.77         211717.00
32768                3479.15         106175.33
65536                3490.05          53253.86
131072               3493.81          26655.65
262144               3494.94          13332.14
524288               3498.85           6673.53
1048576              3495.83           3333.88
2097152              3492.23           1665.23
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2103.44        8216573.49
512                  2627.93        5132670.44
1024                 2932.29        2863559.71
2048                 3083.38        1505558.62
4096                 3150.94         769273.13
8192                 3270.94         399284.10
16384                3470.19         211803.45
32768                3483.99         106323.02
65536                3493.41          53305.18
131072               3499.55          26699.45
262144               3503.01          13362.92
524288               3505.07           6685.39
1048576              3497.75           3335.72
2097152              3497.15           1667.57
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2101.55        8209192.26
512                  2606.06        5089969.66
1024                 2931.13        2862433.72
2048                 3074.82        1501374.60
4096                 3163.37         772308.06
8192                 3274.86         399763.52
16384                3475.80         212146.07
32768                3490.71         106527.98
65536                3500.51          53413.51
131072               3504.83          26739.76
262144               3500.08          13351.75
524288               3494.59           6665.41
1048576              3491.29           3329.56
2097152              3488.95           1663.66
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2068.00        8078105.81
512                  2634.07        5144659.21
1024                 2933.54        2864782.12
2048                 3086.05        1506858.03
4096                 3160.80         771680.86
8192                 3268.73         399014.79
16384                3481.22         212476.67
32768                3487.57         106432.28
65536                3494.73          53325.36
131072               3494.89          26663.87
262144               3500.22          13352.28
524288               3505.00           6685.25
1048576              3510.78           3348.14
2097152              3500.90           1669.36
