# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   970.34        3790390.51
512                  1723.37        3365961.83
1024                 2462.62        2404904.64
2048                 3490.73        1704460.32
4096                 4734.78        1155953.22
8192                 6030.83         736185.88
16384                7291.07         445011.61
32768                8170.86         249354.82
65536                9050.22         138095.45
131072               9267.61          70706.22
262144               9118.74          34785.22
524288              11124.86          21218.99
1048576             11418.02          10889.07
2097152             11612.32           5537.18
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   809.13        3160667.09
512                  1465.08        2861480.18
1024                 2216.58        2164627.50
2048                 3163.15        1544507.80
4096                 4445.34        1085289.30
8192                 5762.19         703391.91
16384                7083.34         432332.83
32768                8851.06         270112.86
65536                8991.80         137203.97
131072               9345.07          71297.22
262144               8849.94          33759.86
524288              11231.44          21422.27
1048576             11705.80          11163.53
2097152             11769.58           5612.17
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   864.72        3377821.27
512                  1571.81        3069938.88
1024                 2299.85        2245945.92
2048                 3364.27        1642711.32
4096                 4582.44        1118760.76
8192                 5933.84         724346.19
16384                7267.58         443577.66
32768                9412.22         287238.06
65536                9039.99         137939.33
131072               9384.65          71599.21
262144               8763.68          33430.78
524288              11516.77          21966.50
1048576             11684.35          11143.06
2097152             11767.48           5611.17
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   910.92        3558264.26
512                  1624.77        3173371.04
1024                 2375.58        2319898.50
2048                 3368.40        1644724.32
4096                 4529.77        1105901.44
8192                 5615.34         685466.30
16384                7129.62         435157.26
32768                9018.49         275222.44
65536                9015.81         137570.32
131072               9148.59          69798.19
262144               9398.95          35854.16
524288              11603.65          22132.20
1048576             11752.83          11208.38
2097152             11792.50           5623.10
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   912.49        3564406.53
512                  1639.50        3202140.71
1024                 2369.64        2314098.76
2048                 3424.63        1672182.50
4096                 4623.29        1128733.73
8192                 5797.28         707675.46
16384                7273.83         443959.14
32768                9429.98         287780.03
65536                9080.82         138562.35
131072               9392.62          71659.99
262144               9288.17          35431.55
524288              11491.89          21919.04
1048576             11602.85          11065.34
2097152             11725.45           5591.13
