# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1457.85        5694732.56
512                  2301.77        4495653.26
1024                 2752.08        2687579.66
2048                 3013.02        1471201.67
4096                 3061.17         747356.36
8192                 3209.64         391802.22
16384                3473.44         212002.09
32768                3490.86         106532.47
65536                3497.42          53366.33
131072               3492.95          26649.08
262144               3498.15          13344.37
524288               3501.87           6679.29
1048576              3496.26           3334.30
2097152              3501.49           1669.64
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1420.12        5547333.25
512                  2307.77        4507353.81
1024                 2777.95        2712839.37
2048                 3010.92        1470174.33
4096                 3069.40         749364.44
8192                 3267.04         398809.16
16384                3467.96         211667.75
32768                3478.15         106144.71
65536                3498.73          53386.37
131072               3504.14          26734.44
262144               3509.20          13386.53
524288               3506.90           6688.88
1048576              3507.00           3344.54
2097152              3509.86           1673.63
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1397.80        5460166.92
512                  2281.71        4456469.76
1024                 2808.24        2742425.42
2048                 3057.64        1492987.70
4096                 3077.75         751404.38
8192                 3227.11         393933.95
16384                3483.70         212628.46
32768                3476.33         106089.12
65536                3494.93          53328.40
131072               3498.09          26688.29
262144               3498.18          13344.50
524288               3497.05           6670.08
1048576              3499.48           3337.36
2097152              3502.79           1670.26
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1372.40        5360935.76
512                  2317.40        4526163.74
1024                 2746.58        2682208.79
2048                 3063.35        1495774.64
4096                 3110.82         759477.59
8192                 3253.22         397121.77
16384                3470.53         211824.34
32768                3482.64         106281.82
65536                3504.63          53476.37
131072               3506.57          26753.04
262144               3513.00          13401.03
524288               3512.70           6699.95
1048576              3510.72           3348.08
2097152              3506.72           1672.13
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1407.68        5498754.67
512                  2289.89        4472433.46
1024                 2800.66        2735020.82
2048                 3071.82        1499911.75
4096                 3147.78         768500.94
8192                 3270.20         399194.66
16384                3457.15         211007.62
32768                3478.35         106150.90
65536                3499.20          53393.53
131072               3502.06          26718.59
262144               3508.24          13382.87
524288               3507.57           6690.15
1048576              3502.36           3340.11
2097152              3501.23           1669.52
