# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   694.56        2713113.56
512                  1216.49        2375955.53
1024                 1792.49        1750475.75
2048                 2387.75        1165894.09
4096                 2710.03         661627.37
8192                 3070.58         374826.09
16384                3224.02         196778.55
32768                3312.11         101077.46
65536                3354.85          51190.92
131072               3385.56          25829.75
262144               3409.59          13006.54
524288               3410.29           6504.61
1048576              3418.63           3260.26
2097152              3420.32           1630.94
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   673.39        2630430.73
512                  1184.92        2314298.27
1024                 1737.75        1697025.26
2048                 2379.07        1161655.95
4096                 2717.59         663475.26
8192                 3078.83         375833.69
16384                3216.78         196336.69
32768                3318.50         101272.70
65536                3351.91          51146.15
131072               3383.86          25816.84
262144               3409.43          13005.93
524288               3413.08           6509.94
1048576              3418.87           3260.49
2097152              3420.55           1631.04
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   708.01        2765665.11
512                  1195.75        2335439.85
1024                 1817.49        1774897.22
2048                 2405.41        1174515.23
4096                 2722.17         664592.25
8192                 3079.39         375902.11
16384                3223.71         196759.80
32768                3320.02         101318.96
65536                3355.40          51199.32
131072               3382.20          25804.13
262144               3409.14          13004.84
524288               3411.88           6507.65
1048576              3418.56           3260.19
2097152              3420.38           1630.96
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   717.32        2802040.25
512                  1195.75        2335439.85
1024                 1804.02        1761734.30
2048                 2428.04        1185564.24
4096                 2745.07         670183.89
8192                 3060.83         373636.57
16384                3217.65         196389.84
32768                3319.73         101310.16
65536                3351.98          51147.12
131072               3385.17          25826.80
262144               3409.19          13005.03
524288               3410.66           6505.32
1048576              3418.06           3259.72
2097152              3420.23           1630.89
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                   696.32        2719986.38
512                  1179.43        2303573.81
1024                 1811.27        1768815.60
2048                 2413.11        1178278.71
4096                 2719.27         663885.48
8192                 3041.19         371238.94
16384                3194.24         194960.64
32768                3307.04         100922.79
65536                3355.87          51206.45
131072               3385.71          25830.95
262144               3409.06          13004.54
524288               3412.51           6508.85
1048576              3418.46           3260.10
2097152              3419.53           1630.56
