
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      30.15
2                      31.70
4                      36.59
8                      42.18
16                     43.05
32                     52.09
64                    122.56
128                   170.21
256                   216.04
512                   394.96
1024                  857.43
2048                 2751.38
4096                 5952.83
8192                 7333.17
16384               19110.95
32768               98454.30
65536               49335.37
131072             404949.60

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      35.84
2                      34.02
4                      35.61
8                      43.56
16                     43.57
32                     51.32
64                     71.24
128                   173.56
256                   215.77
512                   400.31
1024                  827.07
2048                 2750.45
4096                 5911.94
8192                 7313.16
16384               19384.37
32768               99123.02
65536               47660.07
131072             406599.39

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      35.97
2                      38.02
4                      36.41
8                      43.80
16                     43.01
32                     50.52
64                     72.14
128                   175.04
256                   211.38
512                   394.26
1024                  864.89
2048                 2744.57
4096                 5908.29
8192                 7315.79
16384               18587.22
32768               97996.93
65536               47358.08
131072             407374.65

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      36.80
2                      34.11
4                      36.78
8                      42.25
16                     42.34
32                     54.52
64                     70.11
128                   174.35
256                   217.31
512                   402.69
1024                  840.84
2048                 2746.78
4096                 5924.67
8192                 7282.30
16384               19746.36
32768               98501.27
65536               49664.33
131072             405089.60

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      33.52
2                      31.48
4                      37.72
8                      44.26
16                     45.16
32                     53.73
64                     72.10
128                   179.73
256                   213.32
512                   400.33
1024                  833.16
2048                 2728.43
4096                 5925.44
8192                 7303.47
16384               20061.80
32768               99022.03
65536               48080.65
131072             406452.17

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      35.28
2                      33.26
4                      38.52
8                      43.72
16                     42.39
32                     51.42
64                     71.33
128                   177.85
256                   212.95
512                   484.25
1024                  826.77
2048                 2751.23
4096                 5921.95
8192                 7251.95
16384               18780.56
32768               97361.55
65536               48157.58
131072             406168.11

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      34.01
2                      31.89
4                      36.20
8                      42.34
16                     43.58
32                     52.20
64                     71.03
128                   174.46
256                   213.22
512                   407.67
1024                  829.41
2048                 2742.14
4096                 5906.14
8192                 7247.36
16384               19114.55
32768               98814.28
65536               48045.11
131072             408512.24

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      29.42
2                      32.08
4                      35.59
8                      41.28
16                     43.17
32                     50.04
64                     71.63
128                   174.55
256                   212.22
512                   399.17
1024                  827.03
2048                 2757.11
4096                 5923.01
8192                 7285.98
16384               19315.43
32768               98771.85
65536               47595.45
131072             406505.54

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      37.54
2                      33.79
4                      34.37
8                      41.38
16                     42.09
32                     49.58
64                     70.91
128                   174.96
256                   212.90
512                   401.13
1024                  828.64
2048                 2724.86
4096                 5918.59
8192                 7277.73
16384               23202.24
32768               99091.86
65536               50178.89
131072             404207.63

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      33.73
2                      34.72
4                      36.69
8                      41.38
16                     43.55
32                     51.21
64                     72.16
128                   173.21
256                   212.24
512                   397.88
1024                  832.00
2048                 2730.54
4096                 5944.06
8192                 7253.83
16384               19181.59
32768               98535.21
65536               47630.78
131072             404667.64
