
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     242.47
2                     258.28
4                     259.29
8                     322.55
16                    365.93
32                    320.46
64                    340.71
128                   364.75
256                   427.57
512                   559.41
1024                  968.31
2048                 2619.08
4096                 5783.47
8192                 9259.77
16384               16573.88
32768               30689.13
65536               58674.06
131072             116565.80

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     234.74
2                     238.52
4                     249.20
8                     320.58
16                    306.58
32                    322.93
64                    337.34
128                   364.11
256                   424.36
512                   552.24
1024                  962.09
2048                 2613.27
4096                 5792.05
8192                 9259.43
16384               16569.09
32768               30602.72
65536               58407.24
131072             116606.63

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     236.11
2                     243.52
4                     259.69
8                     294.10
16                    313.12
32                    328.32
64                    337.79
128                   364.74
256                   425.75
512                   562.94
1024                  970.01
2048                 2613.02
4096                 5798.51
8192                 9276.13
16384               16587.90
32768               30714.85
65536               58669.42
131072             116688.57

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     237.29
2                     241.54
4                     256.72
8                     293.16
16                    312.07
32                    323.48
64                    334.53
128                   367.99
256                   426.13
512                   558.16
1024                  962.28
2048                 2613.11
4096                 5795.03
8192                 9247.41
16384               16555.34
32768               30718.70
65536               58650.28
131072             116514.99

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     232.80
2                     239.60
4                     261.29
8                     289.21
16                    307.98
32                    322.14
64                    336.21
128                   364.82
256                   426.05
512                   556.80
1024                  964.25
2048                 2612.25
4096                 5801.04
8192                 9269.52
16384               16576.81
32768               30741.91
65536               58626.01
131072             116542.16

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     237.01
2                     240.02
4                     257.46
8                     286.33
16                    310.13
32                    328.39
64                    337.35
128                   365.88
256                   423.64
512                   553.65
1024                  964.29
2048                 2612.39
4096                 5792.21
8192                 9252.15
16384               16555.94
32768               30737.66
65536               58693.68
131072             116501.42

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     234.54
2                     243.36
4                     260.01
8                     279.75
16                    304.55
32                    321.13
64                    333.88
128                   363.34
256                   429.72
512                   559.72
1024                  967.79
2048                 2608.55
4096                 5796.38
8192                 9283.46
16384               16580.98
32768               30707.50
65536               58554.45
131072             116472.92

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     233.16
2                     237.02
4                     249.84
8                     286.86
16                    305.46
32                    321.62
64                    333.44
128                   364.12
256                   421.61
512                   551.84
1024                  961.96
2048                 2610.99
4096                 5768.27
8192                 9262.89
16384               16573.97
32768               30724.96
65536               58670.02
131072             116627.66

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     236.36
2                     239.44
4                     253.20
8                     291.11
16                    309.42
32                    331.88
64                    335.29
128                   364.29
256                   422.00
512                   555.46
1024                  969.20
2048                 2612.70
4096                 5800.73
8192                 9272.97
16384               16566.81
32768               30734.92
65536               58663.86
131072             116413.41

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     230.53
2                     237.82
4                     252.66
8                     289.20
16                    308.76
32                    326.65
64                    338.75
128                   368.96
256                   422.36
512                   546.91
1024                  961.03
2048                 2602.16
4096                 5775.04
8192                 9279.55
16384               16583.08
32768               30667.17
65536               58813.52
131072             116469.70
