
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      39.45
2                      39.38
4                      42.93
8                      47.06
16                     57.66
32                     69.16
64                     95.54
128                   145.72
256                   334.15
512                   672.15
1024                 1318.29
2048                 2048.06
4096                 3591.97
8192                11650.83
16384               28708.05
32768               58670.79
65536              113375.65
131072             192004.04

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      44.29
2                      42.93
4                      45.65
8                      52.29
16                     60.17
32                     77.55
64                     95.07
128                   148.95
256                   226.76
512                   659.51
1024                 1276.40
2048                 2112.58
4096                 3591.18
8192                11644.78
16384               28601.62
32768               58646.86
65536              112628.20
131072             189848.23

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.15
2                      40.04
4                      45.76
8                      50.61
16                     60.45
32                     76.38
64                     91.40
128                   148.76
256                   224.56
512                   679.38
1024                 1280.25
2048                 2100.30
4096                 3554.90
8192                11613.48
16384               28774.60
32768               58590.28
65536              114307.24
131072             189459.56

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.42
2                      39.03
4                      41.31
8                      48.19
16                     54.61
32                     73.40
64                     89.15
128                   138.89
256                   216.20
512                   633.01
1024                 1245.45
2048                 1983.42
4096                 3560.32
8192                11641.52
16384               28596.68
32768               58645.36
65536              112583.94
131072             191596.48

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.35
2                      40.02
4                      43.58
8                      48.13
16                     58.84
32                     69.91
64                     93.94
128                   143.01
256                   220.09
512                   626.38
1024                 1332.61
2048                 2043.64
4096                 3514.49
8192                11690.86
16384               28835.65
32768               58957.94
65536              112540.81
131072             189350.89

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.33
2                      44.63
4                      49.09
8                      49.45
16                     59.80
32                     74.39
64                     89.57
128                   142.90
256                   216.95
512                   646.53
1024                 1343.53
2048                 2068.20
4096                 3619.12
8192                11739.75
16384               28768.87
32768               58976.40
65536              112668.38
131072             190730.34

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.37
2                      44.56
4                      46.92
8                      51.74
16                     60.58
32                     77.01
64                     98.03
128                   146.60
256                   225.34
512                   673.16
1024                 1272.68
2048                 2108.79
4096                 3700.50
8192                11646.17
16384               28738.71
32768               58483.52
65536              112218.03
131072             190515.55

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      42.94
2                      46.71
4                      45.37
8                      52.86
16                     59.74
32                     79.77
64                     95.99
128                   144.93
256                   225.60
512                   673.30
1024                 1291.71
2048                 2051.68
4096                 3622.13
8192                11722.10
16384               28703.60
32768               58899.94
65536              113460.92
131072             190069.54

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      44.70
2                      41.18
4                      42.22
8                      46.49
16                     56.29
32                     75.43
64                     97.00
128                   139.86
256                   217.83
512                   671.89
1024                 1343.60
2048                 1979.98
4096                 3604.01
8192                11785.06
16384               28834.97
32768               59283.93
65536              112506.65
131072             189390.40

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      45.00
2                      44.77
4                      45.30
8                      52.85
16                     59.53
32                     76.84
64                     96.46
128                   148.78
256                   223.22
512                   646.39
1024                 1293.65
2048                 2093.13
4096                 3645.19
8192                11675.68
16384               28683.38
32768               58779.28
65536              112674.53
131072             192271.74
