
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     212.85
2                     209.59
4                     289.21
8                     255.12
16                    277.75
32                    292.24
64                    305.98
128                   333.14
256                   391.51
512                   521.13
1024                  907.49
2048                 2494.84
4096                 5588.61
8192                 9036.81
16384               16122.60
32768               29842.85
65536               57004.65
131072             113080.48

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     206.07
2                     209.78
4                     221.00
8                     254.56
16                    279.15
32                    295.41
64                    307.89
128                   331.72
256                   388.12
512                   516.46
1024                  903.91
2048                 2496.26
4096                 5586.44
8192                 9050.01
16384               16174.96
32768               29792.63
65536               56868.46
131072             113010.45

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     208.83
2                     209.03
4                     230.44
8                     278.41
16                    279.24
32                    290.89
64                    304.27
128                   332.63
256                   389.36
512                   512.89
1024                  907.77
2048                 2497.27
4096                 5599.27
8192                 9056.46
16384               16145.03
32768               29828.52
65536               56925.77
131072             113052.90

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     203.87
2                     208.40
4                     219.24
8                     255.32
16                    278.86
32                    291.67
64                    307.54
128                   331.64
256                   391.46
512                   512.65
1024                  901.87
2048                 2503.07
4096                 5598.10
8192                 9048.78
16384               16144.84
32768               29817.90
65536               56905.14
131072             112837.90

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     205.75
2                     210.97
4                     289.60
8                     255.74
16                    281.66
32                    300.22
64                    307.19
128                   333.74
256                   389.33
512                   513.16
1024                  902.66
2048                 2520.67
4096                 5600.07
8192                 9080.97
16384               16166.29
32768               29851.31
65536               56929.78
131072             113240.58

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     206.45
2                     208.74
4                     222.49
8                     256.54
16                    279.93
32                    291.74
64                    303.29
128                   333.70
256                   389.41
512                   517.13
1024                  907.58
2048                 2500.68
4096                 5611.13
8192                 9055.05
16384               16142.99
32768               29814.97
65536               56882.18
131072             113041.16

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     209.75
2                     212.01
4                     222.91
8                     258.04
16                    307.66
32                    293.08
64                    306.80
128                   333.67
256                   389.59
512                   515.34
1024                  902.10
2048                 2498.84
4096                 5610.39
8192                 9035.24
16384               16142.23
32768               29793.95
65536               56847.40
131072             112891.65

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     210.58
2                     208.40
4                     220.30
8                     256.96
16                    277.01
32                    293.43
64                    307.93
128                   333.25
256                   391.81
512                   517.75
1024                  902.36
2048                 2499.27
4096                 5613.69
8192                 9052.49
16384               16131.45
32768               29781.69
65536               56889.51
131072             112969.60

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     207.53
2                     210.96
4                     222.24
8                     255.76
16                    279.70
32                    293.37
64                    312.76
128                   332.02
256                   390.34
512                   518.13
1024                  905.42
2048                 2502.07
4096                 5634.72
8192                 9057.85
16384               16141.30
32768               29831.33
65536               56975.29
131072             113137.87

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     208.66
2                     208.61
4                     222.52
8                     256.82
16                    277.62
32                    291.54
64                    305.50
128                   330.57
256                   391.04
512                   512.75
1024                  903.00
2048                 2498.64
4096                 5595.76
8192                 9050.06
16384               16152.92
32768               29830.80
65536               56948.10
131072             112996.11
