
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     892.40
2                     938.49
4                     926.02
8                    1032.68
16                   1133.64
32                   1362.10
64                   1351.69
128                  1404.96
256                  1511.13
512                  1642.61
1024                 1996.70
2048                 2710.84
4096                 5026.70
8192                 9553.62
16384               22675.12
32768               46062.76
65536               52992.60
131072             104224.63

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     883.11
2                     927.76
4                     929.84
8                     931.76
16                   1060.37
32                   1339.79
64                   1338.33
128                  1403.38
256                  1512.95
512                  1651.56
1024                 1987.87
2048                 2707.57
4096                 5025.83
8192                 9525.39
16384               22775.93
32768               46047.13
65536               52681.64
131072             103938.26

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     888.00
2                     927.59
4                     925.81
8                     926.75
16                   1086.07
32                   1332.75
64                   1344.33
128                  1392.41
256                  1496.14
512                  1653.51
1024                 1976.51
2048                 2703.98
4096                 5028.43
8192                 9567.79
16384               22649.95
32768               46175.55
65536               52829.99
131072             104221.37

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     892.59
2                     924.37
4                     924.23
8                     925.24
16                   1060.29
32                   1336.70
64                   1341.33
128                  1403.99
256                  1517.69
512                  1662.62
1024                 1988.75
2048                 2707.05
4096                 5048.29
8192                 9566.20
16384               22722.63
32768               46055.58
65536               52859.42
131072             104289.58

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     886.67
2                     935.39
4                     930.11
8                     943.07
16                   1063.56
32                   1335.20
64                   1337.46
128                  1402.27
256                  1533.46
512                  1777.79
1024                 2026.71
2048                 2718.09
4096                 5054.80
8192                 9531.33
16384               22650.35
32768               45969.64
65536               52901.30
131072             104128.26

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     891.11
2                     930.31
4                     927.41
8                     938.27
16                   1071.89
32                   1409.55
64                   1355.86
128                  1403.21
256                  1516.15
512                  1670.55
1024                 2000.14
2048                 2704.94
4096                 5024.37
8192                 9537.85
16384               22652.16
32768               46142.57
65536               52851.73
131072             104231.43

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     886.79
2                     929.96
4                     945.27
8                     930.43
16                   1061.15
32                   1345.99
64                   1347.38
128                  1403.03
256                  1513.77
512                  1657.23
1024                 1994.73
2048                 2705.16
4096                 5018.69
8192                 9501.76
16384               22576.18
32768               46046.41
65536               52755.75
131072             104233.06

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     888.34
2                     932.34
4                     927.40
8                     926.55
16                   1058.21
32                   1341.67
64                   1349.98
128                  1406.31
256                  1511.72
512                  1663.48
1024                 1988.42
2048                 2708.03
4096                 5033.38
8192                 9502.34
16384               22587.54
32768               45968.88
65536               52802.78
131072             104183.87

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     892.44
2                     932.15
4                     927.85
8                     933.97
16                   1066.49
32                   1350.24
64                   1344.95
128                  1404.72
256                  1528.07
512                  1651.22
1024                 1988.61
2048                 2725.71
4096                 5026.60
8192                 9559.41
16384               22625.92
32768               46073.29
65536               52875.60
131072             104169.94

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     881.70
2                     932.57
4                     925.09
8                     930.63
16                   1058.89
32                   1340.86
64                   1350.48
128                  1397.17
256                  1505.61
512                  1678.79
1024                 2020.59
2048                 2705.65
4096                 5024.60
8192                 9531.84
16384               22571.36
32768               46079.08
65536               52966.18
131072             104336.90
