
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      57.43
2                      59.07
4                      66.49
8                      73.94
16                     93.29
32                    120.39
64                    167.96
128                   269.93
256                   486.35
512                  1087.59
1024                 1987.74
2048                 3741.45
4096                 7420.07
8192                13948.82
16384               28171.66
32768               64964.24
65536              129872.56
131072             258333.86

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      58.54
2                      58.46
4                      64.78
8                      69.89
16                     88.10
32                    112.13
64                    162.41
128                   263.14
256                   470.15
512                  1009.79
1024                 1926.28
2048                 3672.60
4096                 7393.34
8192                13961.95
16384               27831.36
32768               64617.15
65536              130027.78
131072             258300.57

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      66.38
2                      61.80
4                      62.45
8                      74.04
16                     95.78
32                    119.25
64                    166.56
128                   265.21
256                   479.36
512                  1045.29
1024                 2005.54
2048                 3733.68
4096                 7393.87
8192                13939.29
16384               28173.07
32768               64339.58
65536              129529.39
131072             258009.90

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      59.74
2                      66.44
4                      67.18
8                      70.85
16                     88.82
32                    116.59
64                    160.89
128                   270.14
256                   483.12
512                  1080.22
1024                 1975.87
2048                 3728.73
4096                 7381.05
8192                13969.33
16384               27979.15
32768               64562.79
65536              129685.23
131072             257951.69

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      58.67
2                      61.80
4                      65.34
8                      75.87
16                     93.84
32                    119.65
64                    167.92
128                   275.14
256                   485.01
512                  1069.23
1024                 1977.73
2048                 3761.65
4096                 7395.89
8192                13956.59
16384               27977.69
32768               64382.36
65536              129835.68
131072             258059.58

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      59.73
2                      60.54
4                      62.42
8                      68.23
16                     89.95
32                    115.69
64                    164.13
128                   266.08
256                   483.60
512                  1089.34
1024                 1986.79
2048                 3753.13
4096                 7279.12
8192                13831.93
16384               28090.91
32768               64124.90
65536              130078.82
131072             258256.85

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      63.66
2                      64.57
4                      69.77
8                      76.49
16                     94.40
32                    121.09
64                    167.65
128                   274.41
256                   484.07
512                  1056.24
1024                 2002.18
2048                 3758.58
4096                 7384.70
8192                13990.63
16384               28025.37
32768               64181.83
65536              129468.84
131072             258482.98

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      59.45
2                      60.38
4                      64.58
8                      71.34
16                     89.10
32                    113.56
64                    163.58
128                   264.37
256                   481.70
512                  1030.25
1024                 1936.36
2048                 3732.20
4096                 7276.28
8192                13920.25
16384               28032.51
32768               64622.83
65536              130163.17
131072             258603.02

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      60.09
2                      60.94
4                      68.38
8                      70.97
16                     86.80
32                    114.00
64                    167.56
128                   269.38
256                   486.61
512                  1076.97
1024                 1933.21
2048                 3669.05
4096                 7379.44
8192                13964.21
16384               27910.48
32768               64690.85
65536              129757.83
131072             257614.54

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      65.15
2                      65.41
4                      68.24
8                      92.89
16                     94.55
32                    117.92
64                    167.29
128                   273.41
256                   476.77
512                  1026.77
1024                 1936.61
2048                 3727.09
4096                 7320.90
8192                13951.87
16384               27716.34
32768               65095.85
65536              129834.23
131072             258273.98
