
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4175.49
2                    4173.61
4                    4172.41
8                    4161.05
16                   4190.40
32                   4229.74
64                   4104.41
128                  4123.61
256                  4214.57
512                  4548.93
1024                 4974.32
2048                 5778.06
4096                 7309.92
8192                10233.86
16384               28088.78
32768               74097.25
65536               66653.39
131072             118019.10

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4189.60
2                    4159.54
4                    4195.94
8                    4166.36
16                   4097.85
32                   3995.29
64                   4078.70
128                  4273.56
256                  4352.49
512                  4543.29
1024                 5003.23
2048                 5955.04
4096                 7371.11
8192                10314.34
16384               20883.81
32768               44679.91
65536               65994.61
131072             117876.28

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4105.12
2                    4076.99
4                    4083.78
8                    4198.15
16                   4109.81
32                   4128.40
64                   4023.35
128                  4107.16
256                  4377.48
512                  4578.14
1024                 5002.71
2048                 5868.52
4096                 7399.26
8192                10378.11
16384               20553.45
32768               49700.83
65536               66191.53
131072             118230.33

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4218.45
2                    4169.61
4                    4167.12
8                    4121.35
16                   4101.00
32                   4057.69
64                   4242.13
128                  4292.23
256                  4363.23
512                  4551.69
1024                 5044.88
2048                 5856.69
4096                 7375.83
8192                10302.83
16384               28268.82
32768               69622.38
65536               66648.06
131072             119027.07

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4064.63
2                    4163.85
4                    4015.90
8                    4195.05
16                   4127.92
32                   4256.19
64                   4198.36
128                  4250.66
256                  4325.45
512                  4399.96
1024                 5005.35
2048                 5871.52
4096                 7343.27
8192                10339.91
16384               26572.04
32768               62670.08
65536               66177.58
131072             118080.58

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4063.93
2                    3992.06
4                    4055.92
8                    4220.26
16                   4177.23
32                   4177.09
64                   4241.90
128                  4327.20
256                  4407.49
512                  4544.73
1024                 4962.93
2048                 5893.35
4096                 7385.11
8192                10326.95
16384               20347.47
32768               45132.68
65536               65898.45
131072             117825.41

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4223.83
2                    4201.36
4                    4183.08
8                    4206.99
16                   4206.53
32                   4161.35
64                   4228.10
128                  4252.21
256                  4336.30
512                  4624.36
1024                 5000.08
2048                 5778.88
4096                 7384.65
8192                10194.64
16384               20564.96
32768               54321.14
65536               66928.45
131072             118068.93

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4157.82
2                    4226.83
4                    4175.23
8                    4171.57
16                   4143.51
32                   4189.03
64                   4527.97
128                  4207.84
256                  4303.32
512                  4517.33
1024                 4810.51
2048                 5797.12
4096                 7382.56
8192                10325.30
16384               20552.71
32768               59516.45
65536               66559.75
131072             118509.44

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4139.17
2                    4180.79
4                    4187.62
8                    4186.32
16                   4095.61
32                   4110.73
64                   4008.09
128                  4173.38
256                  4376.44
512                  4580.29
1024                 4982.35
2048                 5772.71
4096                 7435.66
8192                10285.27
16384               21163.32
32768               60397.39
65536               66471.46
131072             117939.90

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4107.92
2                    4157.24
4                    4004.56
8                    4150.03
16                   4178.60
32                   4240.94
64                   4228.31
128                  4260.19
256                  4441.76
512                  4597.53
1024                 5009.09
2048                 5826.61
4096                 7355.12
8192                10328.37
16384               20308.36
32768               43402.74
65536               66252.79
131072             117905.01
