
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     319.42
2                     322.96
4                     349.73
8                     363.01
16                    334.11
32                    401.44
64                    413.84
128                   496.85
256                   632.06
512                   914.52
1024                 1893.61
2048                 4505.55
4096                 9239.14
8192                14345.94
16384               31092.38
32768              128097.22
65536              260659.91
131072             587328.15

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     320.17
2                     325.10
4                     349.10
8                     365.95
16                    338.84
32                    362.39
64                    405.67
128                   499.57
256                   628.32
512                   916.47
1024                 1902.94
2048                 4501.93
4096                 9306.54
8192                14414.37
16384               42324.84
32768              128500.87
65536              263618.96
131072             586665.57

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     325.64
2                     328.10
4                     366.11
8                     369.97
16                    340.52
32                    377.22
64                    409.00
128                   496.00
256                   629.58
512                   920.84
1024                 1908.51
2048                 4511.91
4096                 9240.67
8192                14384.54
16384               31257.36
32768              129222.38
65536              262722.70
131072             587173.20

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     327.25
2                     328.99
4                     345.88
8                     367.60
16                    338.97
32                    366.61
64                    405.07
128                   498.11
256                   676.64
512                   918.28
1024                 1907.50
2048                 4500.10
4096                 9233.36
8192                14462.63
16384               30755.69
32768              130079.12
65536              264262.47
131072             582577.61

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     317.20
2                     330.47
4                     475.13
8                     363.62
16                    335.62
32                    365.60
64                    407.87
128                   497.13
256                   636.80
512                   922.34
1024                 1902.10
2048                 4506.24
4096                 9238.90
8192                14456.54
16384               30477.52
32768              129241.51
65536              266321.29
131072             587501.77

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     316.96
2                     326.95
4                     351.79
8                     365.49
16                    339.18
32                    493.20
64                    432.13
128                   496.14
256                   629.51
512                   921.59
1024                 1902.17
2048                 4504.45
4096                 9233.04
8192                14403.52
16384               30755.29
32768              126969.86
65536              262222.76
131072             586894.82

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     317.91
2                     323.84
4                     393.15
8                     360.91
16                    336.88
32                    360.71
64                    405.14
128                   503.69
256                   628.83
512                   918.51
1024                 1915.10
2048                 4502.48
4096                 9228.00
8192                14315.99
16384               30793.88
32768              128055.60
65536              263597.68
131072             585685.17

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     323.35
2                     326.73
4                     349.78
8                     365.40
16                    340.39
32                    362.69
64                    407.57
128                   498.71
256                   628.77
512                   921.46
1024                 1906.84
2048                 4504.22
4096                 9240.09
8192                14413.01
16384               30324.37
32768              129795.52
65536              265437.56
131072             587896.16

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     320.91
2                     324.32
4                     351.41
8                     362.01
16                    339.08
32                    360.69
64                    407.23
128                   497.29
256                   630.30
512                   916.53
1024                 1903.93
2048                 4509.55
4096                 9235.15
8192                14377.22
16384               30456.34
32768              127892.09
65536              265582.26
131072             586828.83

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     320.32
2                     324.10
4                     347.70
8                     366.03
16                    336.21
32                    365.09
64                    408.00
128                   497.55
256                   630.18
512                   918.70
1024                 1899.60
2048                 4500.17
4096                 9229.93
8192                14502.56
16384               30521.86
32768              128985.53
65536              263311.04
131072             585598.09
