
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     347.56
2                     381.81
4                     384.66
8                     406.60
16                    371.99
32                    410.20
64                    491.51
128                   665.93
256                   817.74
512                  1392.33
1024                 2411.59
2048                 4791.28
4096                 9204.38
8192                17299.50
16384               46654.13
32768               89911.95
65536              171106.60
131072             326844.93

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     357.22
2                     357.10
4                     386.42
8                     395.15
16                    369.27
32                    405.84
64                    485.26
128                   591.02
256                   787.24
512                  1381.28
1024                 2406.06
2048                 4854.57
4096                 9268.17
8192                17253.95
16384               45862.58
32768               88585.38
65536              170087.36
131072             327542.45

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     355.30
2                     365.11
4                     379.98
8                     404.85
16                    383.52
32                    412.92
64                    498.51
128                   598.89
256                   792.72
512                  1456.91
1024                 2399.84
2048                 4839.19
4096                 9168.81
8192                17207.35
16384               45970.60
32768               92190.62
65536              170723.05
131072             327003.11

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     364.02
2                     366.10
4                     385.64
8                     405.42
16                    380.37
32                    405.13
64                    495.64
128                   601.26
256                   793.09
512                  1418.47
1024                 2401.91
2048                 4844.10
4096                 9213.15
8192                17177.99
16384               46270.16
32768               89198.13
65536              169718.51
131072             326975.99

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     352.62
2                     359.93
4                     381.64
8                     399.41
16                    380.64
32                    413.75
64                    495.39
128                   602.15
256                   799.42
512                  1448.72
1024                 2409.00
2048                 4846.16
4096                 9348.19
8192                17261.23
16384               46367.39
32768               88865.24
65536              169741.04
131072             326731.81

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     352.24
2                     364.44
4                     377.92
8                     533.42
16                    378.41
32                    410.01
64                    494.43
128                   598.90
256                   788.21
512                  1432.90
1024                 2410.57
2048                 4845.04
4096                 9250.02
8192                17227.34
16384               46066.55
32768               90364.81
65536              169804.03
131072             327627.58

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     354.07
2                     356.50
4                     384.00
8                     402.34
16                    378.43
32                    408.89
64                    492.15
128                   597.83
256                   812.12
512                  1417.09
1024                 2421.50
2048                 4843.65
4096                 9163.92
8192                17225.51
16384               47523.65
32768               89262.05
65536              169222.50
131072             327109.25

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     349.24
2                     358.87
4                     378.41
8                     410.35
16                    379.10
32                    411.22
64                    485.22
128                   592.05
256                   795.03
512                  1467.53
1024                 2340.53
2048                 4781.58
4096                 9221.03
8192                17237.95
16384               45585.59
32768               90146.24
65536              169574.61
131072             326797.43

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     343.39
2                     346.47
4                     381.40
8                     396.03
16                    373.38
32                    404.14
64                    496.69
128                   604.78
256                   795.49
512                  1411.08
1024                 2434.33
2048                 4858.34
4096                 9259.50
8192                17306.48
16384               44677.11
32768               88899.61
65536              170425.27
131072             327302.28

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     354.43
2                     362.39
4                     388.92
8                     405.03
16                    376.89
32                    407.35
64                    492.35
128                   600.41
256                   794.08
512                  1414.75
1024                 2431.08
2048                 4852.27
4096                 9247.93
8192                17227.13
16384               45430.77
32768               89444.66
65536              170003.32
131072             327306.71
