
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3249.08
2                    3210.96
4                    3275.45
8                    3273.03
16                   3224.19
32                   3235.97
64                   3323.35
128                  3407.53
256                  3487.90
512                  3721.92
1024                 4337.23
2048                 5978.30
4096                 8514.72
8192                21603.84
16384               34994.85
32768               51597.79
65536              102694.59
131072             189368.61

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3263.13
2                    3283.52
4                    3302.15
8                    3261.71
16                   3246.55
32                   3238.57
64                   3362.28
128                  3372.90
256                  3445.64
512                  3725.29
1024                 4140.91
2048                 5970.64
4096                 8619.70
8192                21294.21
16384               34031.11
32768               51639.09
65536              103636.93
131072             189457.24

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3097.45
2                    3319.22
4                    3273.54
8                    3273.56
16                   3215.68
32                   3304.85
64                   3322.45
128                  3413.00
256                  3460.58
512                  3787.52
1024                 4397.75
2048                 5823.69
4096                 8759.70
8192                21589.70
16384               37959.37
32768               51976.71
65536              103430.77
131072             189070.40

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3197.24
2                    3229.93
4                    3227.34
8                    3314.74
16                   3285.76
32                   3291.99
64                   3318.08
128                  3338.51
256                  3457.70
512                  3776.12
1024                 4381.08
2048                 5765.74
4096                 8505.56
8192                20915.17
16384               34200.09
32768               51771.15
65536              103772.91
131072             191031.02

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3226.31
2                    3044.36
4                    3078.20
8                    3295.56
16                   3293.63
32                   3270.48
64                   3321.11
128                  3364.87
256                  3443.00
512                  3845.80
1024                 4380.17
2048                 5879.74
4096                 8657.23
8192                21541.45
16384               40343.72
32768               51483.47
65536              103542.69
131072             189006.65

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3224.28
2                    3261.15
4                    3353.97
8                    3329.55
16                   3287.13
32                   3267.44
64                   3302.13
128                  3336.41
256                  3511.06
512                  3767.99
1024                 4308.53
2048                 5812.56
4096                 8469.81
8192                22093.29
16384               41593.12
32768               52992.20
65536              103408.34
131072             190070.47

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3179.31
2                    3202.36
4                    3131.74
8                    3101.41
16                   3192.79
32                   3248.21
64                   3350.39
128                  3434.59
256                  3514.53
512                  3751.51
1024                 4368.28
2048                 5937.86
4096                 8590.93
8192                21220.77
16384               34613.37
32768               51587.59
65536              102914.11
131072             188778.83

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3231.93
2                    3230.99
4                    3220.63
8                    3299.98
16                   3253.87
32                   3231.07
64                   3266.13
128                  3306.59
256                  3464.90
512                  3781.99
1024                 4343.62
2048                 5871.29
4096                 8485.52
8192                21619.12
16384               40616.58
32768               52906.88
65536              103540.55
131072             190160.94

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3194.27
2                    3223.13
4                    3269.33
8                    3244.38
16                   3238.97
32                   3066.48
64                   3119.65
128                  3207.18
256                  3438.06
512                  3806.93
1024                 4349.19
2048                 5867.78
4096                 8619.15
8192                22059.28
16384               35006.32
32768               51999.05
65536              104033.68
131072             191377.92

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3222.30
2                    3316.47
4                    3225.60
8                    3306.20
16                   3237.90
32                   3278.10
64                   3298.81
128                  3400.42
256                  3478.02
512                  3774.66
1024                 4290.28
2048                 5874.96
4096                 8595.59
8192                21671.22
16384               43056.98
32768               53263.20
65536              103452.03
131072             190239.14
