
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               23672.09
32768               51133.06
65536               45004.13
131072              85711.35
262144             165825.98
524288             323537.64
1048576            686758.73
2097152           1434635.31

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22261.91
32768               53855.29
65536               45857.15
131072              86604.34
262144             166914.99
524288             326471.58
1048576            686524.30
2097152           1425883.57

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22686.46
32768               53686.92
65536               45715.39
131072              86602.00
262144             166293.19
524288             326422.02
1048576            683489.46
2097152           1419207.08

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21979.02
32768               53851.33
65536               45691.70
131072              86758.75
262144             168630.34
524288             325412.54
1048576            680753.63
2097152           1413598.38

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               23431.37
32768               52210.54
65536               45655.06
131072              86353.97
262144             166688.71
524288             327309.78
1048576            684897.24
2097152           1423254.81

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22153.07
32768               53413.23
65536               45857.76
131072              87048.58
262144             169624.29
524288             328935.44
1048576            673507.12
2097152           1402182.87

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21640.03
32768               55819.43
65536               45697.93
131072              86507.43
262144             167354.58
524288             328770.88
1048576            689849.09
2097152           1440774.53

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22296.77
32768               54516.35
65536               46881.13
131072              86741.07
262144             167625.71
524288             330100.32
1048576            683431.67
2097152           1425095.98

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21268.35
32768               52351.51
65536               45729.74
131072              86994.30
262144             168556.95
524288             326893.58
1048576            680044.84
2097152           1421058.89

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               26264.10
32768               53900.69
65536               45490.86
131072              87038.25
262144             167555.46
524288             328231.09
1048576            683139.44
2097152           1431179.91
