
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      45.27
2                      42.40
4                      43.63
8                      46.73
16                     57.89
32                     71.15
64                    101.81
128                   139.44
256                   219.28
512                   633.08
1024                 1263.67
2048                 2008.72
4096                 3466.50
8192                 6026.22
16384               11340.67
32768               37985.53
65536               72522.91
131072             138009.10
262144             275060.38
524288             487518.73

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      45.46
2                      43.41
4                      44.80
8                      47.76
16                     57.53
32                     71.95
64                     96.15
128                   142.83
256                   217.17
512                   626.90
1024                 1259.33
2048                 2016.16
4096                 3448.24
8192                 6010.72
16384               11271.12
32768               38099.69
65536               72863.82
131072             137967.48
262144             272988.77
524288             488294.82

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      41.55
2                      43.12
4                      44.97
8                      47.48
16                     56.12
32                     71.95
64                     95.97
128                   141.11
256                   220.56
512                   626.49
1024                 1246.17
2048                 2014.88
4096                 3469.92
8192                 6024.59
16384               11141.30
32768               38094.72
65536               72411.60
131072             138156.38
262144             273458.94
524288             487831.30

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.26
2                      52.09
4                      45.80
8                      54.65
16                     58.36
32                     73.42
64                     95.07
128                   149.46
256                   225.14
512                   636.32
1024                 1261.13
2048                 1994.35
4096                 3394.32
8192                 5998.30
16384               11396.09
32768               38273.78
65536               72567.03
131072             137702.70
262144             273190.86
524288             488304.14

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      40.09
2                      39.64
4                      44.92
8                      47.80
16                     60.93
32                     75.54
64                     96.55
128                   137.98
256                   225.25
512                   646.04
1024                 1266.81
2048                 2008.53
4096                 3467.18
8192                 6006.39
16384               11234.81
32768               37905.61
65536               72847.84
131072             137864.70
262144             273727.00
524288             487463.48

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      39.33
2                      41.65
4                      51.31
8                      47.54
16                     56.90
32                     71.53
64                     95.30
128                   148.99
256                   225.13
512                   630.58
1024                 1296.45
2048                 2012.45
4096                 3463.55
8192                 5998.20
16384               11248.73
32768               38345.52
65536               73328.17
131072             138204.29
262144             273083.36
524288             487098.09

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.76
2                      42.64
4                      49.52
8                      47.38
16                     55.31
32                     71.58
64                     96.26
128                   143.42
256                   220.03
512                   625.10
1024                 1284.46
2048                 2029.51
4096                 3429.65
8192                 6134.99
16384               11407.49
32768               38067.15
65536               72940.67
131072             137566.27
262144             273122.65
524288             486983.91

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      41.26
2                      40.14
4                      42.63
8                      48.13
16                     56.30
32                     71.11
64                     96.21
128                   139.22
256                   227.52
512                   629.67
1024                 1265.30
2048                 2020.28
4096                 3447.06
8192                 6031.54
16384               11181.57
32768               38205.88
65536               72915.05
131072             137937.99
262144             273093.91
524288             487628.57

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      39.91
2                      46.52
4                      42.22
8                      51.98
16                     56.07
32                     75.59
64                     96.31
128                   146.38
256                   224.63
512                   631.70
1024                 1309.78
2048                 2040.33
4096                 3456.00
8192                 6018.65
16384               11189.99
32768               38231.97
65536               72802.41
131072             137636.15
262144             273118.81
524288             490429.52

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      43.03
2                      44.67
4                      46.36
8                      47.85
16                     60.62
32                     74.91
64                    101.51
128                   151.45
256                   220.80
512                   616.90
1024                 1262.96
2048                 2053.53
4096                 3510.45
8192                 6053.43
16384               11543.18
32768               37977.10
65536               72359.58
131072             140124.10
262144             274249.43
524288             487545.33
