
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1178535.05
524288            2369206.16

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1194481.36
524288            2378457.76

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1171296.72
524288            2342453.95

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1171048.99
524288            2334633.64

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1167214.57
524288            2335756.85

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1168379.04
524288            2332182.95

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1164404.96
524288            2343480.68

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1167542.24
524288            2335431.82

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1167407.89
524288            2335352.09

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
262144            1169746.24
524288            2349417.75
