
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      49.63
16                     63.83
32                     81.82
64                    214.27
128                   421.11
256                   252.93
512                   664.36
1024                 1602.03
2048                 3747.16
4096                 7655.50

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      51.68
16                     61.86
32                     67.73
64                    101.85
128                   201.94
256                   257.19
512                   466.75
1024                 1086.40
2048                 3773.51
4096                 8380.07

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      51.76
16                     53.19
32                     67.36
64                    107.12
128                   201.45
256                   251.69
512                   441.62
1024                 1046.25
2048                 3795.41
4096                 8636.91

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      53.82
16                     52.62
32                     67.69
64                    103.34
128                   201.52
256                   340.38
512                   442.55
1024                 1024.21
2048                 3674.77
4096                 7662.63

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      51.19
16                     63.84
32                     71.20
64                    104.51
128                   286.65
256                   253.22
512                   451.39
1024                 1105.12
2048                 3794.06
4096                 7747.33

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      49.74
16                     56.61
32                     69.95
64                    103.66
128                   197.24
256                   250.95
512                   441.74
1024                 1088.35
2048                 3691.02
4096                 7836.27

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      53.36
16                     60.71
32                     66.53
64                    100.70
128                   376.92
256                   250.23
512                   625.36
1024                 1094.82
2048                 3728.41
4096                 8218.38

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      45.98
16                     53.79
32                     67.79
64                    162.31
128                   198.49
256                   294.37
512                   590.95
1024                 1259.22
2048                 3829.31
4096                 7633.39

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      54.34
16                     56.54
32                     65.03
64                    102.18
128                   198.78
256                   246.34
512                   427.70
1024                 1049.00
2048                 3721.31
4096                 7955.77

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      52.71
16                     52.95
32                     68.18
64                    104.39
128                   205.53
256                   247.59
512                   435.35
1024                 1879.03
2048                 6799.58
4096                 7816.50
