
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      99.60
2                      37.55
4                      43.46
8                      70.38
16                    202.36
32                     58.96
64                     81.90
128                   232.43
256                   255.32
512                   554.21
1024                  925.33
2048                 2907.77
4096                 9188.48
8192                 7503.32
16384               19455.56
32768              126040.73
65536               59902.11
131072             517154.18
262144            1082836.05
524288            2289146.11

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      31.76
2                      34.31
4                      41.46
8                      49.30
16                     46.83
32                     56.31
64                     84.16
128                   185.50
256                   239.54
512                   430.00
1024                 1006.85
2048                 2920.65
4096                 6287.61
8192                 7521.59
16384               18661.89
32768              119767.23
65536               47369.54
131072             502255.17
262144            1072410.75
524288            2303878.41

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      33.39
2                      34.37
4                      40.52
8                      50.46
16                     46.02
32                     54.10
64                     87.97
128                   182.73
256                   239.14
512                   428.89
1024                  918.28
2048                 2910.43
4096                 6231.67
8192                 7306.57
16384               21227.80
32768              124243.43
65536               77454.10
131072             509881.36
262144            1097793.66
524288            2298678.12

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      34.04
2                      40.95
4                      46.58
8                      54.23
16                     62.37
32                     59.84
64                     93.10
128                   189.48
256                   248.99
512                   436.22
1024                  918.59
2048                 2947.21
4096                 6231.86
8192                 7459.39
16384               18552.42
32768              121480.71
65536               48045.18
131072             501304.21
262144            1080575.58
524288            2299027.33

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      40.05
2                      37.71
4                      42.28
8                      52.60
16                     50.50
32                     63.73
64                     81.51
128                   187.46
256                   243.43
512                   432.40
1024                  908.17
2048                 2974.91
4096                 6323.73
8192                 7189.69
16384               18660.65
32768              120529.18
65536               47798.67
131072             501074.63
262144            1068974.81
524288            2304589.68

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      30.97
2                      34.53
4                      38.86
8                      50.70
16                     47.24
32                     56.35
64                     86.22
128                   181.31
256                   251.25
512                   430.56
1024                  902.99
2048                 2905.06
4096                 6230.32
8192                 7636.23
16384               19207.27
32768              121703.93
65536               49847.39
131072             502607.11
262144            1074743.83
524288            2304544.62

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      42.32
2                      39.08
4                      44.23
8                      52.08
16                     46.93
32                     63.52
64                     80.56
128                   188.23
256                   248.19
512                   434.65
1024                  916.13
2048                 3103.96
4096                 6402.95
8192                 7402.91
16384               21100.03
32768              122355.15
65536               49740.49
131072             513055.34
262144            1076236.33
524288            2291952.94

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      32.02
2                      34.96
4                      40.04
8                      49.98
16                     46.89
32                     54.71
64                     80.80
128                   182.51
256                   237.74
512                   428.80
1024                  900.19
2048                 2976.70
4096                 6237.48
8192                 7278.90
16384               19113.46
32768              121497.76
65536               47626.01
131072             501335.73
262144            1071509.80
524288            2294766.73

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      32.47
2                      35.56
4                      40.13
8                      51.70
16                     48.07
32                     55.83
64                     85.96
128                   183.17
256                   238.35
512                   452.59
1024                  914.95
2048                 2905.68
4096                 6766.64
8192                 7373.53
16384               18911.91
32768              124856.09
65536               48117.18
131072             515305.96
262144            1081083.68
524288            2303753.24

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      45.62
2                      47.06
4                      53.48
8                      59.06
16                     58.92
32                     74.17
64                     91.95
128                   189.18
256                   252.66
512                   434.80
1024                  915.20
2048                 2921.12
4096                 6715.93
8192                 7689.78
16384               18727.58
32768              123751.50
65536               48069.43
131072             504816.53
262144            1065758.04
524288            2303337.69
