
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     230.73
2                     239.55
4                     255.30
8                     285.92
16                    306.88
32                    325.24
64                    338.91
128                   371.91
256                   436.22
512                   590.44
1024                 1044.49
2048                 2731.95
4096                 6045.38
8192                 9753.14
16384               17497.15
32768               32543.60
65536               63865.92
131072             124053.64
262144             250175.78
524288             504421.78

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     229.48
2                     236.40
4                     256.36
8                     280.49
16                    306.70
32                    323.14
64                    337.16
128                   371.74
256                   436.61
512                   587.64
1024                 1046.00
2048                 2733.00
4096                 6016.70
8192                 9739.90
16384               17499.31
32768               32517.46
65536               62374.07
131072             123840.59
262144             247435.43
524288             494069.47

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     228.80
2                     401.50
4                     265.10
8                     280.15
16                    336.05
32                    363.83
64                    339.56
128                   372.68
256                   439.89
512                   609.86
1024                 1034.84
2048                 2845.77
4096                 6019.94
8192                 9736.83
16384               17651.02
32768               32559.60
65536               62399.95
131072             123997.59
262144             247423.10
524288             498129.60

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     227.29
2                     237.41
4                     257.15
8                     301.00
16                    304.07
32                    321.57
64                    337.22
128                   370.97
256                   771.27
512                   627.28
1024                 1032.33
2048                 2742.02
4096                 6016.67
8192                 9962.31
16384               17584.22
32768               33589.25
65536               66691.36
131072             147666.29
262144             275214.34
524288             498651.95

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     230.69
2                     236.50
4                     258.47
8                     276.33
16                    306.06
32                    321.24
64                    339.12
128                   370.90
256                   440.54
512                   592.92
1024                 1038.59
2048                 2724.00
4096                 6016.99
8192                 9747.02
16384               17570.34
32768               32584.01
65536               62458.49
131072             123843.94
262144             257412.81
524288             494875.84

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     229.70
2                     233.69
4                     258.65
8                     279.57
16                    305.53
32                    325.21
64                    348.60
128                   676.71
256                   454.92
512                   686.25
1024                 1216.85
2048                 3033.05
4096                10378.17
8192                10446.15
16384               17580.01
32768               32784.08
65536               64027.12
131072             123927.59
262144             247508.66
524288             493542.92

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     230.16
2                     238.83
4                     260.59
8                     279.28
16                    304.42
32                    321.68
64                    338.45
128                   370.58
256                   441.10
512                   595.29
1024                 1035.86
2048                 2726.65
4096                 6025.32
8192                 9856.66
16384               18740.99
32768               34407.74
65536               98311.03
131072             137636.87
262144             277709.36
524288             497328.59

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     230.73
2                     245.11
4                     260.30
8                     285.24
16                    310.29
32                    329.36
64                    341.67
128                   373.36
256                   490.76
512                   615.20
1024                 1069.91
2048                 2731.83
4096                 6086.43
8192                 9851.55
16384               17531.59
32768               32557.67
65536               63543.29
131072             124103.69
262144             248412.24
524288             496838.48

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     233.35
2                     239.51
4                     259.39
8                     281.39
16                    310.37
32                    323.34
64                    338.07
128                   372.75
256                   441.06
512                   605.27
1024                 1037.01
2048                 2730.93
4096                 6295.45
8192                 9872.03
16384               17501.37
32768               32533.91
65536               62660.59
131072             123895.35
262144             248168.85
524288             516613.45

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     238.21
2                     421.47
4                     264.35
8                     283.13
16                    308.34
32                    472.99
64                    424.63
128                   374.39
256                   455.28
512                   587.22
1024                 1038.28
2048                 2829.60
4096                 6033.44
8192                 9874.72
16384               17523.60
32768               32542.45
65536               62414.28
131072             123847.62
262144             247278.37
524288             505029.29
