
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1709.95
2                     526.88
4                     432.63
8                    1087.77
16                    290.01
32                    344.36
64                    305.22
128                   341.35
256                   432.20
512                   613.56
1024                 1116.11
2048                 3168.13
4096                14790.49
8192                11207.25
16384               17219.06
32768               32425.37
65536               60907.16
131072             142866.83
262144             480610.39
524288            1079101.47

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1945.47
2                    1132.60
4                     232.71
8                     254.19
16                    281.61
32                    298.35
64                    363.99
128                   763.96
256                   408.58
512                   554.40
1024                  994.31
2048                 4203.76
4096                17449.56
8192                12493.61
16384               17351.01
32768               56610.87
65536              100340.99
131072             378897.63
262144             398720.29
524288             491011.09

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     203.20
2                     210.27
4                     226.60
8                     250.27
16                    280.33
32                    294.99
64                    307.93
128                   340.20
256                   403.51
512                   544.21
1024                  986.06
2048                 2659.08
4096                 7402.63
8192                10353.27
16384               17486.23
32768               31709.60
65536               61357.89
131072             120975.93
262144             245826.43
524288             504835.46

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     206.32
2                     210.60
4                     235.01
8                     257.04
16                    278.09
32                    292.77
64                    310.58
128                   340.90
256                   406.68
512                   543.02
1024                  985.30
2048                 2632.90
4096                 5869.38
8192                 9677.57
16384               24464.15
32768               31729.57
65536               61369.61
131072             121211.37
262144             240845.03
524288             480379.11

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     205.52
2                     216.95
4                     228.61
8                     252.18
16                    282.96
32                    295.32
64                    308.67
128                   341.38
256                   409.79
512                   543.44
1024                  990.08
2048                 2775.24
4096                 5869.53
8192                 9527.56
16384               17105.32
32768               31735.02
65536               60887.22
131072             120771.66
262144             241439.92
524288             492700.41

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     205.33
2                     215.20
4                     229.84
8                     249.79
16                    281.26
32                    295.75
64                    310.46
128                   337.61
256                   404.11
512                   542.06
1024                  986.47
2048                 2636.42
4096                 5856.43
8192                10369.43
16384               17344.29
32768               31654.65
65536               60775.58
131072             120628.38
262144             240488.69
524288             479826.64

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     206.70
2                     212.51
4                     230.37
8                     251.03
16                    342.37
32                    294.50
64                    318.71
128                   340.76
256                   404.66
512                   545.65
1024                  989.25
2048                 2821.06
4096                 6063.56
8192                 9839.11
16384               17110.35
32768               31658.06
65536               62170.66
131072             120898.08
262144             240373.71
524288             497385.99

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     203.23
2                     206.30
4                     377.66
8                     249.77
16                    275.53
32                    292.06
64                    304.99
128                   335.89
256                   396.92
512                   537.47
1024                  984.90
2048                 2673.73
4096                 6175.92
8192                 9620.78
16384               17069.71
32768               31594.38
65536               60775.29
131072             120758.27
262144             240782.21
524288             479856.93

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     204.24
2                     208.70
4                     224.95
8                     254.51
16                    278.72
32                    293.64
64                    308.03
128                   342.02
256                   401.08
512                   542.92
1024                  982.74
2048                 2652.33
4096                 5867.89
8192                 9623.58
16384               17827.43
32768               31807.85
65536               61457.49
131072             135492.21
262144             240882.49
524288             492065.23

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     211.38
2                     213.27
4                     236.59
8                     253.35
16                    282.29
32                    301.26
64                    314.86
128                   344.90
256                   405.23
512                   573.03
1024                 1000.67
2048                 2664.30
4096                 6060.94
8192                 9711.52
16384               17124.31
32768               31674.37
65536               60875.48
131072             121377.01
262144             240181.69
524288             485480.71
