
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    5786.23
2                   13644.88
4                    1928.53
8                    2494.23
16                   1251.89
32                   6009.74
64                   2413.30
128                 17408.58
256                  8254.89
512                  1820.60
1024                 2616.50
2048                 4725.05
4096                 5644.83
8192                15387.73
16384              143902.00
32768               49480.34
65536               87631.76
131072             541368.48
262144             417474.32
524288            1015384.70

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3110.04
2                    1867.42
4                    1357.56
8                    3138.72
16                   1119.58
32                   1770.37
64                   1514.43
128                  6942.43
256                  2589.16
512                  2100.90
1024                 2132.05
2048                 3012.36
4096                62965.47
8192                36085.02
16384               26421.91
32768               96269.09
65536              585563.45
131072            1089247.40
262144            1273736.16
524288            1318696.79

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     991.12
2                    1017.41
4                     990.33
8                    1087.78
16                  14887.83
32                   2413.90
64                   1380.37
128                 12993.10
256                  2994.98
512                  2296.86
1024                 8911.90
2048                 7021.31
4096                10160.31
8192                27772.76
16384               24900.53
32768              237708.21
65536             2957648.21
131072            4697032.75
262144            1971557.69
524288            4130097.72

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    2270.97
2                   46093.00
4                   26222.15
8                    3328.51
16                   5853.84
32                   3754.84
64                  21772.49
128                 43899.61
256                 14976.71
512                  8765.14
1024                 3452.06
2048                 5928.25
4096                50487.98
8192                54991.55
16384               74015.99
32768              147270.00
65536               66590.14
131072             353899.23
262144            1215765.38
524288            3433032.46

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                   10650.69
2                   10904.01
4                    4743.53
8                   61898.57
16                   4851.64
32                  12195.04
64                   9610.53
128                  9847.41
256                  1600.47
512                 12396.56
1024                 7858.73
2048                10278.35
4096                39757.79
8192                11427.74
16384               31238.31
32768              152447.80
65536              768569.79
131072             899453.53
262144             840127.53
524288            3030176.37

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1114.27
2                    3171.89
4                    3043.32
8                    2280.06
16                  17774.92
32                   3642.70
64                   1438.40
128                  1620.78
256                  2343.77
512                  2808.30
1024                 3448.63
2048                 3796.59
4096                13275.54
8192                24491.72
16384              422037.05
32768              129442.67
65536              235150.20
131072             560551.14
262144             496839.06
524288            1430307.47

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                   15673.43
2                    2929.14
4                    1658.62
8                    3286.53
16                   4170.11
32                   3860.35
64                   1569.93
128                  2068.03
256                  1633.35
512                  2705.68
1024                 3386.99
2048                 2795.72
4096                 7364.52
8192                17095.81
16384               29375.10
32768               47001.94
65536              568690.77
131072             156331.64
262144            1279237.75
524288            2118752.60

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    7771.31
2                   56585.80
4                    7053.09
8                    3176.66
16                   1930.78
32                  43230.20
64                  17258.11
128                  6469.71
256                  1738.96
512                  3251.37
1024                 5444.64
2048                19655.16
4096                 6318.53
8192                22849.50
16384               97032.63
32768               46802.35
65536              675533.34
131072            1558272.78
262144             918363.15
524288             973837.28

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    3721.49
2                    1272.15
4                    1387.38
8                     969.90
16                   1112.34
32                   1376.45
64                   1404.24
128                  1438.11
256                  1632.76
512                  1719.20
1024                 2030.22
2048                 2740.60
4096                 5577.47
8192                 9933.90
16384               22738.44
32768               48767.17
65536              270889.49
131072             301947.35
262144             628675.26
524288            1386554.41

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1140.00
2                     950.91
4                    1097.59
8                    1502.86
16                   1137.51
32                   1372.17
64                   1366.16
128                 19488.13
256                  3617.04
512                  2621.15
1024                 3155.96
2048                 4460.42
4096                 5874.09
8192                31926.29
16384              211267.85
32768              166515.20
65536               54659.88
131072             433027.15
262144            2104327.82
524288            1702834.83
