
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4265.34
2                    4222.87
4                    4072.01
8                    4109.68
16                   4016.42
32                   4021.09
64                   4061.47
128                  4145.80
256                  4562.25
512                  4763.66
1024                 5222.66
2048                 5811.86
4096                 7780.59
8192                12039.69
16384               21981.64
32768               39044.55
65536               77062.08
131072             125573.81
262144             234075.97
524288             496854.00

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4030.52
2                    4104.42
4                    3988.43
8                    4118.16
16                   4774.03
32                   4177.67
64                   4638.53
128                  4061.43
256                  4149.79
512                  4357.92
1024                 4823.40
2048                 5615.78
4096                 7266.25
8192                10410.45
16384               20616.85
32768               38971.85
65536               65517.08
131072             120352.93
262144             225007.38
524288             526211.30

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4208.51
2                    4099.59
4                    4102.71
8                    5258.80
16                   4317.81
32                   4353.12
64                   5009.84
128                  4605.57
256                 10268.37
512                  5129.56
1024                 5037.76
2048                 6024.51
4096                 7405.70
8192                11559.07
16384               25327.44
32768               42122.43
65536               65266.89
131072             132463.52
262144             219272.30
524288             484343.75

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    7965.29
2                    4634.08
4                    4632.89
8                    8531.44
16                   4379.70
32                   4649.70
64                   4360.31
128                  4506.37
256                  6555.45
512                  6184.31
1024                 5135.12
2048                 5605.51
4096                 8089.27
8192                10370.35
16384               20223.20
32768               42028.17
65536               65108.55
131072             118786.94
262144             254826.83
524288             524199.11

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4232.76
2                    4113.72
4                    4070.39
8                    4151.71
16                   4336.96
32                   4144.47
64                   4081.10
128                  4097.26
256                  4284.27
512                  4360.28
1024                 5157.83
2048                 6181.72
4096                 8614.29
8192                12128.36
16384               38938.42
32768               40360.50
65536               75561.19
131072             136479.08
262144             245052.41
524288             548372.14

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    4341.56
2                    6148.04
4                    6659.58
8                    4540.03
16                   4843.34
32                   4052.58
64                   4206.66
128                  4295.07
256                  4593.18
512                  4651.70
1024                 5042.80
2048                 6426.47
4096                 8372.91
8192                11277.66
16384               24541.77
32768               43483.04
65536               87984.31
131072             180931.72
262144             219164.81
524288             762901.32

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                   21906.80
2                    4654.04
4                   16327.18
8                    4552.12
16                   5880.28
32                   4242.24
64                   5048.69
128                  4224.70
256                 87343.51
512                 30119.27
1024                 5874.94
2048                16682.50
4096                13947.22
8192                10931.73
16384               20056.26
32768               44334.56
65536               69713.64
131072             855102.18
262144            3505329.05
524288             944592.46

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                   22436.71
2                   28329.76
4                   15837.81
8                    5569.78
16                   4262.03
32                  18136.76
64                  24920.47
128                  5675.95
256                 20814.43
512                 14887.94
1024                81948.41
2048                14400.92
4096                61463.55
8192                50724.68
16384             1323270.47
32768              535588.62
65536             1038855.30
131072             423298.86
262144            2504991.05
524288            1024097.83

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                   71796.19
2                   11518.55
4                   21443.45
8                   71445.13
16                  11390.58
32                  17920.91
64                   4235.04
128                112665.96
256                 20633.18
512                 10156.14
1024                10168.76
2048                20227.16
4096                10499.46
8192                51019.08
16384               20159.63
32768              225879.85
65536              170228.88
131072             629727.63
262144            1351654.88
524288            3172757.56

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    6326.05
2                    4486.37
4                   43523.68
8                   26960.62
16                   6736.28
32                  42448.01
64                  59017.29
128                 19888.67
256                 38321.50
512                 20354.44
1024                20937.23
2048                13768.87
4096                32955.58
8192               109847.08
16384               49796.36
32768              139002.49
65536             1689078.75
131072             661232.62
262144            2608262.01
524288            1729236.41
