
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     327.82
2                     331.92
4                     354.12
8                     371.32
16                    338.98
32                    369.89
64                    443.61
128                   517.66
256                   640.86
512                   996.87
1024                 1954.01
2048                 4832.09
4096                 9478.89
8192                14678.60
16384               30880.76
32768              148415.91
65536              303792.43
131072             642037.69
262144            1366501.58
524288            2767933.49

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     343.23
2                     419.12
4                     351.75
8                     372.10
16                    342.54
32                    370.22
64                    436.58
128                   521.94
256                   648.81
512                   948.00
1024                 1968.71
2048                 4620.23
4096                 9791.77
8192                15237.67
16384               32004.37
32768              155633.47
65536              302095.92
131072             645783.17
262144            1374474.89
524288            2759858.92

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     334.60
2                     354.29
4                     364.47
8                     369.56
16                    342.00
32                    374.13
64                    466.25
128                   519.07
256                   646.94
512                   948.49
1024                 2581.82
2048                 4657.02
4096                 9525.24
8192                15296.84
16384               32537.80
32768              153159.67
65536              306929.76
131072             635583.56
262144            1368672.94
524288            2771973.71

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     335.67
2                     340.82
4                     355.11
8                     371.34
16                    342.36
32                    374.57
64                    414.56
128                   518.06
256                   651.37
512                   957.83
1024                 1984.33
2048                 4877.31
4096                 9463.71
8192                14410.33
16384               30564.59
32768              151116.66
65536              306592.88
131072             643058.43
262144            1368949.70
524288            2783058.59

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1491.55
2                     354.89
4                     376.34
8                     372.99
16                    340.67
32                    390.97
64                    593.52
128                   509.65
256                   650.15
512                   947.97
1024                 2091.51
2048                 4806.76
4096                 9920.28
8192                15276.90
16384               31025.01
32768              149261.35
65536              301410.46
131072             633597.35
262144            1364533.80
524288            2764536.39

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     332.45
2                     349.31
4                     483.79
8                     394.07
16                    346.13
32                    374.76
64                    428.86
128                   519.45
256                   651.68
512                   950.05
1024                 1967.89
2048                 4644.56
4096                 9477.12
8192                14707.88
16384               30479.03
32768              153584.63
65536              302811.29
131072             637095.43
262144            1369667.09
524288            2776148.97

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     337.51
2                     399.84
4                     361.56
8                     400.57
16                    351.65
32                    369.44
64                    509.14
128                   598.21
256                   659.43
512                   966.29
1024                 1972.26
2048                 4635.67
4096                 9514.08
8192                16561.38
16384               30802.52
32768              149903.63
65536              299795.36
131072             632450.42
262144            1364333.94
524288            2760688.52

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     331.75
2                     343.93
4                     358.62
8                     375.65
16                    345.15
32                    401.14
64                    423.30
128                   535.79
256                   663.87
512                   953.01
1024                 2152.14
2048                 5186.27
4096                10427.59
8192                22159.10
16384               30645.16
32768              147458.98
65536              300160.87
131072             637465.05
262144            1367734.05
524288            2837723.52

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     336.28
2                     346.36
4                     355.34
8                     416.07
16                    349.66
32                    431.10
64                    439.28
128                   948.35
256                   666.28
512                  1031.87
1024                 2362.47
2048                 4853.94
4096                10066.55
8192                14937.33
16384               30980.98
32768              149222.80
65536              300655.68
131072             642826.89
262144            1375499.45
524288            2797179.88
