
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                     260.30
16                     81.97
32                     67.51
64                     80.14
128                   181.81
256                   248.40
512                   604.64
1024                  916.30
2048                 3092.69
4096                 6218.07

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      50.44
16                     50.08
32                     58.41
64                     79.69
128                   191.19
256                   231.87
512                   431.65
1024                 1128.98
2048                 3517.31
4096                 6240.26

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      46.04
16                     50.14
32                     64.44
64                     89.24
128                   200.07
256                   249.74
512                   467.08
1024                  918.03
2048                 2913.71
4096                 6526.70

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      50.47
16                     54.98
32                     58.38
64                     80.14
128                   194.91
256                   232.44
512                   432.19
1024                  920.35
2048                 2910.50
4096                 6217.83

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      59.29
16                     53.25
32                     57.50
64                     79.37
128                   190.16
256                   234.40
512                   434.38
1024                  916.48
2048                 2912.65
4096                 6510.75

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      56.11
16                     56.35
32                     56.87
64                     80.15
128                   191.45
256                   239.30
512                   435.53
1024                  914.58
2048                 3022.02
4096                 6275.12

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      65.18
16                     61.69
32                     62.62
64                     84.24
128                   186.59
256                   234.60
512                   435.63
1024                  917.43
2048                 2931.91
4096                 6215.63

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      61.70
16                     57.44
32                     62.99
64                     86.53
128                   187.70
256                   233.44
512                   435.93
1024                  917.98
2048                 2908.98
4096                 6211.75

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      56.00
16                     48.65
32                    192.21
64                     80.51
128                   189.89
256                   237.14
512                   434.60
1024                  916.55
2048                 2923.92
4096                 6386.25

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      49.53
16                     53.37
32                     57.18
64                     78.04
128                   178.67
256                   229.73
512                   430.70
1024                  916.68
2048                 2921.00
4096                 6221.60
