
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      30.79
2                      31.54
4                      33.19
8                      36.51
16                     48.85
32                     63.48
64                     96.17
128                   121.52
256                   183.79
512                   691.42
1024                 1483.41
2048                 2464.31
4096                 3454.36
8192                11940.05
16384               26191.18
32768               55331.33
65536              125201.33
131072             211389.30
262144             547837.49
524288             686968.01

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      29.39
2                      31.02
4                      31.60
8                      36.30
16                     39.94
32                     55.46
64                     79.61
128                   118.29
256                   188.04
512                   647.55
1024                 1393.65
2048                 2415.49
4096                 3173.18
8192                12001.25
16384               25948.91
32768               55012.73
65536              102134.21
131072             212386.85
262144             385009.98
524288             618925.41

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      28.31
2                      28.93
4                      30.64
8                      34.48
16                     38.88
32                     53.76
64                     81.38
128                   122.87
256                   181.36
512                   615.52
1024                 1368.12
2048                 2328.14
4096                 3093.55
8192                11817.30
16384               25946.00
32768               55143.92
65536              102190.57
131072             186597.05
262144             368785.06
524288             993056.19

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      29.71
2                      29.57
4                      31.28
8                      33.22
16                     40.67
32                     55.84
64                     79.16
128                   118.97
256                   194.74
512                   852.56
1024                 2061.16
2048                 2378.79
4096                 3205.27
8192                12069.89
16384               25940.96
32768               55212.53
65536              143423.79
131072             265433.96
262144             406105.08
524288             638931.65

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      30.56
2                      31.69
4                      34.09
8                      43.50
16                     45.47
32                     61.70
64                     96.49
128                   121.14
256                   186.84
512                   853.40
1024                 1529.97
2048                 2476.39
4096                 3532.09
8192                11848.74
16384               26056.30
32768               72239.94
65536              102345.20
131072             185057.40
262144             367500.89
524288             607874.86

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      27.70
2                      30.15
4                      32.17
8                      34.23
16                     40.94
32                     55.87
64                     78.86
128                   118.95
256                   188.61
512                   656.24
1024                 1401.52
2048                 2362.25
4096                 3184.55
8192                11895.88
16384               26032.64
32768               55500.20
65536              107814.38
131072             184435.74
262144             421222.08
524288             776849.04

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      29.95
2                      28.05
4                      31.12
8                      33.57
16                     39.84
32                     54.44
64                     78.31
128                   473.42
256                   195.03
512                   629.18
1024                 1362.98
2048                 2315.68
4096                 4793.09
8192                20051.01
16384               26248.56
32768              106161.75
65536              146099.31
131072             202743.78
262144             382512.58
524288             787968.98

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      28.39
2                      29.38
4                      31.15
8                      35.98
16                     39.74
32                     54.60
64                     93.72
128                   125.15
256                   189.94
512                   667.76
1024                 1402.71
2048                 2389.12
4096                 3211.62
8192                13854.14
16384               26659.74
32768               55289.12
65536              103241.84
131072             186148.30
262144             393350.13
524288             642402.70

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      29.71
2                      29.96
4                      38.02
8                      42.08
16                     44.77
32                     55.10
64                     91.42
128                   125.39
256                   186.72
512                   702.21
1024                 1475.13
2048                 2417.49
4096                 4935.98
8192                34481.79
16384               26219.82
32768               76767.37
65536              127153.54
131072             185446.59
262144             422917.38
524288             702998.97

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      28.76
2                      29.44
4                      32.17
8                      33.40
16                     41.69
32                     55.18
64                     79.63
128                   118.92
256                   188.65
512                   671.57
1024                 1372.03
2048                 2357.93
4096                 3351.44
8192                15080.85
16384               28234.47
32768               55197.15
65536              103821.42
131072             240433.61
262144             368596.12
524288             609096.83
