
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     103.08
2                     102.62
4                     108.55
8                     116.49
16                    123.81
32                    139.78
64                    153.72
128                   211.84
256                   318.43
512                   710.61
1024                 1362.23
2048                 2453.86
4096                 3734.31
8192                10388.42
16384               64691.60
32768               63556.38
65536              120079.00
131072             207390.06
262144             373935.54
524288             606679.07

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     181.20
2                     112.58
4                     118.06
8                     125.39
16                    130.56
32                    140.43
64                    165.03
128                   214.17
256                   325.04
512                   723.17
1024                 1353.32
2048                 2115.17
4096                 3453.63
8192                10382.38
16384               29786.73
32768               61064.80
65536              119736.03
131072             260513.92
262144             370900.25
524288             568957.26

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     102.84
2                     103.03
4                     121.96
8                     122.22
16                    132.30
32                    136.43
64                    169.96
128                   224.04
256                   328.01
512                   722.97
1024                 1348.35
2048                 2093.38
4096                 3449.54
8192                10572.36
16384               29747.86
32768               61457.78
65536              120180.70
131072             208285.71
262144             354220.16
524288             681429.11

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     103.49
2                     104.23
4                     107.13
8                     119.85
16                    126.59
32                    138.24
64                    162.08
128                   216.64
256                   325.90
512                   727.67
1024                 1349.94
2048                 2083.91
4096                 3552.56
8192                10437.53
16384               30022.65
32768               61791.08
65536              120972.28
131072             236888.89
262144             381367.42
524288             589589.31

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     102.18
2                     103.34
4                     108.22
8                     119.30
16                    124.82
32                    137.51
64                    161.91
128                   213.95
256                   325.50
512                   721.72
1024                 1343.86
2048                 2085.92
4096                 3441.59
8192                13342.34
16384               44310.71
32768               61633.77
65536              122087.85
131072             207757.71
262144             378714.52
524288             586679.87

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     102.98
2                     103.42
4                     107.56
8                     121.42
16                    132.92
32                    137.66
64                    158.26
128                   213.65
256                   324.74
512                   719.82
1024                 1356.82
2048                 2084.87
4096                 3450.44
8192                10440.63
16384               29815.68
32768               61542.72
65536              120880.81
131072             236261.41
262144             347550.97
524288             583026.67

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     105.01
2                     105.55
4                     109.30
8                     122.01
16                    125.04
32                    220.98
64                    163.29
128                   217.49
256                   326.41
512                   722.40
1024                 1345.73
2048                 2086.99
4096                 3452.01
8192                10406.10
16384               29877.35
32768               61504.33
65536              168649.53
131072             208714.84
262144             376831.02
524288             584102.06

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     104.00
2                     103.25
4                     108.12
8                     121.14
16                    126.30
32                    138.14
64                    163.57
128                   217.83
256                   327.65
512                   714.33
1024                 1342.93
2048                 2095.90
4096                 3454.40
8192                10510.39
16384               29835.27
32768               61920.21
65536              160714.58
131072             207413.96
262144             374125.03
524288             566975.68

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     102.66
2                     102.42
4                     107.35
8                     120.13
16                    122.92
32                    138.02
64                    158.21
128                   212.07
256                   324.51
512                   717.36
1024                 1347.54
2048                 2092.24
4096                 3445.69
8192                10432.71
16384               29759.78
32768               61511.69
65536              120521.04
131072             235831.00
262144             345340.45
524288             561820.20

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                     104.26
2                     101.91
4                     109.49
8                     123.42
16                    124.36
32                    136.59
64                    163.70
128                   215.61
256                   325.21
512                   720.79
1024                 1344.17
2048                 2129.73
4096                 3457.74
8192                11193.12
16384               29789.83
32768               61381.03
65536              120805.13
131072             207146.91
262144             350702.85
524288             580080.86
