
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      89.48
16                     76.50
32                     91.43
64                    124.99
128                   251.19
256                   347.96
512                   468.12
1024                 1403.47
2048                 4201.21
4096                 8070.80

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      84.18
16                     81.79
32                     97.78
64                    129.57
128                   226.94
256                   290.17
512                   523.79
1024                 1249.36
2048                 4565.15
4096                 8212.76

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      78.30
16                     77.26
32                     94.96
64                    126.63
128                   223.19
256                   285.15
512                   482.71
1024                 1141.35
2048                 4372.68
4096                 8282.63

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      72.37
16                     79.38
32                     92.80
64                    123.48
128                   225.12
256                   270.74
512                   945.81
1024                 1144.62
2048                 4019.04
4096                 8100.52

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      85.62
16                     78.07
32                     93.42
64                    124.67
128                   585.36
256                   276.96
512                   813.19
1024                 1604.69
2048                 4189.64
4096                 8334.73

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      74.52
16                     78.21
32                     94.90
64                    134.81
128                   238.05
256                   274.42
512                   467.65
1024                 1440.51
2048                 4282.66
4096                 8127.90

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      76.75
16                     80.24
32                     95.17
64                    126.67
128                   241.34
256                   278.86
512                   472.96
1024                 1336.96
2048                 4237.34
4096                 8487.67

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      82.48
16                     77.53
32                    105.43
64                    125.97
128                   225.88
256                   294.71
512                   463.65
1024                 1120.75
2048                 4155.18
4096                 8106.86

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      80.17
16                     78.80
32                     92.99
64                    129.63
128                   233.49
256                   280.70
512                   469.86
1024                 1182.72
2048                 4104.07
4096                 8035.32

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
8                      84.67
16                     78.50
32                     97.13
64                    130.59
128                   236.19
256                   277.72
512                   466.78
1024                 1161.52
2048                 4043.20
4096                 8186.80
