
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1182.04
2                    1208.38
4                    1190.23
8                    1194.43
16                   2844.77
32                   2778.64
64                   2787.27
128                  2830.91
256                  2866.99
512                  2953.92
1024                 3298.13
2048                 3919.74
4096                 4949.26
8192                 7420.04
16384               26790.69
32768               70006.22
65536               47764.55
131072              90965.47

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1179.89
2                    1208.32
4                    1190.03
8                    1197.51
16                   2855.90
32                   2784.94
64                   2805.33
128                  2836.01
256                  2866.50
512                  2956.51
1024                 3291.49
2048                 3958.80
4096                 4968.68
8192                 7410.64
16384               26177.74
32768               67129.12
65536               47557.11
131072              89946.24

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1179.79
2                    1223.24
4                    1189.06
8                    1195.18
16                   2749.44
32                   2779.08
64                   2802.41
128                  2819.22
256                  2826.01
512                  2959.84
1024                 3362.27
2048                 4010.87
4096                 4937.05
8192                 7376.09
16384               24470.22
32768               59482.84
65536               47248.09
131072              90142.10

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1192.00
2                    1218.01
4                    1193.48
8                    1202.41
16                   2818.39
32                   2798.72
64                   2788.68
128                  2830.22
256                  2851.92
512                  2968.54
1024                 3289.67
2048                 3958.05
4096                 4958.57
8192                 7404.40
16384               29656.80
32768               67096.83
65536               47549.43
131072              90706.42

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1182.10
2                    1210.17
4                    1193.17
8                    1200.03
16                   2800.91
32                   2794.51
64                   2787.93
128                  2851.04
256                  2839.71
512                  2964.87
1024                 3306.81
2048                 3973.03
4096                 5005.50
8192                 7386.00
16384               27420.57
32768               62230.11
65536               48026.67
131072              91729.53

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1179.50
2                    1207.65
4                    1193.66
8                    1214.82
16                   2753.47
32                   2797.31
64                   2792.49
128                  2820.41
256                  2859.11
512                  2940.17
1024                 3285.26
2048                 3974.10
4096                 4985.59
8192                 7398.22
16384               25702.18
32768               67881.23
65536               48156.37
131072              92044.98

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1201.54
2                    1227.97
4                    1209.61
8                    1218.10
16                   2759.80
32                   2811.99
64                   2801.17
128                  2855.58
256                  2854.90
512                  2951.57
1024                 3320.66
2048                 3921.79
4096                 5067.79
8192                 7421.31
16384               28591.09
32768               65714.73
65536               49463.47
131072              90871.63

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1182.07
2                    1211.08
4                    1194.96
8                    1202.01
16                   2751.14
32                   2819.44
64                   2840.92
128                  2816.20
256                  2867.72
512                  2982.56
1024                 3304.69
2048                 3978.75
4096                 4955.38
8192                 7457.44
16384               25491.50
32768               60015.63
65536               47628.13
131072              91836.81

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1188.02
2                    1211.21
4                    1197.57
8                    1197.75
16                   2758.77
32                   2789.75
64                   2797.26
128                  2819.92
256                  2879.61
512                  2949.74
1024                 3323.10
2048                 3947.61
4096                 4977.63
8192                 7410.63
16384               30982.97
32768               62369.69
65536               50842.13
131072              93029.11

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                    1208.12
2                    1236.04
4                    1216.98
8                    1226.16
16                   2751.63
32                   2809.13
64                   2807.69
128                  2828.13
256                  2865.71
512                  2960.19
1024                 3289.60
2048                 3936.42
4096                 4925.51
8192                 7398.60
16384               26292.86
32768               68617.23
65536               47674.34
131072              90338.75
