
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               20552.43
32768               39385.74
65536               76636.03
131072             153756.50
262144             305364.07
524288             609789.05
1048576           1214435.84
2097152           2418291.80

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               20566.40
32768               39325.16
65536               76778.89
131072             153408.74
262144             305902.55
524288             609409.05
1048576           1212434.66
2097152           2415095.33

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21063.29
32768               39446.61
65536               76541.12
131072             153580.52
262144             305425.00
524288             609906.30
1048576           1212723.58
2097152           2424608.65

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21377.45
32768               39365.09
65536               76787.22
131072             154343.06
262144             306369.37
524288             610646.61
1048576           1212754.49
2097152           2423685.45

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               20763.46
32768               39427.96
65536               76439.99
131072             153535.84
262144             306017.23
524288             610280.15
1048576           1216311.80
2097152           2422591.23

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               20999.96
32768               39657.01
65536               76812.88
131072             153784.68
262144             305625.76
524288             610428.81
1048576           1213136.74
2097152           2418861.74

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               20739.81
32768               39331.15
65536               76684.28
131072             153438.78
262144             304724.45
524288             609061.67
1048576           1213264.25
2097152           2426170.24

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21434.62
32768               39921.60
65536               76806.93
131072             153707.45
262144             305620.50
524288             607808.66
1048576           1213356.71
2097152           2416674.51

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               20818.79
32768               39283.09
65536               76730.04
131072             153731.91
262144             306499.72
524288             609889.65
1048576           1212852.82
2097152           2421675.40

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               20861.19
32768               39328.13
65536               76621.05
131072             153625.39
262144             305594.75
524288             608870.22
1048576           1211763.36
2097152           2421857.10
