
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21754.81
32768               47275.64
65536               53310.47
131072             104662.19
262144             206338.21
524288             409026.04
1048576            819561.49
2097152           1640531.51

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21722.67
32768               47066.40
65536               53201.58
131072             105266.03
262144             206165.63
524288             408165.32
1048576            818243.47
2097152           1637280.44

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21762.13
32768               47387.81
65536               53148.92
131072             104926.88
262144             206591.03
524288             408458.01
1048576            818057.67
2097152           1639631.62

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22254.24
32768               47249.38
65536               53295.79
131072             104764.84
262144             206153.53
524288             408644.98
1048576            818004.45
2097152           1641088.10

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22036.66
32768               47240.25
65536               53202.74
131072             104705.61
262144             205983.19
524288             409684.46
1048576            818324.04
2097152           1637468.19

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22319.08
32768               47388.42
65536               53563.47
131072             104509.12
262144             205919.47
524288             408218.10
1048576            817116.30
2097152           1638576.71

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21936.57
32768               47156.04
65536               53123.41
131072             104745.79
262144             206245.94
524288             407551.79
1048576            816980.16
2097152           1635923.70

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22121.19
32768               47668.09
65536               53151.41
131072             104755.64
262144             206508.17
524288             408737.88
1048576            819007.48
2097152           1637002.79

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               21947.83
32768               47319.28
65536               52999.82
131072             105304.80
262144             206378.61
524288             409301.84
1048576            818268.75
2097152           1640605.78

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384               22574.58
32768               48710.39
65536               53175.99
131072             104855.53
262144             206349.37
524288             408399.80
1048576            819347.98
2097152           1639724.03
