
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     137.31
2                     131.61
4                     121.59
8                      97.73
16                    104.75
32                    588.33
64                    175.60
128                  1233.48
256                  1494.41
512                  2034.47
1024                 3119.60
2048                 6472.09
4096                 9529.98
8192                17204.28
16384               62783.56
32768              127210.16
65536              250545.49
131072             511903.53
262144            1008472.66
524288            2010021.46

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     184.89
2                     100.25
4                     191.85
8                      95.58
16                    113.87
32                    592.44
64                    183.96
128                  1146.58
256                  1567.09
512                  2000.82
1024                 3130.23
2048                 6417.03
4096                 9496.64
8192                17315.31
16384               62726.02
32768              127035.71
65536              250615.18
131072             512691.56
262144            1008117.87
524288            2009360.91

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     191.67
2                     124.21
4                     193.23
8                      98.36
16                    114.86
32                    605.23
64                    188.08
128                  1209.07
256                  1619.57
512                  2023.35
1024                 3101.72
2048                 6423.74
4096                 9583.50
8192                17328.96
16384               62719.35
32768              126872.04
65536              250677.36
131072             512071.03
262144            1008531.80
524288            2010039.42

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     143.19
2                     117.56
4                     130.64
8                     122.55
16                    110.59
32                    607.51
64                    183.96
128                  1109.12
256                  1597.28
512                  1989.92
1024                 3130.43
2048                 6444.11
4096                 9520.73
8192                17349.42
16384               62644.81
32768              126810.40
65536              250483.31
131072             511407.15
262144            1008448.04
524288            2009238.48

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     144.60
2                     109.35
4                     113.17
8                      91.79
16                    102.74
32                    583.06
64                    174.25
128                  1148.13
256                  1505.30
512                  2062.01
1024                 3080.96
2048                 6449.11
4096                 9540.51
8192                17102.61
16384               62919.08
32768              126939.04
65536              250981.18
131072             512722.27
262144            1008775.96
524288            2009733.89

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     127.37
2                     156.59
4                     141.90
8                      92.14
16                    105.61
32                    570.39
64                    164.61
128                  1252.08
256                  1487.77
512                  2025.33
1024                 3133.32
2048                 6525.17
4096                 9530.48
8192                17217.75
16384               63024.77
32768              126655.56
65536              250732.95
131072             511935.90
262144            1008209.54
524288            2008486.68

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     132.19
2                     154.23
4                     121.75
8                      92.56
16                    102.73
32                    595.81
64                    177.50
128                  1268.00
256                  1470.20
512                  2017.81
1024                 3088.07
2048                 6470.68
4096                 9543.86
8192                17328.78
16384               62776.60
32768              126943.32
65536              250653.39
131072             511576.83
262144            1007859.52
524288            2009526.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     159.49
2                     104.87
4                     115.43
8                      94.41
16                    103.17
32                    611.29
64                    177.10
128                  1194.70
256                  1463.85
512                  2110.19
1024                 3060.70
2048                 6446.92
4096                 9509.57
8192                17271.50
16384               62855.61
32768              127001.37
65536              250722.61
131072             512368.53
262144            1008582.77
524288            2009718.17

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     130.27
2                      90.40
4                     110.63
8                      89.57
16                     97.82
32                    568.47
64                    210.95
128                  1110.68
256                  1575.92
512                  1967.97
1024                 3149.69
2048                 6478.89
4096                 9531.19
8192                17183.01
16384               63172.49
32768              126669.72
65536              250646.06
131072             511454.30
262144            1008076.94
524288            2009072.77

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     138.43
2                     157.03
4                     114.73
8                      90.25
16                     97.97
32                    600.50
64                    177.95
128                  1211.97
256                  1475.46
512                  2043.66
1024                 3114.69
2048                 6475.79
4096                 9475.81
8192                17220.18
16384               63471.95
32768              127031.19
65536              250792.56
131072             511753.16
262144            1008082.58
524288            2009293.99

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     164.43
2                      91.60
4                     123.29
8                      94.89
16                    100.19
32                    594.80
64                    171.61
128                  1267.47
256                  1474.12
512                  2039.97
1024                 3120.36
2048                 6469.04
4096                 9446.05
8192                17355.61
16384               63406.89
32768              127149.98
65536              250887.52
131072             512219.96
262144            1009295.08
524288            2009779.03

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     127.87
2                     150.80
4                     140.69
8                      90.37
16                     96.60
32                    557.09
64                    164.71
128                  1232.49
256                  1488.40
512                  2047.24
1024                 3159.86
2048                 6478.32
4096                 9550.09
8192                17274.53
16384               63431.34
32768              127205.28
65536              250819.39
131072             511795.46
262144            1007886.47
524288            2009812.39

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     135.89
2                     130.18
4                     142.36
8                      99.14
16                    106.28
32                    589.18
64                    183.96
128                  1148.06
256                  1609.94
512                  2046.07
1024                 3133.87
2048                 6508.44
4096                 9595.07
8192                17353.38
16384               63652.53
32768              127003.77
65536              250849.37
131072             512225.21
262144            1008645.91
524288            2009756.06
