
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     421.38
2                     273.40
4                     292.03
8                     264.53
16                    261.37
32                    335.15
64                    356.48
128                   414.04
256                   652.01
512                  1022.95
1024                 1561.39
2048                 2488.80
4096                 4409.76
8192                 9243.70
16384               18380.55
32768               37312.43
65536               74774.34
131072             151037.99
262144             298682.06
524288             635767.87

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     415.81
2                     279.95
4                     292.48
8                     277.27
16                    269.51
32                    386.97
64                    333.47
128                   415.83
256                   655.41
512                  1020.69
1024                 1570.43
2048                 2494.04
4096                 4407.70
8192                 9206.40
16384               18494.31
32768               37367.72
65536               74777.84
131072             151101.07
262144             298716.92
524288             623866.87

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     413.15
2                     271.04
4                     296.13
8                     274.22
16                    262.18
32                    335.63
64                    335.38
128                   414.33
256                   638.52
512                  1015.50
1024                 1558.60
2048                 2484.29
4096                 4407.24
8192                 9238.63
16384               18444.66
32768               37262.33
65536               74824.42
131072             154188.83
262144             315066.69
524288             626335.60

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     393.47
2                     247.14
4                     238.35
8                     276.74
16                    272.47
32                    291.10
64                    361.58
128                   414.96
256                   654.91
512                  1019.48
1024                 1566.62
2048                 2476.91
4096                 4354.81
8192                 9229.66
16384               18353.24
32768               37344.52
65536               74902.30
131072             151081.87
262144             298393.95
524288             632643.93

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     414.54
2                     269.00
4                     289.78
8                     273.06
16                    272.09
32                    356.84
64                    331.07
128                   420.05
256                   658.57
512                  1032.03
1024                 1555.32
2048                 2474.98
4096                 4462.60
8192                 9233.97
16384               18600.62
32768               37586.85
65536               75072.96
131072             151257.89
262144             299123.21
524288             624892.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     379.43
2                     273.17
4                     304.52
8                     273.92
16                    264.18
32                    325.66
64                    387.74
128                   429.87
256                   645.18
512                  1020.06
1024                 1566.93
2048                 2522.17
4096                 4458.30
8192                 9296.31
16384               18544.31
32768               37390.52
65536               74741.34
131072             151314.06
262144             298934.47
524288             629057.06

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     416.39
2                     290.53
4                     320.31
8                     286.73
16                    331.49
32                    351.43
64                    338.36
128                   423.83
256                   678.61
512                  1039.42
1024                 1592.55
2048                 2535.26
4096                 4472.12
8192                 9245.48
16384               18596.35
32768               37450.55
65536               75168.17
131072             151413.53
262144             299388.98
524288             624963.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     403.17
2                     295.77
4                     301.82
8                     285.09
16                    294.36
32                    352.95
64                    343.50
128                   434.20
256                   664.30
512                  1031.26
1024                 1602.30
2048                 2534.14
4096                 4469.31
8192                 9334.72
16384               18371.65
32768               37321.83
65536               75454.69
131072             155005.57
262144             299368.27
524288             624636.91

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     415.16
2                     271.82
4                     300.26
8                     289.35
16                    285.54
32                    391.40
64                    344.37
128                   433.17
256                   670.14
512                   993.11
1024                 1539.72
2048                 2496.45
4096                 4484.52
8192                 9346.53
16384               18576.28
32768               37417.48
65536               75125.74
131072             151229.58
262144             299299.33
524288             625053.85

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     330.72
2                     499.47
4                     242.77
8                     531.40
16                    279.68
32                    474.41
64                    321.87
128                   523.89
256                   673.76
512                  1036.87
1024                 1553.94
2048                 2503.66
4096                 4492.16
8192                 9314.51
16384               18675.86
32768               37543.43
65536               75005.13
131072             151094.69
262144             299095.07
524288             625523.54

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     400.50
2                     279.63
4                     288.79
8                     286.90
16                    289.41
32                    393.01
64                    338.75
128                   423.58
256                   660.65
512                  1037.97
1024                 1574.15
2048                 2520.88
4096                 4479.46
8192                 9337.55
16384               18579.71
32768               37415.85
65536               74538.63
131072             151287.53
262144             299181.75
524288             628451.98

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     421.91
2                     285.27
4                     284.10
8                     297.90
16                    342.20
32                    381.17
64                    351.15
128                   426.94
256                   667.76
512                  1054.29
1024                 1587.66
2048                 2526.68
4096                 4378.27
8192                 9382.40
16384               18617.81
32768               37477.63
65536               75133.40
131072             151622.23
262144             299313.43
524288             624418.16

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     403.52
2                     290.86
4                     297.66
8                     301.35
16                    294.86
32                    392.13
64                    352.22
128                   441.77
256                   672.97
512                  1046.18
1024                 1595.87
2048                 2515.02
4096                 4494.93
8192                 9337.52
16384               18431.39
32768               37350.84
65536               75722.18
131072             157182.38
262144             299154.82
524288             624949.40
