
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      76.31
2                      63.21
4                     158.77
8                     102.82
16                    108.23
32                    179.07
64                    193.74
128                   315.70
256                   414.74
512                   806.37
1024                 1472.45
2048                 2131.27
4096                 4217.17
8192                 8314.67
16384               15936.80
32768               30575.38
65536               60320.09
131072             114940.11
262144             233767.06
524288             458967.74

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     175.87
2                      99.07
4                     101.60
8                     127.22
16                    126.03
32                    159.26
64                    212.51
128                   379.31
256                   387.28
512                  1212.65
1024                 1622.52
2048                 2039.67
4096                 3867.21
8192                 8341.40
16384               15282.46
32768               30058.63
65536               57914.10
131072             115743.65
262144             231647.10
524288             454327.55

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      69.08
2                      77.48
4                      96.29
8                      94.26
16                    101.36
32                    120.35
64                    225.28
128                   338.46
256                   519.08
512                  1325.94
1024                 1468.56
2048                 2723.84
4096                 4396.21
8192                 8337.19
16384               15510.99
32768               30005.54
65536               59159.02
131072             113879.79
262144             231396.48
524288             454145.69

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     112.55
2                     111.55
4                     125.15
8                     125.21
16                    173.37
32                    188.31
64                    263.36
128                   415.04
256                   405.18
512                  1200.68
1024                 1667.60
2048                 2387.06
4096                 4300.49
8192                 8348.13
16384               15656.17
32768               30168.96
65536               59034.17
131072             113965.75
262144             233445.75
524288             457613.43

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     120.29
2                     142.30
4                     122.63
8                      93.50
16                    140.36
32                    159.57
64                    230.68
128                   362.72
256                   421.88
512                  1219.86
1024                 1561.04
2048                 2023.95
4096                 4019.12
8192                 8452.05
16384               15395.32
32768               29914.04
65536               58669.42
131072             118046.11
262144             234921.29
524288             452779.80

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      94.83
2                     149.46
4                     113.75
8                     102.59
16                    137.27
32                    201.28
64                    207.95
128                   359.67
256                   412.10
512                  1196.21
1024                 1497.10
2048                 2283.46
4096                 4082.17
8192                 8345.06
16384               15261.70
32768               29985.10
65536               58162.68
131072             115193.52
262144             230624.75
524288             453647.84

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      92.38
2                     137.29
4                      95.34
8                     130.09
16                    129.72
32                    182.51
64                    198.72
128                   258.57
256                   431.39
512                  2352.02
1024                 1560.38
2048                 2813.56
4096                 3944.28
8192                 8335.76
16384               15197.55
32768               30091.79
65536               59520.95
131072             114138.27
262144             231279.48
524288             453907.96

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     119.36
2                      74.81
4                      76.31
8                     109.55
16                     90.09
32                    132.35
64                    164.83
128                   255.49
256                   376.85
512                   923.01
1024                 1416.83
2048                 2482.46
4096                 4111.56
8192                 8391.96
16384               15006.54
32768               31024.15
65536               58444.70
131072             113950.94
262144             230508.22
524288             455063.22

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     115.53
2                     111.23
4                     132.06
8                     105.01
16                    128.17
32                    174.04
64                    214.45
128                   407.61
256                   457.55
512                  1275.77
1024                 2902.81
2048                 1989.99
4096                 4533.76
8192                 8410.00
16384               15633.32
32768               29787.07
65536               58469.86
131072             114427.42
262144             230572.33
524288             453750.24

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     109.99
2                     164.64
4                     132.68
8                     122.86
16                    168.34
32                    189.91
64                    214.26
128                   400.82
256                   441.08
512                  1189.72
1024                 1690.91
2048                 2403.79
4096                 4212.03
8192                 8344.39
16384               15618.07
32768               30099.75
65536               58285.29
131072             113384.65
262144             232184.24
524288             457735.64

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     101.52
2                     163.50
4                     101.91
8                     122.34
16                    128.86
32                    179.59
64                    221.90
128                   327.30
256                   462.78
512                  1067.83
1024                 1586.96
2048                 2477.88
4096                 4217.09
8192                 8463.63
16384               15529.26
32768               29788.45
65536               58546.01
131072             113098.80
262144             232807.21
524288             452991.86

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     114.26
2                     122.44
4                     131.08
8                     124.37
16                    149.53
32                    191.37
64                    243.71
128                   411.22
256                   410.14
512                  1246.44
1024                 1642.62
2048                 2422.17
4096                 4322.77
8192                 8245.72
16384               15128.74
32768               29351.08
65536               58318.84
131072             114531.18
262144             232012.32
524288             456153.90

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      74.02
2                     120.07
4                      74.14
8                      78.92
16                     90.25
32                    117.22
64                    187.79
128                   217.03
256                   532.07
512                  1189.44
1024                 1451.19
2048                 2820.09
4096                 4255.64
8192                 8118.62
16384               15315.43
32768               29353.76
65536               58807.75
131072             113802.81
262144             230002.81
524288             451912.69
