
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     313.12
2                     164.12
4                     164.05
8                     158.49
16                    187.52
32                    185.53
64                    219.73
128                   403.24
256                   535.21
512                   946.30
1024                 1464.53
2048                 2393.13
4096                 4300.16
8192                 9055.86
16384               18326.10
32768               36823.84
65536              101025.94
131072             150256.48
262144             296746.87
524288             620909.26

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     258.49
2                     222.77
4                     162.10
8                     163.04
16                    173.52
32                    205.58
64                    221.55
128                   356.34
256                   536.12
512                   932.38
1024                 1473.40
2048                 2397.91
4096                 4298.26
8192                 9094.26
16384               18240.99
32768               36936.53
65536               74135.20
131072             149999.42
262144             297035.46
524288             633153.82

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     311.63
2                     159.17
4                     158.85
8                     151.72
16                    159.50
32                    178.57
64                    226.32
128                   340.35
256                   536.81
512                   954.34
1024                 1465.76
2048                 2380.46
4096                 4292.73
8192                 9074.67
16384               18195.27
32768               36896.64
65536               74367.17
131072             150167.78
262144             297036.49
524288             620563.47

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     243.75
2                     210.60
4                     144.37
8                     148.34
16                    152.54
32                    169.20
64                    216.09
128                   333.84
256                   542.65
512                   917.32
1024                 1451.35
2048                 2349.54
4096                 4298.47
8192                 9102.72
16384               18264.30
32768               36898.41
65536               74407.71
131072             150074.03
262144             298074.85
524288             645545.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     267.66
2                     197.55
4                     168.37
8                     181.05
16                    173.12
32                    195.61
64                    223.14
128                   375.05
256                   535.47
512                   940.25
1024                 1474.11
2048                 2369.55
4096                 4268.60
8192                 9075.42
16384               18097.36
32768               36852.57
65536               74073.30
131072             150161.94
262144             297073.71
524288             630209.16

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     296.74
2                     169.23
4                     155.66
8                     140.85
16                    199.69
32                    182.28
64                    206.39
128                   401.45
256                   525.72
512                   953.66
1024                 1474.21
2048                 2397.65
4096                 4300.84
8192                 9085.90
16384               18257.67
32768               36820.97
65536               74261.13
131072             150065.98
262144             296881.42
524288             620557.38

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     287.06
2                     167.08
4                     160.36
8                     159.70
16                    178.65
32                    189.76
64                    230.27
128                   414.55
256                   544.86
512                   953.24
1024                 1460.30
2048                 2392.79
4096                 4292.67
8192                 9071.29
16384               18228.07
32768               36852.84
65536               74105.36
131072             150156.21
262144             296931.96
524288             621435.22

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     290.72
2                     145.70
4                     147.71
8                     141.48
16                    185.09
32                    158.79
64                    198.18
128                   336.87
256                   559.29
512                   965.27
1024                 1463.89
2048                 2396.57
4096                 5545.33
8192                 9147.66
16384               18279.47
32768               36928.44
65536               74265.05
131072             150073.85
262144             296873.75
524288             620565.34

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     291.22
2                     152.37
4                     158.71
8                     154.30
16                    147.84
32                    162.59
64                    224.86
128                   342.30
256                   565.28
512                   952.97
1024                 1442.64
2048                 2387.97
4096                 4297.19
8192                 9104.23
16384               18315.59
32768               36964.95
65536               74324.53
131072             150099.69
262144             297227.21
524288             632780.33

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     277.92
2                     222.42
4                     154.12
8                     165.89
16                    169.64
32                    196.23
64                    208.46
128                   345.96
256                   534.58
512                   949.36
1024                 1471.73
2048                 2394.89
4096                 4299.70
8192                 9077.98
16384               18249.35
32768               36978.12
65536               74314.63
131072             150078.85
262144             297053.37
524288             620818.24

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     304.92
2                     162.95
4                     159.09
8                     166.12
16                    156.23
32                    187.82
64                    221.87
128                   395.34
256                   529.19
512                   944.56
1024                 1462.71
2048                 2397.01
4096                 4304.64
8192                 9103.56
16384               18295.08
32768               36954.66
65536               74124.46
131072             150088.11
262144             309693.60
524288             620279.60

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     246.32
2                     176.50
4                     158.58
8                     154.56
16                    172.06
32                    221.09
64                    222.29
128                   344.31
256                   516.14
512                   939.82
1024                 1450.63
2048                 2397.26
4096                 4308.86
8192                 9062.19
16384               18261.98
32768               36844.16
65536               74246.02
131072             150266.68
262144             297046.05
524288             620757.80

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     828.50
2                     166.22
4                     134.67
8                     134.91
16                    139.96
32                    150.99
64                    518.49
128                   896.38
256                   606.43
512                   951.09
1024                 1426.17
2048                 2381.67
4096                 4293.39
8192                 9086.01
16384               18339.78
32768               37006.75
65536               74159.61
131072             150103.16
262144             296804.18
524288             620359.86
