
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     381.38
2                    5242.17
4                     299.29
8                     287.62
16                    296.32
32                    341.93
64                    359.32
128                   447.98
256                   547.36
512                  1011.80
1024                 1476.33
2048                 2053.26
4096                 4545.57
8192                11251.56
16384               21754.87
32768               41898.86
65536               83446.31
131072             202418.76
262144             298556.82
524288             592913.34

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     398.46
2                     449.18
4                     375.67
8                     333.62
16                    395.19
32                    367.23
64                    390.40
128                   449.93
256                   575.68
512                  1032.54
1024                 1466.52
2048                 2045.91
4096                 4532.61
8192                11307.87
16384               21523.76
32768               42391.19
65536               83460.74
131072             197336.63
262144             295387.19
524288             589532.25

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     529.72
2                     370.17
4                     380.17
8                     397.49
16                    403.02
32                    392.27
64                    380.83
128                   447.11
256                   594.62
512                  1054.50
1024                 1509.00
2048                 2090.19
4096                 4527.59
8192                11280.00
16384               21743.96
32768               41811.77
65536               88926.99
131072             197849.46
262144             295433.52
524288             590636.70

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     395.16
2                     431.76
4                     389.07
8                     343.10
16                    419.00
32                    373.39
64                    388.28
128                   451.25
256                   595.78
512                  1079.27
1024                 1548.13
2048                 2213.89
4096                 4609.59
8192                11326.99
16384               21902.75
32768               42096.62
65536               83753.23
131072             198585.27
262144             295581.33
524288             597103.44

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     394.42
2                     366.17
4                     367.25
8                     405.29
16                    390.41
32                    378.93
64                    381.53
128                   453.12
256                   584.40
512                  1007.79
1024                 1457.59
2048                 2175.43
4096                 4504.80
8192                11669.95
16384               21582.94
32768               42465.06
65536               83610.21
131072             205848.65
262144             294429.58
524288             592381.18

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     365.24
2                     356.23
4                     396.59
8                     410.79
16                    385.09
32                    359.28
64                    394.89
128                   460.77
256                   583.24
512                  1055.89
1024                 1551.92
2048                 2092.16
4096                 4507.58
8192                11305.31
16384               21685.69
32768               42330.27
65536               83171.37
131072             197865.33
262144             295524.45
524288             593047.57

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     384.32
2                     412.94
4                     359.94
8                     421.68
16                    379.77
32                    383.21
64                    379.90
128                   443.19
256                   622.69
512                  1003.17
1024                 1459.06
2048                 2107.92
4096                 4502.83
8192                11381.56
16384               21845.68
32768               42265.00
65536               83768.24
131072             197885.24
262144             295583.84
524288             590250.40

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     397.31
2                     408.87
4                     415.55
8                     329.33
16                    364.58
32                    414.42
64                    382.24
128                   463.17
256                   585.98
512                   976.46
1024                 1466.91
2048                 1969.83
4096                 4520.51
8192                11331.51
16384               21804.28
32768               42185.69
65536               83992.65
131072             198058.25
262144             304424.98
524288             593497.29

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     391.85
2                     423.98
4                     397.73
8                     358.09
16                    418.51
32                    387.46
64                    393.17
128                   446.89
256                   586.70
512                  1053.77
1024                 1536.50
2048                 2000.82
4096                 4367.11
8192                11304.15
16384               21720.00
32768               42293.53
65536               83508.08
131072             197845.92
262144             295530.69
524288             598954.87

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     381.84
2                     414.57
4                     383.52
8                     398.02
16                    421.31
32                    381.58
64                    391.35
128                   443.67
256                   623.28
512                   993.02
1024                 1559.71
2048                 2092.18
4096                 4584.80
8192                11397.53
16384               21722.39
32768               42260.17
65536               83486.86
131072             197608.23
262144             320117.36
524288             589301.23

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     394.84
2                     411.26
4                     379.29
8                     401.65
16                    407.35
32                    371.48
64                    381.65
128                   439.77
256                   576.81
512                  1012.59
1024                 1435.60
2048                 2100.74
4096                 4525.67
8192                11360.52
16384               21847.42
32768               42259.64
65536               83175.21
131072             197804.92
262144             296361.90
524288             591738.10

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     378.39
2                     368.00
4                     376.41
8                     411.97
16                    402.00
32                    361.76
64                    380.60
128                   435.58
256                   594.33
512                   973.88
1024                 1344.34
2048                 1964.07
4096                 4882.68
8192                12051.60
16384               21804.21
32768               42349.26
65536               83690.03
131072             198178.17
262144             296927.94
524288             607995.84
