
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1374.73
2                    1368.16
4                    1400.74
8                    1382.18
16                   1295.14
32                   1452.24
64                   1572.92
128                  1670.79
256                  2244.70
512                  3243.97
1024                 4760.13
2048                 8194.79
4096                15352.01
8192                40660.10
16384              104515.76
32768              201351.25
65536              409087.75
131072             840270.88
262144            1572306.32
524288            2165924.00

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1382.35
2                    1389.32
4                    1409.01
8                    1387.60
16                   1302.55
32                   1466.78
64                   1582.15
128                  1678.25
256                  2229.73
512                  3226.29
1024                 4748.90
2048                 8173.19
4096                15291.75
8192                39195.49
16384              104516.19
32768              203519.36
65536              433397.64
131072             861325.16
262144            1541171.64
524288            2145814.30

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1379.87
2                    1399.07
4                    1391.37
8                    1397.49
16                   1299.74
32                   1455.28
64                   1569.99
128                  1677.41
256                  2237.75
512                  3243.92
1024                 4778.71
2048                 8224.03
4096                15320.10
8192                39729.37
16384              104880.53
32768              203281.38
65536              405625.85
131072             842301.61
262144            1523217.72
524288            2168107.10

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1382.97
2                    1380.69
4                    1395.13
8                    1382.22
16                   1297.64
32                   1456.64
64                   1564.80
128                  1676.62
256                  2234.67
512                  3241.74
1024                 4747.04
2048                 9743.29
4096                16511.20
8192                40224.36
16384              104505.33
32768              202475.57
65536              414856.59
131072             846671.76
262144            1577181.29
524288            2145777.19

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1384.70
2                    1409.39
4                    1402.70
8                    1393.33
16                   1301.30
32                   1466.34
64                   1574.61
128                  1677.11
256                  2241.69
512                  3251.08
1024                 4739.03
2048                 8189.43
4096                16649.73
8192                39401.55
16384              104528.64
32768              202454.57
65536              414789.29
131072             840060.04
262144            1583356.50
524288            2149033.22

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1387.71
2                    1383.89
4                    1400.03
8                    1381.25
16                   1297.20
32                   1465.33
64                   1573.12
128                  1670.66
256                  2228.64
512                  3235.58
1024                 4733.46
2048                 8132.43
4096                16165.02
8192                40531.00
16384              104536.48
32768              201174.11
65536              398854.68
131072             843180.89
262144            1593162.78
524288            2154428.34

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1395.06
2                    1390.46
4                    1392.28
8                    1389.30
16                   2690.79
32                   1416.16
64                   2441.32
128                  1842.43
256                  2233.83
512                  3228.65
1024                 4747.28
2048                 8099.22
4096                15202.39
8192                39204.76
16384              104607.04
32768              224202.65
65536              405337.30
131072             839869.37
262144            1591757.23
524288            2157730.16

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1385.62
2                    1400.46
4                    1401.21
8                    1393.56
16                   1304.59
32                   1462.69
64                   1572.64
128                  1671.59
256                  2216.73
512                  3213.54
1024                 4704.93
2048                 8047.78
4096                15317.02
8192                38689.49
16384              104606.81
32768              203579.21
65536              404876.87
131072             834046.47
262144            1565856.88
524288            2159894.94

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1386.24
2                    1379.96
4                    1407.69
8                    1393.49
16                   1305.25
32                   1460.04
64                   1571.66
128                  1681.22
256                  2267.40
512                  3284.92
1024                 4803.65
2048                 8257.42
4096                15780.87
8192                40922.89
16384              104922.01
32768              201655.71
65536              405280.07
131072             841729.94
262144            1540282.68
524288            2160984.27

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1380.38
2                    1395.47
4                    1377.66
8                    1378.68
16                   1311.75
32                   1462.67
64                   1559.22
128                  1673.23
256                  2233.33
512                  3232.39
1024                 4729.74
2048                 8163.58
4096                15308.48
8192                42339.77
16384              104410.15
32768              201817.20
65536              404543.51
131072             841342.86
262144            1576316.57
524288            2143987.21

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1380.50
2                    1375.21
4                    1386.94
8                    1378.03
16                   1295.56
32                   1453.09
64                   1566.41
128                  1675.84
256                  2240.33
512                  3225.19
1024                 4736.14
2048                 8165.11
4096                15245.94
8192                41136.18
16384              104495.27
32768              203023.28
65536              405493.81
131072             843516.53
262144            1568054.83
524288            2148604.51

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1384.93
2                    1438.75
4                    1396.42
8                    1386.42
16                   1306.79
32                   1459.87
64                   1573.93
128                  1683.93
256                  2220.17
512                  3221.39
1024                 7154.33
2048                 8062.71
4096                15144.59
8192                39045.22
16384              104302.14
32768              202606.36
65536              411091.66
131072             845968.36
262144            1574505.50
524288            2160191.99
