
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      68.60
2                      61.47
4                      71.64
8                      80.57
16                    148.52
32                    159.55
64                    192.12
128                   293.95
256                   436.20
512                   812.23
1024                 1422.92
2048                 2307.81
4096                 5494.47
8192                12639.88
16384               25138.77
32768               48930.17
65536               94667.72
131072             212339.12
262144             332702.41
524288             661015.70

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      62.54
2                      59.28
4                      72.20
8                      93.63
16                    124.87
32                    135.65
64                    172.17
128                   299.95
256                   435.42
512                   838.02
1024                 1369.03
2048                 2354.16
4096                 5832.36
8192                12715.40
16384               25087.11
32768               49272.85
65536               95200.04
131072             212653.56
262144             338498.22
524288             658960.68

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      60.90
2                      56.76
4                      69.56
8                      73.50
16                    128.89
32                    131.05
64                    183.42
128                   278.08
256                   422.29
512                   801.19
1024                 1413.42
2048                 2325.87
4096                 5561.89
8192                12682.31
16384               25084.89
32768               49182.11
65536               94614.02
131072             216681.67
262144             340787.07
524288             658926.95

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      65.19
2                      56.39
4                      72.40
8                      84.22
16                    142.86
32                    150.54
64                    193.09
128                   303.11
256                   424.02
512                   900.36
1024                 1399.55
2048                 2314.70
4096                 5492.96
8192                12660.06
16384               24824.91
32768               49129.88
65536               95366.57
131072             213320.77
262144             348837.89
524288             674348.48

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      66.92
2                      64.13
4                      77.87
8                      80.25
16                    133.93
32                    126.76
64                    187.29
128                   337.60
256                   423.29
512                  2171.60
1024                 1642.72
2048                 2872.43
4096                 5491.36
8192                12640.13
16384               25232.71
32768               49429.15
65536               95405.95
131072             213724.15
262144             339489.48
524288             655172.15

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      68.20
2                      61.63
4                      64.25
8                      93.43
16                    149.68
32                    139.86
64                    201.75
128                   276.80
256                   421.87
512                  1405.19
1024                 1367.26
2048                 2367.64
4096                 5648.17
8192                13130.26
16384               25149.55
32768               49875.00
65536               95360.08
131072             213894.49
262144             340116.67
524288             658735.00

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      85.89
2                      64.56
4                      79.62
8                     133.82
16                    107.91
32                    144.49
64                    199.81
128                   277.48
256                   440.93
512                   918.07
1024                 1437.28
2048                 2363.67
4096                 5477.51
8192                12658.53
16384               25232.75
32768               49187.64
65536               94700.46
131072             213995.56
262144             340599.17
524288             668209.52

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     106.01
2                      49.60
4                      61.99
8                      60.85
16                     99.29
32                    128.44
64                    186.01
128                   269.93
256                   417.65
512                   874.60
1024                 1461.01
2048                 2350.48
4096                 5515.72
8192                12662.84
16384               25116.95
32768               49286.27
65536               94684.62
131072             213398.12
262144             340219.12
524288             665146.98

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      74.19
2                      65.90
4                      65.33
8                      88.13
16                    134.58
32                    137.91
64                    195.14
128                   300.88
256                   435.15
512                   873.59
1024                 1398.80
2048                 2321.62
4096                 5489.28
8192                12657.09
16384               24952.58
32768               49341.85
65536               95502.15
131072             214196.85
262144             341207.36
524288             677698.45

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      67.97
2                      62.56
4                      71.72
8                      82.57
16                    140.11
32                    157.07
64                    190.96
128                   308.84
256                   421.85
512                   884.33
1024                 1442.29
2048                 2289.46
4096                 5522.30
8192                12759.67
16384               25116.21
32768               49241.55
65536               95251.96
131072             213316.69
262144             339989.95
524288             657473.03

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      68.88
2                      60.58
4                      82.22
8                      88.37
16                    120.90
32                    134.49
64                    194.43
128                   290.63
256                  1225.23
512                   915.50
1024                 1374.20
2048                 2291.01
4096                 5535.24
8192                12731.06
16384               25064.34
32768               57920.58
65536               95071.16
131072             212887.82
262144             339763.31
524288             655180.26

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      60.84
2                      58.74
4                      72.43
8                      89.36
16                    120.37
32                    128.12
64                    194.12
128                   302.55
256                   412.26
512                   850.73
1024                 1426.20
2048                 2300.14
4096                 5397.55
8192                12684.18
16384               25082.63
32768               52154.11
65536               95362.98
131072             214809.40
262144             341366.50
524288             656429.21
