
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1236.05
2                    1217.14
4                    1234.69
8                    1228.42
16                   1150.70
32                   1291.94
64                   1421.17
128                  1502.24
256                  2047.29
512                  3045.45
1024                 4566.67
2048                 7939.55
4096                14965.28
8192                38433.91
16384              102696.95
32768              209515.20
65536              425403.60
131072             838091.39
262144            1552210.62
524288            2124817.60

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1237.45
2                    1221.31
4                    1236.85
8                    1234.60
16                   1148.40
32                   1300.87
64                   1425.56
128                  1513.77
256                  2063.49
512                  3076.19
1024                 4611.44
2048                 8064.01
4096                15124.58
8192                39299.55
16384              102622.41
32768              209578.43
65536              419379.66
131072             842418.52
262144            1524984.75
524288            2143304.02

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1236.61
2                    1210.85
4                    1236.86
8                    1233.35
16                   1148.67
32                   1304.01
64                   1424.53
128                  1507.04
256                  2049.94
512                  3043.51
1024                 4551.74
2048                 7978.33
4096                16382.52
8192                39144.51
16384              102455.97
32768              209203.08
65536              424725.56
131072             844013.99
262144            1544712.76
524288            2134483.62

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1238.66
2                    1212.17
4                    1240.51
8                    1231.47
16                   1143.76
32                   1294.98
64                   1427.95
128                  1524.47
256                  2090.94
512                  3115.43
1024                 4628.84
2048                 8088.18
4096                15128.22
8192                39404.45
16384              102615.76
32768              209358.82
65536              418846.65
131072             830389.91
262144            1522373.94
524288            2141067.62

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1231.87
2                    1209.39
4                    1234.27
8                    1237.46
16                   1139.40
32                   1293.75
64                   1432.40
128                  1506.67
256                  2076.34
512                  3091.94
1024                 4598.19
2048                 8079.65
4096                15241.69
8192                39395.36
16384              102641.25
32768              209152.31
65536              417958.56
131072             839492.79
262144            1536846.82
524288            2143719.13

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1237.83
2                    1201.09
4                    1245.81
8                    1227.94
16                   1143.84
32                   1292.44
64                   1418.20
128                  1496.14
256                  2056.11
512                  3053.37
1024                 4547.00
2048                 7959.82
4096                14889.52
8192                40081.19
16384              102756.14
32768              209566.40
65536              417396.74
131072             840059.58
262144            1542533.74
524288            2133982.37

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1279.84
2                    1212.00
4                    1237.73
8                    1237.97
16                   1154.16
32                   1302.11
64                   1425.74
128                  1512.90
256                  2063.60
512                  3052.35
1024                 4568.04
2048                10162.93
4096                15082.84
8192                38997.55
16384              102563.93
32768              209024.73
65536              416328.98
131072             846108.11
262144            1537452.73
524288            2139478.61

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1235.69
2                    1221.09
4                    1231.34
8                    1224.63
16                   1152.15
32                   1298.13
64                   1422.75
128                  1498.47
256                  2064.14
512                  3070.65
1024                 4576.69
2048                 7973.64
4096                14892.80
8192                39313.28
16384              102652.47
32768              211939.16
65536              419247.30
131072             843275.92
262144            1525941.63
524288            2142540.53

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1229.52
2                    1217.07
4                    1239.01
8                    1238.79
16                   1147.07
32                   1302.09
64                   1426.98
128                  1544.10
256                  2067.90
512                  3066.62
1024                 4578.55
2048                 7997.77
4096                15062.23
8192                39148.40
16384              103163.40
32768              211816.20
65536              416514.06
131072             833878.10
262144            1548841.57
524288            2143611.84

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1239.22
2                    1590.48
4                    1219.21
8                    1213.66
16                   1156.81
32                   1286.60
64                   1402.34
128                  1501.97
256                  2064.82
512                  3070.77
1024                 4570.67
2048                 9127.33
4096                15093.23
8192                39442.85
16384              102690.38
32768              209601.13
65536              419548.69
131072             839111.65
262144            1555466.19
524288            2142326.12

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1234.65
2                    1235.51
4                    1243.80
8                    1239.63
16                   1156.13
32                   1300.91
64                   1423.42
128                  1516.15
256                  2056.82
512                  3894.88
1024                 5184.19
2048                 7959.03
4096                14969.68
8192                39151.60
16384              110177.78
32768              211831.89
65536              418641.27
131072             834519.77
262144            1521768.29
524288            2143249.76

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1241.19
2                    1211.97
4                    1230.52
8                    1236.79
16                   1149.38
32                   1290.93
64                   1427.92
128                  1520.09
256                  2071.36
512                  3076.62
1024                 4597.49
2048                 8045.52
4096                15177.14
8192                39585.10
16384              102718.85
32768              216599.07
65536              417207.96
131072             833733.05
262144            1565227.50
524288            2134088.39
