
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     691.08
2                     546.87
4                    1680.78
8                    1880.40
16                   2154.76
32                   2785.02
64                    688.92
128                  1898.14
256                  2583.07
512                  3734.01
1024                 5305.28
2048                12497.39
4096                17828.00
8192                36887.82
16384              113886.07
32768              244550.95
65536              473835.24
131072             897268.86
262144            1793461.55
524288            3655292.59

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     707.75
2                     549.79
4                    1684.45
8                    1873.14
16                   2153.90
32                   2777.96
64                    697.14
128                  1881.40
256                  2568.85
512                  3644.52
1024                 5269.34
2048                12345.53
4096                17895.34
8192                37338.56
16384              112258.70
32768              220743.85
65536              440808.50
131072             967428.64
262144            1795019.48
524288            3638145.50

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     702.59
2                     556.14
4                    1685.74
8                    1882.00
16                   2158.69
32                   2787.35
64                    685.51
128                  1871.52
256                  2608.07
512                  3696.50
1024                 5265.62
2048                12591.58
4096                18047.04
8192                36646.27
16384              111686.55
32768              221008.63
65536              440908.39
131072             898966.99
262144            1821569.48
524288            3644365.44

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     705.43
2                     550.72
4                    1691.36
8                    1887.66
16                   2162.33
32                   2789.57
64                    708.64
128                  1876.67
256                  2598.39
512                  3708.00
1024                 5297.49
2048                12348.69
4096                17820.61
8192                36714.69
16384              144599.15
32768              220682.68
65536              440777.80
131072             897794.27
262144            1793775.85
524288            3628985.47

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     708.91
2                     551.57
4                    1690.24
8                    1883.75
16                   2169.43
32                   2793.09
64                    685.76
128                  1853.37
256                  2604.01
512                  3645.74
1024                 5212.31
2048                12362.81
4096                17859.25
8192                36867.78
16384              118604.90
32768              220801.64
65536              440864.08
131072             898231.05
262144            1878207.47
524288            3632878.34

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1931.84
2                     754.88
4                    1686.41
8                    1881.40
16                   2167.68
32                   2793.61
64                    687.36
128                  1897.59
256                  2483.91
512                  3686.66
1024                 5254.34
2048                12533.97
4096                17770.70
8192                36761.24
16384              111540.62
32768              220453.71
65536              440265.29
131072             896662.23
262144            1821636.80
524288            3629144.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     705.94
2                     549.40
4                    1687.15
8                    1880.58
16                   2153.89
32                   2782.02
64                    692.71
128                  1850.30
256                  2531.25
512                  3694.45
1024                 5220.54
2048                12573.48
4096                17936.31
8192                36797.06
16384              111409.69
32768              222058.31
65536              440675.96
131072             929498.53
262144            1900047.97
524288            3628811.08

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     707.39
2                     548.78
4                    1691.60
8                    1892.26
16                   2163.38
32                   2792.63
64                    684.19
128                  1875.45
256                  2576.29
512                  3698.19
1024                 5251.80
2048                11922.55
4096                17800.16
8192                36523.22
16384              111527.33
32768              220735.67
65536              441065.42
131072             898529.88
262144            1794971.48
524288            3634345.49

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     704.06
2                     553.47
4                    1698.59
8                    1893.80
16                   2187.13
32                   2795.13
64                    695.03
128                  1840.73
256                  2556.17
512                  3692.12
1024                 5228.81
2048                12600.99
4096                17895.54
8192                36905.39
16384              140622.19
32768              221022.41
65536              441298.06
131072             951222.60
262144            1871404.93
524288            3626766.50

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     703.91
2                     548.35
4                    1670.75
8                    1866.16
16                   2153.20
32                   2779.47
64                    687.79
128                  1856.43
256                  2544.87
512                  3695.81
1024                 5284.24
2048                12326.99
4096                17874.61
8192                36942.89
16384              111490.18
32768              220525.08
65536              473455.88
131072             897171.52
262144            1850952.85
524288            3603383.29

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     703.70
2                     545.31
4                    1678.97
8                    1871.63
16                   2150.26
32                   2782.85
64                    681.60
128                  1890.40
256                  2550.68
512                  3695.34
1024                 5247.80
2048                12351.48
4096                17850.45
8192                37792.28
16384              111509.07
32768              257786.74
65536              440591.62
131072             926920.84
262144            1883731.86
524288            3619671.10

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     693.71
2                     556.41
4                    1714.82
8                    1893.42
16                   2164.65
32                   2797.33
64                    678.62
128                  7688.93
256                  2481.71
512                  3688.34
1024                 5236.34
2048                12609.45
4096                17877.61
8192                36743.73
16384              112574.53
32768              226517.79
65536              442187.65
131072             929170.62
262144            1817649.38
524288            3625864.62
