
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5817.87
2                    5785.52
4                    5779.05
8                    5808.80
16                   5750.26
32                   5747.45
64                   5685.46
128                  5587.87
256                  5954.82
512                  6164.25
1024                 7311.23
2048                11383.92
4096                18746.61
8192                40294.18
16384               87665.31
32768              177907.06
65536              355770.74
131072             727936.84
262144            1461381.82
524288            2887404.97

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5813.01
2                    5779.92
4                    5769.15
8                    5801.52
16                   5742.25
32                   5728.90
64                   5650.90
128                  5580.27
256                  5940.20
512                  6150.27
1024                 7239.52
2048                11461.59
4096                23070.30
8192                40099.01
16384               87928.91
32768              177947.20
65536              384714.93
131072             760324.60
262144            1453701.54
524288            2965243.08

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5810.79
2                    5784.28
4                    5764.92
8                    5811.86
16                   5736.73
32                   5743.44
64                   5668.99
128                  5567.88
256                  5938.47
512                  6157.83
1024                 7257.48
2048                11259.14
4096                18557.58
8192                39856.97
16384               87955.37
32768              177752.21
65536              355155.84
131072             749787.93
262144            1436764.84
524288            2916436.82

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5813.98
2                    5782.45
4                    5756.29
8                    5801.58
16                   5728.53
32                   5725.27
64                   5666.12
128                  5565.85
256                  5942.02
512                  6153.94
1024                 7310.65
2048                11991.66
4096                19042.67
8192                41145.32
16384               87748.26
32768              201302.79
65536              372583.65
131072             765186.68
262144            1484085.48
524288            2927551.07

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5818.49
2                    5782.74
4                    5760.42
8                    5811.89
16                   5744.33
32                   5736.97
64                   5672.10
128                  5558.31
256                  5952.19
512                  6195.10
1024                 7278.56
2048                11568.78
4096                19028.35
8192                47110.11
16384               87920.93
32768              178321.95
65536              355913.72
131072             728372.01
262144            1438116.17
524288            2961379.99

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5820.73
2                    5775.49
4                    5758.05
8                    5797.69
16                   5729.38
32                   5729.34
64                   5680.78
128                  5563.32
256                  5926.17
512                  6179.09
1024                 7341.65
2048                11207.29
4096                18458.64
8192                39640.63
16384               87676.56
32768              177613.01
65536              355380.44
131072             768944.05
262144            1486376.34
524288            2926249.62

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5820.17
2                    8101.75
4                    8164.71
8                    5814.22
16                   5740.87
32                   5730.24
64                   5676.61
128                  5563.55
256                  5947.76
512                  6189.85
1024                 7285.10
2048                11057.01
4096                18737.01
8192                40439.81
16384               87726.94
32768              177713.56
65536              355212.07
131072             726452.46
262144            1466357.61
524288            2972990.32

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5809.78
2                    5795.11
4                    5764.28
8                    5798.22
16                   5740.81
32                   5739.24
64                   5672.64
128                  5568.07
256                  5930.77
512                  6169.23
1024                 7316.99
2048                11193.52
4096                18416.38
8192                39519.92
16384               88216.98
32768              178171.78
65536              356040.04
131072             728381.89
262144            1472482.99
524288            2940480.89

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5821.86
2                    5785.32
4                    5761.30
8                    5809.86
16                   5726.41
32                   5738.50
64                   5675.38
128                  5563.43
256                  5939.19
512                  6183.46
1024                 7263.36
2048                11239.88
4096                23356.54
8192                39807.05
16384               87933.90
32768              178097.96
65536              355850.63
131072             727860.50
262144            1438663.59
524288            2906663.26

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5818.34
2                    5779.72
4                    6980.59
8                    8991.22
16                   6015.52
32                   5725.29
64                   5680.78
128                  5573.92
256                  5947.06
512                  6228.32
1024                 7306.72
2048                11229.14
4096                18596.38
8192                39995.98
16384               87923.62
32768              177763.49
65536              355287.30
131072             728082.03
262144            1458629.00
524288            2950717.67

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5824.09
2                    5786.66
4                    5761.89
8                    5802.99
16                   5732.72
32                   5745.88
64                   5664.40
128                  5597.51
256                  9096.17
512                  6588.24
1024                 7290.80
2048                11461.31
4096                18713.33
8192                40323.05
16384               87850.51
32768              177845.71
65536              395018.40
131072             786060.82
262144            1437241.09
524288            2918290.76

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    5822.94
2                    5784.09
4                    5753.85
8                    5816.83
16                   5740.79
32                   5727.57
64                  11401.22
128                  5570.00
256                  5940.17
512                  6226.11
1024                 7295.45
2048                11194.16
4096                22836.28
8192                40015.57
16384               87971.93
32768              178042.47
65536              355579.91
131072             727621.18
262144            1439862.98
524288            2958288.31
