
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      39.24
2                      37.97
4                      38.39
8                      52.61
16                     68.11
32                     84.71
64                    107.60
128                   144.76
256                   213.71
512                   476.90
1024                  779.09
2048                 1349.90
4096                 4241.98
8192                10892.42
16384               21224.53
32768               41979.45
65536               83809.71
131072             207603.51
262144             381980.39
524288             779562.82

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      68.54
2                      57.05
4                      59.93
8                      70.77
16                    100.05
32                     98.52
64                    139.27
128                   181.88
256                   269.76
512                   612.02
1024                  897.75
2048                 1479.88
4096                 4168.16
8192                10968.76
16384               21255.45
32768               41742.09
65536               83742.55
131072             207417.30
262144             389670.53
524288             765155.64

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      55.45
2                      39.55
4                      51.36
8                      59.28
16                     65.70
32                     98.95
64                    103.72
128                   158.18
256                   227.45
512                   620.06
1024                  791.28
2048                 1440.92
4096                 4350.39
8192                11138.82
16384               21687.28
32768               42428.73
65536               88374.50
131072             208022.99
262144             379837.83
524288             766229.38

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      45.55
2                      40.56
4                      40.14
8                      50.24
16                     64.32
32                    104.13
64                    102.35
128                   163.64
256                   210.57
512                   553.33
1024                  815.01
2048                 1428.99
4096                 4324.86
8192                11090.56
16384               21560.76
32768               42353.38
65536               84553.27
131072             207614.96
262144             377373.90
524288             758411.18

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      48.42
2                      39.50
4                      36.39
8                      51.61
16                     71.22
32                     93.82
64                     99.89
128                   140.08
256                   227.73
512                   604.81
1024                  884.86
2048                 1401.40
4096                 4364.19
8192                11092.72
16384               21314.03
32768               42642.58
65536               84667.98
131072             206997.20
262144             378554.37
524288             765575.18

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      51.36
2                      46.43
4                      52.68
8                      64.11
16                     66.07
32                    112.42
64                    104.30
128                   151.79
256                   236.10
512                   496.25
1024                  925.09
2048                 1414.02
4096                 4356.92
8192                11113.52
16384               21526.62
32768               42480.54
65536               85945.04
131072             207701.74
262144             389802.20
524288             763151.19

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      47.68
2                      42.63
4                      48.80
8                      49.44
16                     64.77
32                    119.91
64                    111.48
128                   159.35
256                   220.63
512                   557.27
1024                  860.15
2048                 1414.28
4096                 4406.38
8192                11250.31
16384               23886.13
32768               45574.43
65536               84534.04
131072             207785.07
262144             381260.13
524288             769803.07

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      50.76
2                      44.94
4                      53.39
8                      51.00
16                     63.10
32                     97.69
64                    108.00
128                   159.91
256                   203.66
512                   570.33
1024                  925.62
2048                 1446.39
4096                 4349.22
8192                11096.03
16384               21671.83
32768               42863.93
65536               86144.45
131072             209056.13
262144             385387.49
524288             769857.63

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      44.23
2                      40.38
4                      42.74
8                      42.05
16                     62.42
32                    110.51
64                     93.46
128                   143.73
256                   192.33
512                   571.17
1024                  882.81
2048                 1427.55
4096                 4427.67
8192                11139.93
16384               21627.34
32768               42427.97
65536               84426.65
131072             207966.44
262144             392317.70
524288             752237.53

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      43.11
2                      43.40
4                      37.26
8                      39.74
16                     68.57
32                     75.19
64                    115.45
128                   153.00
256                   209.83
512                   545.54
1024                  896.50
2048                 1394.74
4096                 4433.52
8192                11227.54
16384               21604.68
32768               42342.99
65536               84642.20
131072             207411.54
262144             375736.16
524288             760935.80

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      55.60
2                      52.49
4                      52.36
8                      53.55
16                     87.59
32                    113.91
64                    124.10
128                   147.47
256                   234.74
512                   556.35
1024                  791.14
2048                 1457.09
4096                 4376.77
8192                11091.69
16384               21461.43
32768               42544.18
65536               84480.96
131072             207892.52
262144             382131.34
524288             758962.29

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      55.18
2                      45.65
4                      41.68
8                      51.47
16                     77.97
32                    103.54
64                    103.54
128                   163.91
256                   221.46
512                   517.69
1024                  927.75
2048                 1478.51
4096                 4688.47
8192                11092.74
16384               21570.84
32768               42449.61
65536               84350.16
131072             208277.71
262144             383840.22
524288             767053.73
