
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6884.01
2                    6873.43
4                    7080.18
8                     213.99
16                    226.30
32                   7640.45
64                    276.51
128                  5739.01
256                  5934.86
512                  7238.03
1024                 7462.24
2048                 6243.04
4096                 9155.57
8192                16550.96
16384               66605.13
32768              129772.58
65536              256033.49
131072             523638.32
262144            1026750.54
524288            2047963.58

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6874.12
2                    6887.29
4                    7103.40
8                     195.73
16                    210.14
32                   7646.49
64                    280.83
128                  5734.85
256                  5852.67
512                  7207.37
1024                 7404.75
2048                 6249.44
4096                 9208.14
8192                16559.12
16384               64562.11
32768              129537.72
65536              255639.61
131072             523275.14
262144            1027350.07
524288            2049015.00

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6887.02
2                    6891.49
4                    7076.84
8                     202.80
16                    215.13
32                   7632.82
64                    284.42
128                  5726.30
256                  5832.31
512                  7214.45
1024                 7283.23
2048                 6290.62
4096                 9149.14
8192                16454.32
16384               63695.64
32768              129699.17
65536              256027.17
131072             523251.62
262144            1027128.12
524288            2049035.98

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6873.47
2                    6871.95
4                    7077.89
8                     202.56
16                    212.51
32                   7622.21
64                    281.07
128                  5736.14
256                  5899.51
512                  7213.51
1024                 7492.13
2048                 6287.90
4096                 9222.94
8192                16378.00
16384               64191.94
32768              129334.53
65536              255844.40
131072             523504.04
262144            1027134.59
524288            2048405.05

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6896.80
2                    6900.94
4                    7101.79
8                     196.64
16                    203.74
32                   7656.29
64                    282.45
128                  5734.74
256                  5859.68
512                  7220.06
1024                 7390.26
2048                 6229.23
4096                 9123.45
8192                16446.87
16384               65670.04
32768              129629.51
65536              255947.84
131072             523770.15
262144            1027511.73
524288            2049519.25

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6869.96
2                    6863.30
4                    7082.26
8                     197.41
16                    208.41
32                   7630.56
64                    278.51
128                  5732.42
256                  5854.55
512                  6994.93
1024                 7145.67
2048                 6196.68
4096                 9087.16
8192                16474.84
16384               65293.81
32768              129633.54
65536              255996.36
131072             523787.20
262144            1027323.48
524288            2049158.12

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6863.09
2                    6877.80
4                    7086.81
8                     196.96
16                    231.35
32                   7649.60
64                    301.32
128                  5737.52
256                  5828.21
512                  7212.38
1024                 7340.16
2048                 6197.75
4096                 9100.12
8192                16433.13
16384               64729.50
32768              129773.14
65536              255734.62
131072             523304.99
262144            1027412.15
524288            2049060.42

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6857.79
2                    6889.02
4                    7086.51
8                     196.06
16                    224.94
32                   7650.79
64                    274.89
128                  5727.19
256                  5876.98
512                  7172.05
1024                 7352.44
2048                 6277.27
4096                 9086.03
8192                16577.68
16384               65165.59
32768              129803.48
65536              255877.78
131072             525174.35
262144            1027554.94
524288            2050453.52

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6896.36
2                    6884.14
4                    7086.97
8                     200.13
16                    213.10
32                   7655.72
64                    281.71
128                  5735.72
256                  5873.31
512                  7291.74
1024                 7374.97
2048                 6196.81
4096                 9053.25
8192                16504.42
16384               64858.94
32768              129497.19
65536              255935.45
131072             523872.26
262144            1041206.69
524288            2049075.67

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6877.08
2                    6915.38
4                    7127.89
8                     232.04
16                    228.77
32                   7708.20
64                    318.53
128                  5747.17
256                  5913.75
512                  7168.47
1024                 8416.48
2048                 6237.50
4096                 9231.52
8192                16658.66
16384               65779.06
32768              130380.19
65536              255666.45
131072             523023.11
262144            1026718.84
524288            2048785.67

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6928.35
2                    6945.24
4                    7126.66
8                     212.66
16                    250.18
32                   7705.58
64                    296.87
128                  5747.95
256                  5897.67
512                  7203.75
1024                 8185.43
2048                 6250.37
4096                 9138.74
8192                16554.76
16384               66003.62
32768              129964.47
65536              255942.45
131072             523438.51
262144            1026868.84
524288            2047659.44

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6920.15
2                    6925.60
4                    8742.53
8                    1016.29
16                    252.43
32                   7733.25
64                    304.44
128                  5742.60
256                  5884.32
512                  7201.09
1024                 8601.08
2048                 6233.52
4096                 9190.04
8192                16495.64
16384               65848.50
32768              130515.83
65536              255907.93
131072             523537.20
262144            1047612.69
524288            2048416.61

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6907.70
2                    6907.83
4                    7110.54
8                     231.10
16                    234.03
32                  10159.59
64                    314.96
128                  5767.10
256                  5856.23
512                  7259.04
1024                 8413.35
2048                 6269.25
4096                 9152.01
8192                16731.03
16384               65494.67
32768              130027.49
65536              255707.02
131072             523393.20
262144            1047746.82
524288            2048814.17
