
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     376.68
2                     253.33
4                     243.76
8                     278.24
16                    254.48
32                    265.66
64                    383.96
128                   391.93
256                   598.67
512                  1016.51
1024                 1535.79
2048                 2462.64
4096                 4375.66
8192                 9232.09
16384               18533.62
32768               37487.50
65536               75024.67
131072             151406.73
262144             299159.02
524288             625773.63

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     339.20
2                     279.96
4                     228.17
8                     233.76
16                    230.90
32                    255.11
64                    324.16
128                   453.26
256                   645.95
512                  1076.87
1024                 1548.91
2048                 2514.39
4096                 4429.15
8192                 9276.08
16384               18552.72
32768               37413.60
65536               75155.64
131072             151497.51
262144             299133.99
524288             626298.28

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     408.46
2                     273.56
4                     282.82
8                     265.87
16                    270.60
32                    331.12
64                    384.44
128                   418.12
256                   644.20
512                  1016.55
1024                 1566.75
2048                 2506.41
4096                 4441.77
8192                 9285.01
16384               18475.06
32768               37455.61
65536               74932.48
131072             151120.92
262144             299104.65
524288             625766.94

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     385.33
2                     258.81
4                     234.00
8                     263.97
16                    245.32
32                    259.78
64                    374.92
128                   384.92
256                   595.82
512                  1025.41
1024                 1526.90
2048                 2436.61
4096                 4359.47
8192                 9170.43
16384               18338.54
32768               37215.78
65536               75082.90
131072             151049.83
262144             299127.00
524288             624921.08

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     394.41
2                     278.38
4                     291.33
8                     266.32
16                    272.15
32                    383.28
64                    340.59
128                   420.67
256                   646.71
512                  1024.40
1024                 1567.55
2048                 2515.60
4096                 4437.60
8192                 9274.66
16384               18434.26
32768               37479.39
65536               75098.82
131072             151411.01
262144             299160.33
524288             625094.94

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     406.73
2                     278.34
4                     292.92
8                     272.64
16                    267.98
32                    394.09
64                    337.92
128                   424.54
256                   658.17
512                  1025.04
1024                 1571.19
2048                 2528.67
4096                 4449.66
8192                 9295.56
16384               18471.04
32768               37328.78
65536               75001.47
131072             151357.40
262144             299530.05
524288             624507.71

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     399.62
2                     275.19
4                     291.97
8                     273.64
16                    279.22
32                    372.27
64                    339.61
128                   419.85
256                   644.69
512                  1018.92
1024                 1580.56
2048                 2519.44
4096                 4439.69
8192                 9249.81
16384               18410.17
32768               37199.23
65536               75007.13
131072             150814.93
262144             297839.73
524288             624480.50

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     376.79
2                     262.07
4                     270.69
8                     268.11
16                    276.88
32                    294.70
64                    328.80
128                   476.73
256                   626.70
512                  1003.62
1024                 1539.43
2048                 2518.58
4096                 4433.82
8192                 9285.19
16384               18503.89
32768               37477.07
65536               75101.13
131072             151441.65
262144             299404.83
524288             625067.21

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     429.85
2                     261.08
4                     269.02
8                     271.50
16                    280.09
32                    324.43
64                    337.38
128                   415.37
256                   647.33
512                  1062.45
1024                 1544.46
2048                 2513.59
4096                 4436.48
8192                 9286.85
16384               18616.91
32768               37451.21
65536               75193.14
131072             151373.14
262144             299443.83
524288             625011.10

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     346.07
2                     255.16
4                     250.31
8                     254.40
16                    308.44
32                    283.92
64                    340.32
128                   419.54
256                   637.39
512                  1039.07
1024                 1537.32
2048                 2497.50
4096                 4446.48
8192                 9288.03
16384               18624.26
32768               37540.72
65536               74996.61
131072             151039.67
262144             298082.28
524288             624801.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     388.20
2                     271.88
4                     290.00
8                     271.94
16                    281.49
32                    340.61
64                    344.32
128                   426.45
256                   671.11
512                  1041.27
1024                 1552.09
2048                 2473.83
4096                 4403.61
8192                 9268.21
16384               18511.95
32768               37448.15
65536               75012.47
131072             151472.84
262144             299537.70
524288             625699.03

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     394.38
2                     262.64
4                     295.36
8                     275.48
16                    280.13
32                    378.47
64                    343.58
128                   421.37
256                   650.91
512                  1015.66
1024                 1577.86
2048                 2517.41
4096                 4455.96
8192                 9309.91
16384               18490.07
32768               37460.67
65536               74910.18
131072             151611.92
262144             299177.87
524288             624766.45

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     386.48
2                     267.35
4                     290.20
8                     249.81
16                    267.91
32                    323.40
64                    380.20
128                   415.04
256                   646.41
512                  1022.54
1024                 1558.40
2048                 2505.07
4096                 4427.47
8192                 9237.61
16384               18396.61
32768               37301.13
65536               74954.31
131072             151273.48
262144             298987.83
524288             623858.44
