
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1210.02
2                    1216.54
4                    1161.98
8                    1181.91
16                   1121.74
32                   1254.89
64                   1394.05
128                  1441.20
256                  1768.02
512                  2564.49
1024                 3837.47
2048                 6461.05
4096                12049.25
8192                26735.50
16384               81878.05
32768              161909.38
65536              292923.71
131072             475331.12
262144             673848.93
524288             869992.42

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1251.65
2                    1238.09
4                    1181.55
8                    1187.95
16                   1151.59
32                   1281.21
64                   1391.67
128                  1467.83
256                  1808.08
512                  2586.01
1024                 3897.66
2048                 6500.72
4096                12176.76
8192                27001.40
16384               81960.11
32768              161304.20
65536              292016.96
131072             493846.78
262144             676344.84
524288             879535.47

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1206.67
2                    1200.45
4                    1204.20
8                    1231.74
16                   1140.56
32                   1267.70
64                   1417.13
128                  1456.57
256                  1815.97
512                  2610.10
1024                 3903.48
2048                 6530.42
4096                12251.89
8192                26872.56
16384               82125.39
32768              161029.62
65536              296638.94
131072             476400.17
262144             668174.62
524288             870126.54

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1256.47
2                    1256.18
4                    1217.75
8                    1204.74
16                   1181.15
32                   1304.12
64                   1407.71
128                  1487.90
256                  1821.56
512                  2599.15
1024                 3905.68
2048                 6498.03
4096                12097.99
8192                26821.06
16384               81888.24
32768              160944.15
65536              298330.63
131072             470260.35
262144             672840.00
524288             869010.72

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1204.24
2                    1220.19
4                    1193.84
8                    1193.19
16                   1164.46
32                   1270.49
64                   1395.57
128                  1458.18
256                  1836.92
512                  2609.48
1024                 3907.93
2048                 6554.15
4096                12220.54
8192                26911.03
16384               82284.52
32768              161773.68
65536              295080.21
131072             485206.93
262144             677324.67
524288             873507.63

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1261.05
2                    1217.82
4                    1200.32
8                    1251.18
16                   1154.30
32                   1278.54
64                   1424.31
128                  1474.78
256                  1849.20
512                  2604.98
1024                 3921.20
2048                 6592.28
4096                12243.12
8192                27066.24
16384               81917.81
32768              161430.81
65536              297373.89
131072             461044.43
262144             683308.33
524288             875825.54

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1236.65
2                    1244.49
4                    1183.94
8                    1184.07
16                   1153.11
32                   1285.33
64                   1387.83
128                  1461.39
256                  1791.75
512                  2585.82
1024                 3893.43
2048                 6491.48
4096                12127.08
8192                26735.60
16384               82115.53
32768              162282.19
65536              299807.46
131072             476082.20
262144             672350.38
524288             872548.24

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1223.08
2                    1183.95
4                    1166.98
8                    1226.17
16                   1117.72
32                   1245.38
64                   1396.16
128                  1433.28
256                  1813.84
512                  2566.13
1024                 3867.93
2048                 6513.50
4096                12204.94
8192                27134.39
16384               81931.96
32768              159758.32
65536              291251.80
131072             480864.35
262144             674272.07
524288             877766.75

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1165.92
2                    1165.06
4                    1170.88
8                    1200.43
16                   1111.40
32                   1240.97
64                   1387.27
128                  1422.58
256                  1798.61
512                  2582.54
1024                 3892.18
2048                 6507.74
4096                12203.73
8192                27145.98
16384               82010.52
32768              161662.71
65536              293202.63
131072             478791.03
262144             671162.03
524288             873458.12

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1256.03
2                    1258.61
4                    1219.00
8                    1196.90
16                   1183.52
32                   1305.40
64                   1404.44
128                  1477.40
256                  1810.54
512                  2585.79
1024                 3900.37
2048                 6516.19
4096                12195.74
8192                27141.90
16384               81961.49
32768              160980.73
65536              298701.18
131072             481163.24
262144             668066.14
524288             873432.59

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1208.28
2                    1233.42
4                    1207.21
8                    1229.62
16                   1156.62
32                   1291.09
64                   1409.95
128                  1439.39
256                  1821.05
512                  2621.55
1024                 3911.55
2048                 6574.40
4096                12273.02
8192                27087.38
16384               81946.07
32768              160744.77
65536              298348.27
131072             487139.23
262144             670421.44
524288             875756.24

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1232.64
2                    1235.33
4                    1178.61
8                    1192.21
16                   1136.65
32                   1264.85
64                   1386.23
128                  1458.67
256                  1790.74
512                  2589.19
1024                 3886.81
2048                 6522.08
4096                12138.47
8192                27153.36
16384               81994.63
32768              161509.47
65536              297814.37
131072             470494.78
262144             675553.86
524288             871481.52

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1252.86
2                    1224.99
4                    1183.67
8                    1220.71
16                   1138.49
32                   1271.91
64                   1401.09
128                  1467.20
256                  1827.84
512                  2584.33
1024                 3916.35
2048                 6609.63
4096                12297.88
8192                27230.29
16384               82155.91
32768              161052.54
65536              297635.01
131072             482142.72
262144             672923.16
524288             871971.68
