
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      80.64
2                     139.91
4                      85.40
8                      97.52
16                    108.64
32                    175.01
64                    181.12
128                   245.82
256                   432.34
512                  1015.98
1024                 1262.53
2048                 1825.24
4096                 3765.89
8192                 8065.04
16384               15138.14
32768               29749.18
65536               57897.24
131072             112389.22
262144             233533.80
524288             458312.52

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      85.88
2                      91.59
4                      90.35
8                      90.59
16                    145.01
32                    155.90
64                    231.46
128                   253.03
256                   396.40
512                  1113.02
1024                 1401.81
2048                 1980.92
4096                 3699.06
8192                 7825.61
16384               14797.58
32768               29403.23
65536               57518.66
131072             110994.41
262144             227170.40
524288             448099.18

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      67.11
2                      68.48
4                      69.62
8                      77.12
16                     98.54
32                    125.82
64                    193.89
128                   219.52
256                   348.40
512                   995.77
1024                 1361.03
2048                 2040.96
4096                 3840.64
8192                 7752.48
16384               14890.39
32768               28605.67
65536               56543.32
131072             110635.08
262144             227798.76
524288             453367.87

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      78.56
2                     136.80
4                      66.25
8                      79.77
16                     94.12
32                    125.89
64                    201.16
128                   223.65
256                   372.09
512                  1069.16
1024                 1469.38
2048                 2205.64
4096                 3856.70
8192                 7885.15
16384               14731.12
32768               28819.51
65536               56778.43
131072             111502.04
262144             232201.65
524288             457319.03

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      94.63
2                     100.14
4                      84.23
8                     101.58
16                    115.39
32                    150.75
64                    194.71
128                   288.17
256                   379.73
512                  1171.83
1024                 1470.45
2048                 2237.50
4096                 4036.62
8192                 7970.93
16384               14905.28
32768               29412.46
65536               57615.88
131072             112010.47
262144             232547.72
524288             458234.45

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      94.94
2                     157.69
4                     103.73
8                     106.87
16                    111.59
32                    194.90
64                    206.40
128                   289.09
256                   417.73
512                  1120.16
1024                 1470.87
2048                 2024.01
4096                 3882.48
8192                 7939.13
16384               15090.49
32768               29354.02
65536               57139.89
131072             110988.60
262144             227899.28
524288             448481.13

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      67.00
2                      59.83
4                      76.79
8                      70.30
16                     88.98
32                    119.41
64                    155.90
128                   218.78
256                   347.55
512                   917.82
1024                 1321.72
2048                 2022.71
4096                 3838.91
8192                 7808.37
16384               14904.45
32768               28808.74
65536               56243.42
131072             110442.08
262144             227329.21
524288             453900.22

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      85.40
2                      95.81
4                     159.59
8                      95.08
16                    111.94
32                    144.42
64                    206.53
128                   270.32
256                   406.22
512                  1116.96
1024                 1514.07
2048                 2220.23
4096                 4094.78
8192                 8154.48
16384               15066.14
32768               29158.65
65536               56267.84
131072             110768.38
262144             233311.90
524288             458835.17

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      87.81
2                      91.63
4                      85.49
8                      90.58
16                     96.57
32                    133.49
64                    179.35
128                   291.60
256                   396.78
512                  1093.85
1024                 1392.22
2048                 2207.21
4096                 4017.65
8192                 7808.90
16384               15046.39
32768               29089.81
65536               57269.85
131072             110872.48
262144             227636.53
524288             451577.20

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      58.78
2                      55.68
4                     102.00
8                      92.03
16                    148.54
32                    141.23
64                    196.29
128                   265.16
256                   405.09
512                   761.80
1024                 1273.06
2048                 1740.78
4096                 3901.24
8192                 7888.59
16384               15086.15
32768               29352.18
65536               57720.70
131072             112332.86
262144             230677.71
524288             448221.49

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      68.86
2                      65.80
4                      70.26
8                      70.40
16                     98.27
32                    111.62
64                    175.09
128                   202.84
256                   310.23
512                   648.93
1024                 1218.20
2048                 1905.14
4096                 3699.61
8192                 7834.92
16384               14876.59
32768               29265.95
65536               56728.82
131072             110924.41
262144             227636.29
524288             445946.33

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      80.47
2                     151.53
4                      89.63
8                     111.96
16                    110.47
32                    184.65
64                    195.35
128                   250.21
256                   441.70
512                  1158.56
1024                 1505.95
2048                 2189.88
4096                 4091.14
8192                 7964.25
16384               15212.96
32768               29195.90
65536               57351.22
131072             111678.44
262144             230827.07
524288             453929.62

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      87.58
2                     135.25
4                      78.59
8                     115.77
16                     95.57
32                    142.91
64                    166.08
128                   267.94
256                   460.20
512                  1097.19
1024                 1532.67
2048                 2182.40
4096                 3879.06
8192                 7781.35
16384               14830.41
32768               29256.58
65536               57386.45
131072             111900.26
262144             232692.12
524288             454975.47
