
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     313.72
2                     162.93
4                     164.14
8                     189.91
16                    170.98
32                    199.51
64                    231.80
128                   395.92
256                   555.65
512                   956.42
1024                 1476.71
2048                 2415.00
4096                 4309.04
8192                 9114.94
16384               18354.23
32768               37111.54
65536               74571.80
131072             150532.13
262144             297387.52
524288             622999.08

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     294.48
2                     170.49
4                     155.90
8                     188.86
16                    170.12
32                    184.51
64                    224.89
128                   403.37
256                   549.10
512                   953.14
1024                 1466.85
2048                 2411.73
4096                 4304.90
8192                 9102.24
16384               18321.17
32768               36930.87
65536               74568.36
131072             150553.32
262144             297442.69
524288             622822.67

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     292.49
2                     172.96
4                     164.14
8                     194.47
16                    167.51
32                    184.98
64                    221.54
128                   399.64
256                   544.98
512                   940.61
1024                 1457.76
2048                 2400.27
4096                 4278.72
8192                 9111.60
16384               18326.97
32768               36822.63
65536               74162.79
131072             149885.56
262144             296528.84
524288             622824.37

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     300.49
2                     146.41
4                     148.84
8                     146.70
16                    189.51
32                    162.56
64                    205.72
128                   336.10
256                   547.13
512                   925.52
1024                 1425.55
2048                 2377.05
4096                 4267.15
8192                 9054.59
16384               18264.90
32768               36983.29
65536               74307.56
131072             150627.96
262144             297906.61
524288             623301.44

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     312.07
2                     164.64
4                     160.31
8                     173.80
16                    166.98
32                    190.31
64                    224.15
128                   397.71
256                   546.65
512                   958.65
1024                 1461.95
2048                 2408.89
4096                 4305.73
8192                 9103.44
16384               18333.68
32768               37052.42
65536               74488.83
131072             150165.60
262144             297335.54
524288             623488.95

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     285.43
2                     192.90
4                     142.07
8                     155.93
16                    176.56
32                    179.47
64                    218.65
128                   357.33
256                   541.40
512                   932.25
1024                 1463.56
2048                 2406.55
4096                 4311.03
8192                 9094.59
16384               18339.73
32768               37011.17
65536               74498.74
131072             150403.88
262144             297607.95
524288             622530.28

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     269.94
2                     150.86
4                     153.17
8                     148.48
16                    189.29
32                    175.62
64                    212.93
128                   331.42
256                   542.34
512                   933.15
1024                 1408.76
2048                 2332.65
4096                 4230.29
8192                 9021.62
16384               18136.49
32768               36987.14
65536               74295.08
131072             150019.68
262144             297068.14
524288             622572.22

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     293.87
2                     148.56
4                     153.25
8                     148.15
16                    192.87
32                    171.91
64                    215.35
128                   353.61
256                   572.20
512                   941.77
1024                 1438.60
2048                 2394.80
4096                 4286.83
8192                 9107.30
16384               18261.52
32768               37107.19
65536               74300.91
131072             150408.50
262144             297602.10
524288             622534.50

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     249.21
2                     212.40
4                     162.90
8                     162.63
16                    173.32
32                    192.70
64                    228.56
128                   358.76
256                   541.16
512                   930.09
1024                 1464.68
2048                 2403.30
4096                 4321.64
8192                 9135.37
16384               18364.21
32768               37146.15
65536               74482.80
131072             150583.38
262144             297854.91
524288             622755.15

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     308.58
2                     170.61
4                     165.15
8                     197.98
16                    173.57
32                    191.94
64                    234.68
128                   375.02
256                   532.62
512                   935.43
1024                 1459.91
2048                 2399.00
4096                 4294.85
8192                 9073.12
16384               18278.62
32768               36891.41
65536               74362.09
131072             150072.32
262144             296553.89
524288             622628.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     301.77
2                     162.09
4                     162.74
8                     168.23
16                    173.46
32                    189.28
64                    225.42
128                   338.07
256                   520.13
512                   939.40
1024                 1473.21
2048                 2424.41
4096                 4325.64
8192                 9160.59
16384               18387.10
32768               37113.83
65536               74514.22
131072             150656.48
262144             297918.18
524288             623094.01

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     314.71
2                     164.49
4                     163.97
8                     197.12
16                    177.56
32                    194.63
64                    224.70
128                   393.39
256                   551.06
512                   956.36
1024                 1471.89
2048                 2425.46
4096                 4307.18
8192                 9113.92
16384               18396.42
32768               37145.21
65536               74692.26
131072             150571.05
262144             298240.95
524288             622016.75

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     300.99
2                     175.23
4                     157.05
8                     193.37
16                    167.93
32                    186.62
64                    223.55
128                   393.43
256                   541.77
512                   960.25
1024                 1481.18
2048                 2418.38
4096                 4332.14
8192                 9125.56
16384               18355.16
32768               37081.04
65536               74558.60
131072             150223.11
262144             297012.97
524288             621995.99
