
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     526.41
2                     417.39
4                     945.72
8                    1044.15
16                   1157.41
32                   1478.12
64                    492.52
128                  1513.29
256                  1946.28
512                  2771.14
1024                 4162.75
2048                 7631.78
4096                11441.16
8192                22970.46
16384               76351.30
32768              152683.17
65536              302992.12
131072             614958.77
262144            1217281.31
524288            2423907.00

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     528.47
2                     415.17
4                     952.32
8                    1056.78
16                   1163.70
32                   1491.77
64                    488.22
128                  1524.99
256                  1881.01
512                  2718.28
1024                 4100.16
2048                 7719.11
4096                11601.87
8192                23147.37
16384               76419.96
32768              152858.17
65536              303214.69
131072             615764.40
262144            1217820.96
524288            2424565.36

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     545.82
2                     416.34
4                     955.49
8                    1055.19
16                   1187.18
32                   1503.09
64                    491.02
128                  1516.80
256                  1862.61
512                  2725.89
1024                 4117.23
2048                 7670.31
4096                11537.79
8192                23034.26
16384               76395.53
32768              152587.20
65536              302914.39
131072             615129.49
262144            1216808.87
524288            2422395.26

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     496.04
2                     413.08
4                     957.85
8                    1056.25
16                   1189.55
32                   1508.07
64                    495.49
128                  1499.24
256                  1854.18
512                  2706.48
1024                 4144.76
2048                 7619.91
4096                11438.38
8192                23004.67
16384               76312.69
32768              152382.13
65536              302960.86
131072             615222.21
262144            1217246.90
524288            2423629.95

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     500.93
2                     417.63
4                     964.13
8                    1064.13
16                   1197.88
32                   1520.58
64                    519.47
128                  1495.15
256                  1910.46
512                  2684.55
1024                 4564.49
2048                 7581.29
4096                11443.75
8192                22992.71
16384               76267.70
32768              152291.78
65536              303061.66
131072             615290.52
262144            1217227.92
524288            2424888.57

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     533.36
2                     420.10
4                     969.69
8                    1069.45
16                   1192.14
32                   1517.89
64                    489.23
128                  1599.99
256                  1844.28
512                  2690.29
1024                 3986.64
2048                 7641.86
4096                11473.22
8192                22920.30
16384               76306.29
32768              152846.15
65536              303145.25
131072             615493.05
262144            1217738.94
524288            2423758.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     560.92
2                     450.03
4                     993.49
8                    1072.21
16                   1203.72
32                   1535.12
64                    539.95
128                  1563.20
256                  1868.87
512                  2789.55
1024                 4707.87
2048                 7499.36
4096                11481.59
8192                22942.22
16384               76506.24
32768              152710.70
65536              303058.34
131072             615144.54
262144            1216860.62
524288            2423466.08

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     529.19
2                     408.42
4                     953.52
8                    1062.57
16                   1180.72
32                   1512.44
64                    490.53
128                  1513.55
256                  1905.27
512                  2751.15
1024                 3991.95
2048                 7717.95
4096                11549.40
8192                22968.98
16384               76462.42
32768              152797.48
65536              303102.03
131072             615839.80
262144            1217618.73
524288            2424431.71

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     519.02
2                     413.99
4                     961.18
8                    1069.49
16                   1178.50
32                   1516.82
64                    503.67
128                  1574.63
256                  1907.76
512                  2797.90
1024                 4032.23
2048                 7709.10
4096                11488.63
8192                23027.20
16384               76508.37
32768              152865.52
65536              303333.42
131072             616010.59
262144            1217791.19
524288            2426197.90

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     530.28
2                     435.62
4                     969.79
8                    1070.05
16                   1190.73
32                   1508.74
64                    527.14
128                  1567.93
256                  1933.49
512                  2819.42
1024                 4209.36
2048                 7728.03
4096                11522.61
8192                23038.32
16384               76506.78
32768              152691.43
65536              303255.65
131072             615691.59
262144            1217756.43
524288            2424166.96

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     540.64
2                     458.80
4                     991.17
8                    1060.13
16                   1188.06
32                   1521.20
64                    544.24
128                  1590.98
256                  1920.13
512                  2799.35
1024                 4328.15
2048                 7616.77
4096                11479.83
8192                23056.32
16384               76473.28
32768              152756.82
65536              303121.98
131072             615373.17
262144            1217391.91
524288            2423432.77

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     545.36
2                     457.78
4                    1007.36
8                    1086.92
16                   1208.92
32                   1552.91
64                    548.62
128                  1588.43
256                  1908.56
512                  2779.56
1024                 4096.59
2048                 7723.00
4096                11584.56
8192                23014.39
16384               76501.60
32768              152921.63
65536              303120.26
131072             615149.24
262144            1217469.81
524288            2424823.31

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     525.91
2                     439.74
4                    1011.53
8                    1096.48
16                   1229.43
32                   1566.86
64                    530.41
128                  1556.78
256                  1957.52
512                  2788.61
1024                 4099.98
2048                 7826.27
4096                11497.46
8192                23013.51
16384               76372.93
32768              152439.56
65536              303090.97
131072             615299.49
262144            1217665.10
524288            2423977.73
