
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     284.47
2                     224.56
4                     199.23
8                     205.64
16                    215.03
32                    264.17
64                    281.09
128                   370.11
256                   535.01
512                   921.26
1024                 1538.23
2048                 6525.45
4096                 9206.75
8192                16555.50
16384               32410.31
32768               65532.11
65536              132841.81
131072             263832.15
262144             524566.85
524288            1041188.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     336.04
2                     210.57
4                     200.49
8                     240.25
16                    222.94
32                    250.59
64                    329.01
128                   394.77
256                   535.49
512                   874.38
1024                 1586.62
2048                 6469.21
4096                 9073.16
8192                16423.89
16384               32217.20
32768               65573.32
65536              134628.80
131072             267511.03
262144             529957.91
524288            1057074.48

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     332.52
2                     212.15
4                     186.89
8                     235.52
16                    207.45
32                    234.51
64                    323.47
128                   419.88
256                   530.17
512                   869.45
1024                 1574.29
2048                 6402.12
4096                 9088.26
8192                16371.72
16384               32226.88
32768               65546.12
65536              134268.27
131072             268460.21
262144             527226.73
524288            1054031.78

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     321.79
2                     200.31
4                     187.47
8                     231.48
16                    205.34
32                    245.07
64                    318.47
128                   409.32
256                   517.20
512                   859.82
1024                 1537.86
2048                 6356.87
4096                 9117.89
8192                16468.43
16384               32187.47
32768               65752.72
65536              134483.25
131072             267129.50
262144             529529.04
524288            1054529.76

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     366.66
2                     207.52
4                     203.09
8                     207.69
16                    221.38
32                    246.52
64                    333.66
128                   374.44
256                   533.83
512                   876.94
1024                 1563.62
2048                 6328.72
4096                 9097.20
8192                16441.80
16384               32223.80
32768               65826.39
65536              134446.46
131072             268061.40
262144             531467.41
524288            1054585.88

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     295.12
2                     219.53
4                     194.62
8                     205.00
16                    210.82
32                    245.25
64                    272.62
128                   362.94
256                   595.38
512                   862.20
1024                 1542.52
2048                 6402.14
4096                 9048.09
8192                16413.71
16384               32156.10
32768               66276.48
65536              134828.57
131072             268451.74
262144             532092.20
524288            1056334.20

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     315.07
2                     203.68
4                     201.69
8                     207.43
16                    220.03
32                    253.11
64                    297.23
128                   369.91
256                   631.43
512                   843.11
1024                 1548.15
2048                 6425.44
4096                 9148.74
8192                16451.12
16384               32165.22
32768               65704.45
65536              133776.70
131072             265295.07
262144             524597.09
524288            1046893.03

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     329.40
2                     234.58
4                     200.29
8                     226.13
16                    218.22
32                    248.36
64                    393.62
128                   368.09
256                   527.35
512                   882.21
1024                 1580.48
2048                 6389.33
4096                 9079.63
8192                16330.54
16384               31973.94
32768               65433.62
65536              132964.43
131072             264975.10
262144             523940.93
524288            1044239.10

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     321.34
2                     204.78
4                     189.33
8                     233.04
16                    205.39
32                    240.11
64                    307.57
128                   406.43
256                   519.72
512                   859.45
1024                 1550.26
2048                 6363.79
4096                 9085.24
8192                16333.74
16384               32144.51
32768               65534.14
65536              134105.01
131072             267341.06
262144             527760.42
524288            1051044.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     338.14
2                     206.25
4                     197.20
8                     240.06
16                    229.79
32                    250.23
64                    381.29
128                   361.13
256                   532.95
512                   870.97
1024                 1571.99
2048                 6431.12
4096                 9238.26
8192                16452.01
16384               32141.17
32768               65632.48
65536              133754.96
131072             265514.74
262144             527467.25
524288            1046396.58

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     280.44
2                     187.23
4                     187.74
8                     192.46
16                    206.81
32                    274.09
64                    270.22
128                   352.72
256                   518.54
512                   859.84
1024                 1529.98
2048                 6404.59
4096                 9043.94
8192                16339.43
16384               32221.75
32768               66354.61
65536              133666.05
131072             267776.66
262144             526717.47
524288            1052511.44

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     322.09
2                     199.14
4                     197.49
8                     200.83
16                    216.49
32                    250.78
64                    299.32
128                   401.09
256                   535.51
512                   894.94
1024                 1536.32
2048                 6468.80
4096                 9140.01
8192                16367.34
16384               32210.57
32768               65507.59
65536              133591.26
131072             265215.56
262144             527320.49
524288            1043798.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     292.03
2                     193.81
4                     186.89
8                     191.07
16                    202.90
32                    294.46
64                    281.48
128                   367.68
256                   522.91
512                   902.63
1024                 1548.38
2048                 6326.85
4096                 9131.69
8192                16472.68
16384               32248.97
32768               66298.62
65536              134156.22
131072             266116.20
262144             527087.05
524288            1051241.52
