
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6859.89
2                    6823.94
4                    6700.21
8                    6681.33
16                   6249.82
32                   5914.45
64                   5682.62
128                  5690.34
256                  5714.93
512                  7233.26
1024                 7664.56
2048                12121.72
4096                20578.30
8192                26337.22
16384               63722.62
32768              130364.21
65536              255089.92
131072             521382.45
262144            1024368.92
524288            2034054.59

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6863.57
2                    6832.47
4                    6706.95
8                    6701.29
16                   6246.12
32                   5934.75
64                   5712.35
128                  5699.26
256                  5750.47
512                  7093.93
1024                 7824.07
2048                11932.39
4096                23549.30
8192                26706.73
16384               64133.60
32768              130288.73
65536              255253.45
131072             522315.48
262144            1025148.59
524288            2034604.33

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6809.07
2                    6784.84
4                    6667.69
8                    6667.12
16                   6223.04
32                   5900.62
64                   5689.69
128                  5717.47
256                  5754.92
512                  7296.19
1024                 7202.20
2048                11988.45
4096                21588.79
8192                26062.65
16384               64115.48
32768              130441.78
65536              255313.58
131072             521755.93
262144            1025312.85
524288            2034956.96

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6861.43
2                    6827.01
4                    6709.15
8                    6689.97
16                   6232.86
32                   5880.73
64                   5695.91
128                  5688.78
256                  5729.17
512                  7139.11
1024                 6998.22
2048                11896.39
4096                20181.82
8192                27410.27
16384               64004.98
32768              130121.44
65536              255471.00
131072             521735.23
262144            1024872.39
524288            2033872.00

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6764.61
2                    6643.87
4                    6582.08
8                    6615.36
16                   6196.46
32                   5883.51
64                   5694.39
128                  5698.15
256                  5706.46
512                  7220.28
1024                 7269.92
2048                12251.01
4096                18492.39
8192                26454.60
16384               63965.18
32768              130283.93
65536              255412.90
131072             521991.84
262144            1024875.00
524288            2035021.70

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6740.36
2                    6694.77
4                    6609.06
8                    6619.97
16                   6193.77
32                   5888.72
64                   5695.26
128                  5690.62
256                  5709.82
512                  7086.20
1024                 7195.30
2048                10999.01
4096                20895.10
8192                26737.65
16384               63767.78
32768              130020.05
65536              255038.34
131072             521094.13
262144            1024600.37
524288            2033713.45

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6712.01
2                    6691.39
4                    6589.54
8                    6572.44
16                   6172.38
32                   5876.78
64                   5693.14
128                  5687.93
256                  5706.23
512                  7271.10
1024                 7393.29
2048                12238.35
4096                21505.48
8192                26417.88
16384               64041.14
32768              130536.71
65536              255355.06
131072             521753.28
262144            1024619.95
524288            2034666.85

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6707.15
2                    6784.91
4                    6582.60
8                    6621.81
16                   6216.68
32                   5900.20
64                   5708.29
128                  5714.16
256                  5711.05
512                  7275.64
1024                 7393.43
2048                12268.18
4096                21767.80
8192                26554.40
16384               64141.07
32768              130629.06
65536              255521.72
131072             521794.07
262144            1024401.75
524288            2033782.18

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6731.88
2                    6732.65
4                    6627.82
8                    6635.63
16                   6239.43
32                   5901.79
64                   5723.02
128                  5708.70
256                  5728.94
512                  7159.17
1024                 7558.84
2048                11706.11
4096                23729.78
8192                27173.71
16384               64045.42
32768              130442.94
65536              255344.68
131072             522253.55
262144            1025392.12
524288            2035650.39

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6833.89
2                    6804.65
4                    6664.75
8                    6659.64
16                   6230.90
32                   5902.33
64                   5687.26
128                  5712.89
256                  5771.35
512                  7317.95
1024                 7795.14
2048                12814.47
4096                21577.37
8192                26618.85
16384               64283.11
32768              130525.14
65536              255562.71
131072             522246.75
262144            1025099.77
524288            2035246.87

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6862.10
2                    6828.52
4                    6709.61
8                    6694.81
16                   6235.50
32                   5918.06
64                   5710.58
128                  5706.56
256                  5810.93
512                  7249.88
1024                 8189.36
2048                12681.48
4096                26459.91
8192                26723.08
16384               64212.43
32768              130322.39
65536              255627.49
131072             522188.95
262144            1024914.53
524288            2034617.85

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6887.29
2                    6766.90
4                    6685.22
8                    6691.16
16                   6249.37
32                   5926.77
64                   5708.37
128                  5698.05
256                  5737.85
512                  7210.06
1024                 7846.69
2048                12679.32
4096                26162.88
8192                26813.88
16384               64490.98
32768              130409.46
65536              255387.57
131072             522245.83
262144            1025609.96
524288            2035448.19

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    6899.09
2                    6851.07
4                    6698.44
8                    6679.93
16                   6238.36
32                   5926.90
64                   5753.08
128                  5711.88
256                  5802.27
512                  7247.77
1024                 7745.50
2048                12707.05
4096                20408.57
8192                26675.66
16384               64553.47
32768              130695.89
65536              255783.31
131072             522566.53
262144            1025458.41
524288            2035302.91
