
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      39.55
2                      29.64
4                      32.76
8                      48.13
16                     54.56
32                     65.47
64                     84.24
128                   112.89
256                   194.24
512                   394.60
1024                  645.18
2048                 1129.82
4096                 2546.46
8192                 6478.38
16384               13326.97
32768               25419.21
65536               50062.02
131072              99263.68
262144             228667.34
524288             520912.77

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      74.93
2                     133.02
4                      87.99
8                     116.20
16                     83.40
32                    118.93
64                    167.80
128                   214.05
256                   314.46
512                   897.07
1024                 1225.72
2048                 1626.99
4096                 3238.81
8192                 6998.17
16384               13547.26
32768               25949.40
65536               50700.80
131072              99063.80
262144             229984.84
524288             519928.27

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      75.44
2                     138.65
4                      76.55
8                     101.18
16                     83.56
32                    119.23
64                    194.52
128                   214.34
256                   324.76
512                   742.42
1024                 1200.02
2048                 1603.23
4096                 3209.81
8192                 7111.13
16384               13353.88
32768               26041.94
65536               50961.13
131072             100517.44
262144             229931.76
524288             520702.07

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      56.32
2                      70.17
4                     163.83
8                      66.30
16                     72.23
32                     98.07
64                    134.44
128                   184.09
256                   281.54
512                   803.86
1024                 1130.33
2048                 1679.27
4096                 3191.95
8192                 7055.03
16384               13502.27
32768               26145.85
65536               51070.08
131072             100491.27
262144             229027.63
524288             522297.23

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      54.58
2                      51.26
4                     116.88
8                      52.14
16                     81.90
32                     78.72
64                    122.88
128                   184.57
256                   206.63
512                   550.02
1024                  769.48
2048                 1268.32
4096                 2774.23
8192                 6664.65
16384               12900.50
32768               25976.21
65536               50904.83
131072             100546.11
262144             229669.82
524288             521467.61

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      68.37
2                     134.16
4                      72.10
8                      86.32
16                     94.09
32                    125.75
64                    191.07
128                   201.40
256                   279.50
512                   763.69
1024                 1074.35
2048                 1618.74
4096                 3302.28
8192                 7350.43
16384               13705.79
32768               25938.24
65536               50551.21
131072              99884.89
262144             228010.48
524288             519885.92

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      72.25
2                     141.96
4                      67.41
8                      78.02
16                     87.84
32                    114.54
64                    185.37
128                   196.56
256                   297.40
512                   658.05
1024                 1075.09
2048                 1561.86
4096                 3223.63
8192                 7245.46
16384               13384.20
32768               25991.88
65536               50245.87
131072              99410.52
262144             230694.56
524288             519853.30

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      59.67
2                      48.71
4                      56.04
8                      58.76
16                     85.58
32                     99.42
64                    125.51
128                   155.23
256                   246.28
512                   747.00
1024                 1065.44
2048                 1454.28
4096                 3051.05
8192                 6794.37
16384               13220.45
32768               26266.96
65536               51369.72
131072              99727.52
262144             227388.56
524288             516880.90

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      75.47
2                      74.85
4                     142.62
8                      93.26
16                     88.85
32                    126.19
64                    162.26
128                   196.69
256                   310.47
512                   737.45
1024                 1251.77
2048                 1763.99
4096                 3457.95
8192                 7465.92
16384               13515.49
32768               25709.21
65536               50220.64
131072             100596.12
262144             230371.20
524288             524645.49

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      72.12
2                      77.76
4                      87.43
8                     144.61
16                     89.16
32                    120.12
64                    137.87
128                   161.17
256                   276.17
512                   853.26
1024                 1242.34
2048                 1754.83
4096                 3020.40
8192                 7110.64
16384               13405.62
32768               26196.35
65536               51484.47
131072              99888.69
262144             230130.77
524288             522189.22

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      49.62
2                      45.31
4                      60.92
8                      61.22
16                    119.62
32                     92.22
64                    111.78
128                   141.55
256                   212.06
512                   561.50
1024                 1094.26
2048                 1790.68
4096                 3475.14
8192                 7418.59
16384               13765.51
32768               26251.73
65536               50849.22
131072             100563.10
262144             228923.37
524288             519706.71

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      41.36
2                      36.46
4                      40.05
8                     118.64
16                     48.88
32                     96.83
64                     99.83
128                   130.08
256                   219.02
512                   628.01
1024                  802.94
2048                 1333.55
4096                 2912.63
8192                 6802.16
16384               12930.08
32768               25183.42
65536               50154.66
131072              99479.76
262144             226943.01
524288             520705.53

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      55.71
2                      48.03
4                      71.14
8                      85.45
16                     79.37
32                    107.10
64                    142.36
128                   174.62
256                   267.23
512                   551.47
1024                  722.70
2048                 1465.83
4096                 3264.42
8192                 7464.29
16384               13640.74
32768               26215.24
65536               50916.07
131072             100636.33
262144             229986.42
524288             524392.62
