
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1175.26
2                    1159.11
4                    1121.47
8                    1159.15
16                   1076.05
32                   1221.91
64                   1330.12
128                  1384.39
256                  1733.30
512                  2528.01
1024                 3823.45
2048                 6481.07
4096                12132.89
8192                26925.62
16384               79736.17
32768              159032.39
65536              312381.81
131072             472604.43
262144             669087.97
524288             860160.36

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1165.08
2                    1157.23
4                    1105.13
8                    1164.61
16                   1088.99
32                   1226.45
64                   1366.49
128                  1410.91
256                  1742.45
512                  5563.65
1024                 4675.08
2048                 6518.63
4096                12133.98
8192                27092.93
16384               80066.85
32768              159079.98
65536              291795.75
131072             472802.55
262144             666685.76
524288             870517.90

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1118.23
2                    1142.50
4                    1107.23
8                    1138.79
16                   1046.81
32                   1201.46
64                   1330.12
128                  1354.36
256                  1743.24
512                  2498.91
1024                 3784.92
2048                 6414.08
4096                12145.49
8192                26874.66
16384               79720.83
32768              157728.32
65536              289529.88
131072             470645.30
262144             683755.83
524288             865166.42

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1182.92
2                    1138.54
4                    1123.25
8                    1181.61
16                   1074.98
32                   1224.57
64                   1371.15
128                  1365.25
256                  1752.91
512                  2504.01
1024                 3831.37
2048                 6591.69
4096                12240.92
8192                27283.22
16384               79847.32
32768              158639.90
65536              296117.65
131072             508588.08
262144             664250.78
524288             864989.54

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1138.94
2                    1143.72
4                    1135.11
8                    1174.98
16                   1075.53
32                   1197.21
64                   1356.79
128                  1364.11
256                  1747.30
512                  2570.46
1024                 3879.20
2048                 6508.72
4096                12112.63
8192                29790.85
16384               80130.64
32768              158584.17
65536              291437.11
131072             470054.69
262144             670731.14
524288             856447.09

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1179.61
2                    1177.34
4                    1112.24
8                    1139.18
16                   1065.92
32                   1218.42
64                   1345.55
128                  1379.51
256                  1731.22
512                  2499.51
1024                 3833.38
2048                 6439.20
4096                15501.68
8192                26938.73
16384               79681.49
32768              158488.82
65536              291055.63
131072             472334.16
262144             668494.83
524288             875645.52

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1123.62
2                    1156.63
4                    1097.90
8                    1137.60
16                   1051.61
32                   1203.08
64                   1326.55
128                  1354.72
256                  1744.29
512                  2511.70
1024                 3848.36
2048                 6461.06
4096                12167.77
8192                27200.05
16384               79841.67
32768              159095.53
65536              294151.99
131072             472841.75
262144             688268.19
524288             861986.07

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1144.92
2                    1123.14
4                    1121.64
8                    1152.28
16                   1057.91
32                   1193.48
64                   1351.94
128                  1351.12
256                  1738.74
512                  2540.71
1024                 3856.96
2048                 6602.86
4096                12213.17
8192                27301.93
16384               80039.34
32768              159500.41
65536              293639.33
131072             473272.23
262144             660134.36
524288             853223.53

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1172.58
2                    1172.66
4                    1119.23
8                    1168.74
16                   1110.52
32                   1212.76
64                   1338.72
128                  1375.68
256                  1733.49
512                  2539.99
1024                 3863.59
2048                 6508.97
4096                12148.03
8192                31250.01
16384               79558.70
32768              182633.07
65536              295267.52
131072             474565.94
262144             660194.62
524288             867353.81

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1128.78
2                    1168.44
4                    1129.79
8                    1132.81
16                   1077.83
32                   1232.39
64                   1343.72
128                  1407.31
256                  1730.51
512                  2530.93
1024                 3836.53
2048                 6526.07
4096                12192.39
8192                26931.31
16384               79942.09
32768              159124.96
65536              293191.09
131072             475527.61
262144             664555.40
524288             875868.03

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1173.90
2                    1144.53
4                    1097.66
8                    1117.47
16                   1081.48
32                   1208.48
64                   1354.35
128                  1378.76
256                  1724.84
512                  2564.95
1024                 3839.74
2048                 6542.17
4096                12217.87
8192                27211.22
16384               79655.17
32768              158061.71
65536              292262.78
131072             467274.79
262144             681143.84
524288             857821.07

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1123.26
2                    1121.23
4                    1112.65
8                    1165.26
16                   1060.02
32                   1206.51
64                   1326.32
128                  1357.59
256                  1761.60
512                  2531.99
1024                 3883.18
2048                 6635.56
4096                12357.46
8192                27624.98
16384               79703.87
32768              159238.09
65536              292012.41
131072             496143.71
262144             669446.18
524288             862604.40

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1160.99
2                    1124.99
4                    1109.97
8                    1169.01
16                   1068.61
32                   1193.81
64                   1344.40
128                  1359.96
256                  1751.14
512                  2503.75
1024                 3849.64
2048                 6505.95
4096                12374.70
8192                28113.79
16384               79766.05
32768              158345.74
65536              291572.74
131072             462518.44
262144             669459.17
524288             892282.40
