
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     497.49
2                     414.52
4                     436.70
8                     469.03
16                    529.13
32                    851.86
64                   1506.94
128                  3047.66
256                  6352.08
512                 13401.45
1024                27329.92
2048                54335.77
4096                95915.76
8192               167911.57
16384              319877.55
32768              628559.89
65536             1250240.63
131072            2526233.41
262144            5108525.61
524288           10230125.15

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     490.23
2                     421.56
4                     443.00
8                     430.22
16                    533.40
32                    825.74
64                   1493.54
128                  3026.24
256                  6343.67
512                 13388.90
1024                27439.35
2048                54439.98
4096                96374.22
8192               169300.90
16384              323325.07
32768              625652.96
65536             1243402.73
131072            2492628.34
262144            5016490.63
524288           10049627.20

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     490.68
2                     414.91
4                     442.00
8                     447.23
16                    518.68
32                    822.53
64                   1496.04
128                  3017.62
256                  6346.60
512                 13418.08
1024                27466.59
2048                54549.21
4096                96884.86
8192               169637.04
16384              324487.67
32768              620510.19
65536             1224200.19
131072            2464563.90
262144            4952786.57
524288            9925733.91

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     485.10
2                     419.10
4                     433.95
8                     425.47
16                    532.18
32                    828.88
64                   1493.81
128                  3036.97
256                  6350.45
512                 13439.59
1024                27491.21
2048                54520.29
4096                96680.76
8192               169697.27
16384              323585.72
32768              627636.73
65536             1241588.24
131072            2477814.01
262144            4983661.94
524288           10233560.53

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     533.68
2                     454.46
4                     453.25
8                     460.96
16                    510.82
32                    839.21
64                   1478.39
128                  3006.47
256                  6394.01
512                 13431.48
1024                27374.19
2048                54299.53
4096                95856.74
8192               170399.91
16384              325034.94
32768              633542.78
65536             1269181.49
131072            2519189.42
262144            5061979.90
524288           10168127.00

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     515.36
2                     478.91
4                     438.93
8                     528.65
16                    509.37
32                    912.07
64                   1585.00
128                  3140.05
256                  6409.35
512                 13402.45
1024                27249.86
2048                55022.53
4096                95670.36
8192               170622.25
16384              323728.85
32768              641491.82
65536             1298498.05
131072            2633737.07
262144            5283973.74
524288           10594367.60

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     550.73
2                     461.01
4                     441.60
8                     467.78
16                    519.70
32                    913.27
64                   1603.47
128                  3153.53
256                  6413.98
512                 13405.02
1024                27398.46
2048                55153.29
4096                95681.09
8192               171666.81
16384              330829.83
32768              650264.01
65536             1327552.12
131072            2666421.44
262144            5398233.09
524288           10814514.62

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     527.98
2                     454.57
4                     447.04
8                     520.64
16                    495.82
32                    878.11
64                   1588.64
128                  3123.77
256                  6410.01
512                 13426.26
1024                28346.26
2048                54260.69
4096                95754.01
8192               171197.47
16384              324999.12
32768              630874.05
65536             1230318.25
131072            2476217.76
262144            4925996.80
524288            9921198.58

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     530.45
2                     474.45
4                     449.98
8                     547.14
16                    513.32
32                    897.81
64                   1592.55
128                  3137.91
256                  6423.62
512                 13420.42
1024                27441.09
2048                54346.42
4096                96752.45
8192               170139.52
16384              324527.71
32768              642330.82
65536             1263366.25
131072            2541897.05
262144            5084641.50
524288           10158554.24

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     516.31
2                     476.45
4                     451.02
8                     524.46
16                    515.94
32                    906.77
64                   1596.02
128                  3133.88
256                  6450.71
512                 13419.25
1024                28100.40
2048                54201.49
4096                95610.51
8192               170778.21
16384              324468.92
32768              638214.05
65536             1271618.01
131072            2539221.24
262144            5094231.75
524288           10167069.05

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     489.39
2                     414.20
4                     435.18
8                     419.51
16                    542.82
32                    826.60
64                   1515.44
128                  3112.03
256                  6433.14
512                 13390.83
1024                27307.75
2048                54204.75
4096                96779.75
8192               169519.20
16384              324067.41
32768              642300.70
65536             1276680.93
131072            2549474.13
262144            5133185.55
524288           10271184.80

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     513.24
2                     468.58
4                     450.67
8                     513.99
16                    510.96
32                    899.60
64                   1586.71
128                  3123.10
256                  6420.76
512                 13422.93
1024                27356.76
2048                54233.91
4096                96131.56
8192               171640.68
16384              324521.59
32768              634714.03
65536             1275381.71
131072            2548830.82
262144            5129697.36
524288           10260050.89

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     546.72
2                     473.11
4                     451.68
8                     532.97
16                    516.33
32                    913.41
64                   2142.04
128                  3564.36
256                  6421.87
512                 13409.61
1024                27332.15
2048                54185.00
4096                95708.77
8192               170736.90
16384              323328.46
32768              642644.97
65536             1311325.48
131072            2639510.95
262144            5302292.58
524288           10654384.13
