
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     284.74
2                     205.72
4                     293.54
8                     207.57
16                    233.06
32                    266.52
64                    288.49
128                   383.44
256                   619.80
512                   854.57
1024                 1561.31
2048                 6322.03
4096                 9287.05

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     281.50
2                     218.04
4                     278.71
8                     217.35
16                    226.25
32                    256.37
64                    299.79
128                   385.73
256                   650.39
512                   876.27
1024                 1575.28
2048                 6311.67
4096                 9293.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     287.01
2                     222.42
4                     296.91
8                     225.20
16                    235.79
32                    261.27
64                    316.23
128                   435.88
256                   609.44
512                   844.28
1024                 1594.77
2048                 6319.34
4096                 9207.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     293.89
2                     208.61
4                     283.50
8                     212.50
16                    223.54
32                    306.22
64                    317.24
128                   442.56
256                   613.16
512                   868.87
1024                 1571.32
2048                 6379.23
4096                 9376.07

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     297.18
2                     210.28
4                     280.40
8                     222.54
16                    205.48
32                    243.03
64                    276.85
128                   359.14
256                   577.66
512                   836.79
1024                 1600.31
2048                 7885.09
4096                10888.33

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     294.64
2                     215.79
4                     282.43
8                     215.30
16                    237.71
32                    274.79
64                    301.24
128                   437.75
256                   607.24
512                   877.08
1024                 1574.21
2048                 6268.84
4096                 9307.00

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     264.31
2                     189.06
4                     189.39
8                     256.45
16                    207.20
32                    228.88
64                    281.29
128                   367.22
256                   609.74
512                   908.78
1024                 1579.98
2048                 6327.66
4096                 9135.37

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     313.06
2                     218.62
4                     291.85
8                     227.44
16                    220.63
32                    276.36
64                    298.95
128                   429.27
256                   600.73
512                   863.25
1024                 1560.75
2048                 6331.85
4096                 9181.99

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     272.50
2                     188.40
4                     187.72
8                     268.65
16                    204.19
32                    237.46
64                    286.80
128                   393.04
256                   599.91
512                   928.66
1024                 1593.74
2048                 6440.06
4096                 9223.39

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     291.46
2                     212.08
4                     307.34
8                     209.82
16                    233.06
32                    274.12
64                    286.01
128                   438.09
256                   618.92
512                   909.71
1024                 1592.56
2048                 6261.15
4096                 9228.40

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     309.97
2                     263.68
4                     225.62
8                     239.42
16                    248.60
32                    265.61
64                    352.93
128                   456.60
256                   552.64
512                   904.69
1024                 1547.03
2048                 6325.92
4096                 9273.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     299.27
2                     211.87
4                     294.41
8                     208.10
16                    237.31
32                    273.98
64                    285.58
128                   418.31
256                   614.53
512                   857.80
1024                 1573.09
2048                 6306.45
4096                 9302.20

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1665.80
2                     192.87
4                     187.56
8                     192.75
16                    204.71
32                    637.53
64                    878.75
128                   818.97
256                   557.29
512                   876.59
1024                 1619.32
2048                 6392.81
4096                 9346.98
